sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.119140625,-1.0579224,0.21551514,0.09375,-1.09375,-1.9375
1,0.045654297,-1.173645,0.29241943,-2.078125,-2.25,-3.53125
2,0.084472656,-1.2329712,0.3283081,-2.34375,-3.640625,-2.03125
3,0.09765625,-1.3067017,0.3204956,5.5,-2.015625,1.140625
4,0.03125,-1.1863403,0.21722412,14.90625,7.03125,-0.9375
5,0.040527344,-1.0164185,-0.009094238,13.890625,10.375,-2.75
6,0.04248047,-1.0239868,-0.05987549,15.171875,11.125,-1.734375
7,0.04296875,-0.9915161,-0.00592041,8.640625,9.140625,0.5
8,0.009277344,-0.9336548,0.109313965,4.671875,8.1875,0.875
9,0.02709961,-0.88726807,0.113220215,3.5625,5.171875,0.25
10,0.016601562,-0.8591919,0.10394287,1.875,-0.453125,-0.03125
11,-0.01953125,-0.8093872,0.094177246,-1.8125,0.75,-2.703125
12,-0.06958008,-0.76885986,0.14398193,-0.5,4.3125,-4.765625
13,-0.037353516,-0.8057251,0.15203857,0.140625,6.96875,-2.640625
14,-0.0078125,-0.83380127,0.17840576,2.859375,6.046875,1.0
15,-0.057128906,-0.8887329,0.17669678,1.609375,3.765625,-0.984375
16,-0.030517578,-0.9631958,0.19769287,-1.4375,1.875,-2.609375
17,-0.053222656,-1.0628052,0.25335693,-3.296875,2.765625,-2.375
18,-0.0061035156,-1.1289673,0.27508545,-3.171875,2.40625,-1.078125
19,0.052001953,-1.1838989,0.17938232,-3.8125,-4.484375,2.15625
20,-0.006591797,-1.2666626,0.02532959,2.609375,-9.265625,-0.65625
21,0.10546875,-1.3926392,0.08807373,7.046875,-9.625,3.390625
22,0.050048828,-1.255188,0.016540527,8.984375,-10.984375,2.34375
23,0.14794922,-1.0650024,-0.16046143,11.984375,-9.5625,4.59375
24,0.06640625,-1.0588989,-0.09503174,4.25,-14.484375,2.875
25,0.040283203,-0.9819946,-0.035949707,-2.4375,-14.5,4.203125
26,-0.017822266,-0.89434814,0.15911865,-3.9375,-7.15625,4.109375
27,-0.09423828,-0.8250122,0.14813232,-10.984375,-1.203125,-0.859375
28,0.0126953125,-0.7588501,0.07904053,-6.28125,4.5625,0.296875
29,0.064941406,-0.76690674,0.029968262,-0.546875,2.84375,6.375
30,0.0769043,-0.6687622,0.013366699,1.609375,1.046875,8.21875
31,0.05859375,-0.7190552,0.08416748,1.8125,-0.3125,6.65625
32,0.0637207,-0.8245239,0.15423584,1.359375,-0.421875,3.734375
33,0.06762695,-0.97491455,0.20184326,0.265625,-0.578125,3.3125
34,0.125,-1.0862427,0.14715576,-0.953125,-2.1875,1.84375
35,0.10620117,-1.1192017,0.21575928,-2.921875,-6.171875,0.3125
36,0.006591797,-1.0674438,0.2838745,-10.171875,-7.296875,-6.453125
37,0.09423828,-1.0769653,0.29681396,-7.703125,-3.4375,-6.9375
38,0.09692383,-1.2979126,0.11883545,0.421875,-14.734375,-7.34375
39,0.056884766,-1.4241333,0.120788574,5.25,-18.765625,-12.953125
40,0.025634766,-1.319397,0.15667725,0.40625,0.5625,-8.703125
41,-0.1328125,-0.96759033,-0.015197754,1.984375,10.328125,-3.96875
42,0.016601562,-0.98150635,-0.05987549,6.171875,12.828125,-1.5
43,0.06933594,-0.97857666,-0.0569458,5.4375,10.84375,1.78125
44,0.026611328,-0.8447876,0.015075684,6.703125,10.4375,4.5
45,0.026855469,-0.78790283,0.02142334,4.609375,7.09375,2.21875
46,-0.05517578,-0.79815674,0.050964355,4.171875,3.03125,-0.390625
47,-0.015625,-0.8574829,0.109802246,0.671875,4.546875,-5.59375
48,-0.075683594,-0.8023071,0.085632324,-2.328125,7.234375,-6.21875
49,-0.0925293,-0.8154907,0.059020996,1.1875,14.03125,-6.46875
50,-0.08154297,-0.7996216,0.05657959,1.15625,15.78125,-3.34375
51,-0.07128906,-0.86968994,0.10101318,3.828125,15.171875,-0.84375
52,-0.03466797,-0.9590454,0.13616943,3.28125,12.953125,1.5
