sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.061035156,-1.0108032,0.21209717,3.515625,-6.203125,3.78125
1,-0.016845703,-0.99591064,0.29901123,2.625,-7.8125,2.640625
2,-0.032958984,-1.003479,0.30755615,-2.15625,-5.03125,1.515625
3,0.0056152344,-0.93218994,0.31097412,-2.28125,-1.0625,1.953125
4,0.041503906,-0.9390259,0.32440186,-0.625,-2.390625,4.640625
5,0.026611328,-0.93170166,0.29266357,-1.15625,-4.203125,1.921875
6,-0.012451172,-0.9265747,0.30926514,-2.3125,-0.25,-2.09375
7,-0.010986328,-0.8657837,0.30145264,-4.3125,5.640625,-5.359375
8,-0.055908203,-0.7805786,0.30462646,-5.703125,11.859375,-9.171875
9,-0.08666992,-0.6729126,0.24432373,-9.234375,17.5625,-10.109375
10,-0.0048828125,-0.68756104,0.291687,-6.515625,16.90625,-6.296875
11,0.052246094,-0.6729126,0.27996826,-3.703125,12.234375,-0.90625
12,0.1772461,-0.96466064,0.369812,3.84375,1.703125,1.28125
13,0.03955078,-0.98883057,0.3661499,-4.40625,-0.90625,-2.3125
14,0.036865234,-0.8855591,0.32659912,-3.84375,5.90625,-1.28125
15,-0.0021972656,-0.8723755,0.4545288,-4.640625,0.140625,-1.21875
16,-0.06542969,-0.9624634,0.3937378,-5.34375,2.40625,-0.4375
17,-0.0126953125,-1.2136841,0.09832764,-13.703125,2.015625,2.140625
18,-0.16796875,-1.1704712,0.22381592,7.84375,-1.046875,4.0625
19,0.14111328,-1.6216431,0.053894043,0.78125,-1.8125,2.265625
20,-0.07763672,-1.0574341,0.38934326,13.0625,-6.21875,3.125
21,-0.017333984,-1.1589966,0.512146,0.421875,3.21875,1.796875
22,-0.18823242,-0.95880127,0.26068115,-4.015625,2.015625,-7.546875
23,-0.038085938,-0.8230591,0.28118896,-0.171875,5.953125,-2.796875
24,-0.025878906,-0.77301025,0.26605225,1.109375,5.03125,2.390625
25,-0.06347656,-0.75909424,0.17596436,-1.8125,-2.625,1.625
26,-0.14648438,-0.7390747,0.3048706,-6.15625,-2.15625,-3.453125
27,-0.13647461,-0.6790161,0.30950928,-6.609375,0.875,-4.5625
28,-0.10620117,-0.77838135,0.2850952,-7.984375,2.390625,-3.78125
29,-0.015625,-0.7190552,0.3139038,0.125,2.515625,0.390625
30,-0.05102539,-0.96539307,0.3842163,-7.515625,-1.5625,0.625
31,-0.064208984,-0.8081665,0.42889404,-1.84375,-1.25,2.1875
32,-0.052246094,-1.2493286,0.277771,-4.9375,-3.90625,-5.109375
33,0.087402344,-1.2227173,0.051452637,-0.71875,0.484375,-1.984375
34,0.08129883,-1.2241821,0.16497803,8.28125,-6.09375,-1.15625
35,-0.091552734,-1.4136353,0.40985107,0.171875,-11.484375,-2.203125
36,0.028564453,-1.3306274,0.40252686,-2.359375,-7.96875,7.25
37,-0.06713867,-1.010315,0.44281006,-4.09375,-1.34375,3.890625
38,-0.017822266,-0.77545166,0.33953857,4.03125,2.890625,4.0
39,-0.083740234,-0.7439575,0.25213623,5.890625,4.0,2.0
40,0.016845703,-0.7349243,0.21502686,6.765625,11.625,2.375
41,-0.016601562,-0.66973877,0.25482178,8.25,12.28125,2.015625
42,0.030273438,-0.65338135,0.3361206,6.203125,10.28125,3.875
43,0.038085938,-0.75445557,0.36346436,7.65625,6.125,2.921875
44,0.039794922,-0.833313,0.25823975,11.921875,-0.546875,0.75
