sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.59643555,-0.18121338,0.87005615,0.46875,-0.296875,0.015625
1,-0.59399414,-0.18902588,0.88031006,0.9375,-0.390625,-0.125
2,-0.59106445,-0.17266846,0.8834839,1.125,-0.5,-0.140625
3,-0.58032227,-0.17681885,0.8756714,-0.234375,-0.78125,0.03125
4,-0.59814453,-0.1897583,0.8822632,0.421875,-1.03125,-0.03125
5,-0.58691406,-0.17510986,0.8776245,0.296875,-0.515625,0.078125
6,-0.59716797,-0.18145752,0.8703003,0.203125,-0.203125,0.1875
7,-0.5891113,-0.175354,0.88031006,0.890625,-0.5,0.03125
8,-0.60131836,-0.1873169,0.8810425,1.09375,0.5625,0.28125
9,-0.5930176,-0.18243408,0.8764038,0.703125,0.296875,0.0625
10,-0.5891113,-0.17926025,0.87323,0.578125,-0.015625,0.078125
11,-0.5957031,-0.18365479,0.8788452,0.84375,0.296875,0.546875
12,-0.5786133,-0.18389893,0.883728,1.140625,0.25,0.609375
13,-0.58325195,-0.18609619,0.8739624,0.5625,-0.25,0.40625
14,-0.58032227,-0.18463135,0.8805542,0.328125,-0.09375,0.40625
15,-0.5900879,-0.18511963,0.88934326,0.390625,-0.296875,0.15625
16,-0.5969238,-0.18609619,0.8925171,0.25,-0.53125,0.234375
17,-0.5949707,-0.18878174,0.885437,0.203125,-0.265625,0.109375
18,-0.58203125,-0.17852783,0.87957764,-0.40625,-0.40625,0.1875
19,-0.57592773,-0.1843872,0.8744507,-0.109375,-0.375,0.390625
20,-0.5769043,-0.18682861,0.8859253,1.75,0.0,0.40625
21,-0.5871582,-0.18585205,0.88031006,-0.890625,-1.421875,0.03125
22,-0.5830078,-0.190979,0.885437,-0.625,-0.0625,0.15625
23,-0.58569336,-0.17266846,0.8768921,-0.78125,-0.171875,0.03125
24,-0.592041,-0.17193604,0.8912964,0.40625,0.0625,0.625
25,-0.58203125,-0.17510986,0.88616943,1.765625,-0.234375,0.390625
26,-0.5852051,-0.18243408,0.8966675,1.546875,-1.1875,0.328125
27,-0.5859375,-0.1831665,0.89105225,2.265625,-1.25,0.3125
28,-0.59521484,-0.18292236,0.87371826,0.3125,-2.421875,-0.09375
29,-0.59155273,-0.18341064,0.8722534,0.875,-1.453125,0.171875
30,-0.5793457,-0.17584229,0.8788452,1.6875,-0.484375,0.03125
31,-0.5810547,-0.18414307,0.87908936,0.875,-0.34375,0.90625
32,-0.5925293,-0.190979,0.87957764,0.5625,0.125,0.484375
33,-0.5925293,-0.18560791,0.8812866,0.4375,-0.5625,0.390625
34,-0.58374023,-0.17999268,0.8912964,0.421875,-0.65625,0.09375
35,-0.59399414,-0.1843872,0.8878784,0.9375,-0.53125,1.15625
36,-0.59277344,-0.18756104,0.8866577,0.890625,-0.3125,1.296875
37,-0.57128906,-0.19342041,0.8878784,1.203125,-0.53125,0.25
38,-0.5859375,-0.1897583,0.87908936,0.875,-0.203125,0.046875
39,-0.579834,-0.19024658,0.87176514,0.578125,0.15625,0.34375
40,-0.5854492,-0.1795044,0.8851929,0.609375,0.515625,0.71875
41,-0.5800781,-0.2041626,0.88275146,0.1875,-0.109375,0.875
42,-0.58251953,-0.1873169,0.8912964,1.09375,0.6875,0.5
43,-0.59375,-0.18511963,0.8720093,-1.0625,-0.46875,0.1875
44,-0.57543945,-0.20318604,0.89959717,1.328125,1.46875,0.421875
45,-0.5864258,-0.18585205,0.8944702,1.234375,1.25,0.65625
46,-0.5822754,-0.18267822,0.8890991,1.25,0.625,0.46875
47,-0.5722656,-0.19683838,0.8883667,1.25,-0.4375,-0.046875
48,-0.5703125,-0.18878174,0.89715576,0.734375,-0.328125,0.234375
49,-0.5715332,-0.19781494,0.8937378,1.171875,0.015625,0.296875
50,-0.57250977,-0.18170166,0.88031006,0.171875,-0.5625,-0.015625
51,-0.5722656,-0.19683838,0.8966675,1.4375,0.40625,0.390625
