sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.86206055,-6.1035156e-05,0.5248413,-0.53125,2.078125,0.078125
1,0.8586426,0.007751465,0.5338745,0.453125,2.671875,0.109375
2,0.85302734,0.0079956055,0.527771,-1.09375,2.4375,-0.171875
3,0.85913086,-0.002746582,0.51556396,-0.46875,2.140625,-0.140625
4,0.85595703,-0.007385254,0.51898193,-0.328125,1.765625,-0.125
5,0.86572266,0.008239746,0.51605225,-0.09375,1.859375,0.09375
6,0.8625488,-0.0022583008,0.5162964,-0.5625,0.890625,-0.140625
7,0.85791016,0.005554199,0.5153198,0.015625,1.09375,-0.125
8,0.8588867,-0.006164551,0.52557373,-0.28125,0.765625,-0.09375
9,0.85839844,0.0038452148,0.5248413,0.34375,1.9375,-0.1875
10,0.8605957,-0.0020141602,0.51776123,0.625,2.09375,0.125
11,0.8605957,-0.0012817383,0.512146,1.3125,1.859375,-0.015625
12,0.8598633,0.0033569336,0.5187378,0.796875,0.8125,0.3125
13,0.86621094,0.006286621,0.5182495,0.328125,1.09375,-0.0625
14,0.861084,-0.006652832,0.51727295,-0.140625,0.515625,-0.140625
15,0.85913086,-0.0064086914,0.52459717,0.296875,0.296875,0.171875
16,0.86157227,-0.0064086914,0.50823975,0.3125,0.109375,-0.265625
17,0.85839844,-0.009094238,0.50775146,0.53125,0.75,-0.46875
18,0.86328125,-0.011047363,0.5170288,1.46875,-0.5,-0.34375
19,0.85668945,-0.003967285,0.5180054,0.46875,0.625,-0.203125
20,0.861084,-0.006164551,0.5223999,1.078125,-0.796875,-0.578125
21,0.8586426,-0.019592285,0.5219116,0.671875,-0.40625,-0.625
22,0.8598633,-0.012512207,0.53045654,0.984375,0.21875,-0.046875
23,0.8557129,-0.014953613,0.52557373,0.6875,-0.5,-0.078125
24,0.8515625,-0.018615723,0.52801514,0.3125,-1.234375,-0.015625
25,0.8527832,-0.014709473,0.5380249,0.734375,-1.8125,0.078125
26,0.85424805,-0.015930176,0.53338623,0.28125,-0.859375,0.1875
27,0.8479004,-0.021057129,0.543396,0.640625,-0.78125,0.390625
28,0.8508301,-0.0115356445,0.54364014,1.28125,-0.609375,0.15625
29,0.8483887,-0.0134887695,0.54071045,0.84375,-1.765625,0.265625
30,0.8466797,-0.016662598,0.5470581,1.234375,-1.9375,0.171875
31,0.84350586,-0.02154541,0.54730225,0.625,-2.140625,-0.046875
32,0.8405762,-0.018615723,0.55804443,0.4375,-2.0625,0.1875
33,0.8395996,-0.019104004,0.5648804,0.328125,-2.25,-0.265625
34,0.84228516,-0.02520752,0.55633545,0.109375,-1.859375,-0.046875
