sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.2944336,-0.8648071,0.29534912,11.171875,-0.890625,14.84375
1,-0.30249023,-0.8242798,0.25897217,16.5625,-1.140625,16.390625
2,-0.30786133,-0.84039307,0.26312256,16.828125,-0.796875,13.5
3,-0.25561523,-0.8665161,0.2831421,25.078125,2.578125,16.3125
4,-0.16503906,-0.99420166,0.22601318,22.65625,2.890625,17.359375
5,-0.1706543,-1.0623169,0.14910889,7.53125,-1.265625,10.609375
6,-0.19116211,-0.9414673,0.14788818,10.921875,-2.703125,10.71875
7,-0.18457031,-1.0037231,0.11590576,32.21875,-2.78125,19.109375
8,-0.11303711,-1.1321411,0.030212402,32.5625,-5.921875,21.65625
9,-0.040039062,-1.0430298,-0.08111572,28.78125,-0.390625,19.8125
10,0.04663086,-1.1270142,-0.20758057,37.734375,-0.6875,24.828125
11,0.21728516,-1.3076782,-0.2769165,38.046875,-2.640625,23.78125
12,0.095458984,-1.190979,-0.28692627,27.859375,0.0,7.28125
13,-0.017089844,-0.97003174,-0.35723877,26.203125,-4.40625,0.5625
14,0.18115234,-1.1150513,-0.3591919,28.296875,-6.296875,5.859375
15,0.20263672,-1.2400513,-0.32281494,17.765625,-5.796875,8.15625
16,0.07788086,-1.0564575,-0.40093994,2.234375,-9.3125,6.328125
17,0.123535156,-0.9644165,-0.39190674,9.265625,-6.140625,-0.5625
18,0.11401367,-1.0615845,-0.3735962,12.625,-6.65625,-3.390625
19,0.030029297,-1.0842896,-0.3591919,-0.296875,-4.140625,-4.234375
20,0.026611328,-1.0203247,-0.38897705,-5.078125,-0.984375,-6.0625
21,0.095214844,-1.0025024,-0.33013916,-5.65625,1.109375,-8.6875
22,0.099365234,-1.0335083,-0.31744385,-8.703125,-1.125,-9.390625
23,0.06298828,-1.0574341,-0.2617798,-16.359375,-2.453125,-11.890625
24,-0.005126953,-0.98272705,-0.27838135,-24.21875,-1.5,-13.0625
25,-0.052978516,-0.9180298,-0.24517822,-27.96875,0.734375,-15.859375
26,-0.092041016,-0.80474854,-0.24468994,-31.78125,-1.046875,-18.515625
27,-0.048095703,-0.8206177,-0.19586182,-30.28125,-2.953125,-17.953125
28,-0.03564453,-0.82159424,-0.059631348,-28.578125,-6.0625,-15.84375
29,0.08642578,-0.81451416,-0.012756348,-28.765625,-14.625,-13.3125
30,-0.014404297,-0.8440552,0.05340576,-25.4375,-20.578125,-10.859375
31,-0.1274414,-0.6526489,0.026062012,-27.453125,-18.796875,-10.8125
32,-0.12646484,-0.58721924,0.089538574,-21.046875,-7.6875,-11.328125
33,-0.25585938,-0.7420044,0.18890381,-6.78125,3.25,-9.71875
34,-0.13134766,-0.96099854,0.25360107,-4.734375,13.765625,-11.296875
35,0.0026855469,-0.96051025,0.2826538,-6.921875,17.109375,-10.59375
36,0.03564453,-0.90216064,0.28729248,-7.84375,11.578125,-10.109375
37,0.022705078,-0.8945923,0.21014404,-8.09375,5.0625,-5.390625
38,0.05834961,-0.97540283,0.23773193,-5.40625,4.328125,-0.609375
39,-0.068359375,-1.0137329,0.1642456,-10.203125,-3.546875,2.6875
40,-0.33374023,-1.0610962,0.08905029,-4.015625,-0.09375,6.859375
41,-0.41723633,-1.0151978,-0.061584473,3.4375,5.03125,5.515625
42,-0.40966797,-0.9024048,0.006286621,21.921875,17.03125,5.203125
43,-0.35717773,-0.8682251,-0.08282471,23.09375,18.21875,3.96875
44,-0.2265625,-0.944397,-0.11627197,21.203125,17.375,3.78125
45,-0.28735352,-1.0327759,-0.109680176,17.765625,14.78125,6.953125
46,-0.20654297,-1.0337524,-0.120910645,12.140625,4.609375,3.078125
47,-0.2626953,-1.0418091,-0.116760254,5.5,-9.421875,1.578125
48,-0.2626953,-0.9976196,-0.109436035,-0.484375,-9.4375,2.78125
49,-0.16064453,-0.96221924,-0.12921143,0.234375,-13.6875,-2.6875
50,-0.22924805,-0.95098877,-0.1585083,0.109375,-16.96875,-3.703125
51,-0.23583984,-0.8648071,-0.2300415,5.953125,-12.65625,-2.453125
52,-0.19677734,-0.8545532,-0.24346924,8.859375,-16.4375,1.453125
53,-0.13891602,-0.9043579,-0.25958252,6.578125,-25.609375,1.015625
54,-0.0637207,-0.91778564,-0.23248291,6.421875,-32.25,4.796875
55,-0.048828125,-0.9368286,-0.2053833,9.578125,-37.4375,13.1875
56,-0.044677734,-0.9920044,-0.13409424,14.71875,-38.671875,19.84375
57,-0.045898438,-0.9710083,-0.31207275,5.875,-50.484375,29.234375
58,0.1472168,-1.3560181,0.43255615,46.84375,-24.9375,34.625
59,-0.28881836,-1.2322388,-0.006164551,12.75,-30.53125,30.203125
60,0.049316406,-0.944397,-0.13287354,-6.828125,-18.28125,20.109375
61,0.21484375,-0.894104,-0.055236816,28.234375,-24.359375,3.96875
62,0.079589844,-1.123352,-0.022277832,30.828125,-35.015625,5.859375
63,-0.092041016,-1.2727661,0.08758545,9.015625,-13.796875,7.625
64,-0.061767578,-0.9380493,-0.097717285,-24.328125,2.171875,-4.703125
65,0.21020508,-0.81744385,-0.05718994,-4.21875,3.28125,-11.484375
66,0.1809082,-1.0288696,-0.05328369,25.328125,-2.71875,-12.125
67,-0.072265625,-1.2232056,-0.0647583,5.03125,5.859375,-10.015625
68,-0.068115234,-1.0791626,-0.054016113,-20.234375,21.171875,-15.6875
69,-0.09643555,-0.8796997,-0.097473145,-14.390625,32.578125,-19.5
70,-0.039794922,-0.6724243,-0.19268799,-0.65625,37.96875,-8.140625
71,0.072753906,-0.767395,-0.24859619,10.625,34.109375,5.65625
72,0.11401367,-0.84381104,-0.29644775,25.15625,30.328125,23.5625
73,0.09082031,-0.87823486,-0.43463135,19.421875,27.28125,35.015625
74,0.052490234,-0.6746216,-0.6001587,12.78125,18.8125,37.84375
75,0.049804688,-0.803772,-0.6902466,28.921875,0.765625,31.71875
76,-0.072753906,-0.8689575,-0.62750244,47.703125,10.0625,17.09375
77,-0.08691406,-0.81500244,-0.5276489,24.984375,34.375,23.46875
78,0.103515625,-0.7608032,-0.6008911,14.21875,15.03125,25.0625
79,0.08569336,-0.67852783,-0.45098877,24.5,6.09375,29.03125
