sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.012451172,-0.9229126,0.15374756,-7.03125,3.5625,-1.703125
1,-0.0390625,-0.8970337,0.19915771,-7.609375,2.03125,-1.375
2,0.022949219,-0.8855591,0.2538452,-4.640625,9.859375,-1.171875
3,-0.020019531,-0.8755493,0.24017334,-4.6875,8.890625,-2.234375
4,-0.030273438,-0.84942627,0.2699585,-2.109375,9.21875,-3.75
5,-0.055908203,-0.8526001,0.31097412,0.296875,11.234375,-4.34375
6,-0.060058594,-0.8731079,0.2999878,3.375,10.40625,-6.875
7,-0.0146484375,-1.0061646,0.30267334,4.859375,9.0,-7.40625
8,0.0056152344,-1.0755005,0.39569092,0.875,2.8125,-1.796875
9,-0.24243164,-1.0881958,0.3991089,-1.203125,6.8125,-10.84375
10,-0.20825195,-1.2202759,0.25286865,0.390625,14.296875,-20.03125
11,0.14794922,-1.258606,0.23944092,-1.46875,18.375,-18.46875
12,0.10864258,-1.269104,0.039978027,-5.140625,16.671875,-9.78125
13,0.02758789,-1.0357056,-0.101135254,-7.96875,11.015625,-3.046875
14,-0.028076172,-0.86065674,-0.07354736,-7.296875,21.703125,-8.484375
15,0.08862305,-1.0547485,0.020446777,-4.1875,8.546875,-2.734375
16,-0.022216797,-0.9468384,0.113708496,-4.09375,5.609375,-3.65625
17,-0.013427734,-0.9661255,0.15008545,-3.484375,-0.046875,-1.140625
18,-0.041015625,-0.82769775,0.08734131,0.09375,-2.65625,3.484375
19,-0.08154297,-0.86602783,0.1383667,3.78125,-6.328125,5.09375
20,-0.060791016,-0.8731079,0.1461792,4.03125,-8.328125,5.75
21,-0.048095703,-0.89190674,0.19256592,1.90625,-10.046875,8.71875
22,-0.19189453,-0.86798096,0.19744873,-1.328125,-16.9375,11.515625
23,-0.11254883,-0.94244385,0.17449951,-3.046875,-16.390625,9.1875
24,-0.100097656,-0.9065552,0.28485107,-6.203125,-18.609375,8.640625
25,-0.28393555,-1.081604,0.40008545,-1.8125,-11.53125,11.046875
26,-0.30664062,-1.1589966,0.28729248,-4.03125,-14.25,11.0625
27,-0.13964844,-1.3252563,0.2802124,-2.34375,-14.578125,-0.203125
28,-0.07495117,-1.1399536,0.1515503,-10.921875,-15.75,-4.890625
29,0.083740234,-0.9451294,-0.08843994,13.484375,-14.453125,-5.125
30,0.27416992,-0.8855591,-0.046203613,11.28125,-8.515625,2.125
31,-0.015136719,-1.1157837,0.1708374,-3.578125,-16.015625,-3.78125
