sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.096191406,-0.32208252,-0.019348145,12.71875,14.671875,-9.359375
1,-0.12719727,-0.29522705,0.0602417,11.453125,29.953125,-14.359375
2,-0.071777344,-0.51763916,-0.4060669,-15.34375,28.140625,-17.34375
3,0.6713867,-1.0410767,-0.49102783,-48.390625,-16.0625,5.34375
4,0.020019531,-1.968811,0.22772217,1.734375,5.375,48.21875
5,-0.6062012,-1.7520142,0.34002686,15.375,31.546875,-8.171875
6,0.50805664,-1.5357056,-0.04034424,8.84375,32.34375,9.4375
7,0.103759766,-1.4119263,0.018981934,9.015625,16.03125,4.703125
8,-0.2265625,-0.94537354,0.046081543,18.671875,23.15625,-7.953125
9,0.0793457,-0.6350708,0.028503418,24.390625,24.390625,-1.875
10,0.23608398,-0.38482666,-0.019104004,11.390625,19.34375,-2.421875
11,0.099365234,-0.0569458,-0.13897705,1.296875,-3.25,-1.65625
12,0.23120117,0.042663574,0.01361084,-6.0,-8.109375,-0.84375
13,0.032470703,-0.38360596,-0.24371338,-82.859375,-49.828125,-17.546875
14,0.7602539,-1.7537231,0.14154053,-11.9375,-17.1875,0.515625
15,-0.2783203,-2.0,0.48846436,-9.359375,-36.78125,13.078125
16,-0.026123047,-1.2246704,-0.3731079,39.6875,-29.828125,-24.234375
17,0.29663086,-1.6951294,0.28411865,13.5,-14.03125,-7.84375
18,-0.27124023,-1.0935669,0.11639404,2.375,-17.375,-3.296875
19,-0.06274414,-0.5852661,0.030944824,-1.5,-16.34375,-0.390625
20,-0.2084961,-0.20709229,0.13934326,16.171875,3.390625,-10.765625
21,-0.1953125,0.011413574,-0.058410645,20.703125,25.796875,-17.578125
22,0.10058594,0.0770874,-0.09820557,3.921875,28.78125,-9.125
23,-0.030761719,-0.38946533,-0.6951294,-43.625,15.0,1.765625
24,0.46362305,-1.6782837,-0.5459595,-34.078125,-15.859375,34.84375
25,-0.4716797,-2.0,0.5265503,15.640625,7.46875,18.046875
26,-0.795166,-1.1716919,0.1798706,1.34375,59.6875,-15.609375
27,0.45874023,-1.5181274,-0.101135254,10.46875,35.375,20.921875
28,0.06347656,-0.9627075,-0.12164307,13.703125,12.40625,-9.59375
29,-0.0715332,-0.53692627,-0.0017700195,22.28125,16.390625,-3.609375
30,0.12670898,-0.3320923,-0.03253174,6.75,22.609375,2.71875
31,0.31835938,-0.07525635,-0.14117432,-4.265625,2.796875,2.1875
32,0.18408203,0.19110107,0.0016479492,-3.453125,-11.625,-2.75
33,-0.0014648438,-0.21343994,-0.3291626,-62.78125,-35.15625,-12.96875
34,0.37695312,-1.7297974,0.066101074,-32.1875,0.59375,-8.421875
35,0.16088867,-2.0,0.60736084,-6.65625,-14.984375,20.078125
36,0.100097656,-1.1897583,-0.51348877,44.90625,-24.078125,-42.71875
37,0.010009766,-1.7229614,0.25335693,2.34375,-16.375,-7.09375
38,-0.24560547,-1.1155396,0.1359253,5.28125,-22.90625,-10.28125
39,-0.088134766,-0.30352783,0.0033569336,4.59375,-11.015625,-2.53125
40,-0.19384766,-0.09991455,0.058776855,11.078125,4.6875,-13.25
41,-0.055664062,0.00091552734,-0.06817627,9.21875,22.15625,-14.65625
42,0.04711914,0.02557373,-0.04083252,4.40625,30.4375,-5.265625
43,-0.049072266,-0.42022705,-0.64801025,-48.09375,17.796875,3.765625
44,0.44799805,-1.6668091,-0.3640747,-66.21875,-8.578125,38.15625
45,-0.44384766,-2.0,0.72088623,16.671875,-0.109375,17.1875
46,-0.5788574,-1.0942993,0.2098999,6.03125,56.484375,-4.859375
47,0.3828125,-1.6013794,-0.062561035,17.609375,36.5625,22.109375
48,0.15917969,-0.9265747,-0.08331299,32.828125,20.46875,-12.890625
49,-0.061279297,-0.48223877,0.03704834,43.234375,20.375,-4.484375
50,0.087402344,-0.20562744,-0.13311768,9.875,24.859375,6.3125
51,0.37963867,0.09906006,-0.10357666,4.171875,7.71875,1.34375
52,0.13354492,0.18817139,0.10247803,-14.796875,-14.984375,-6.53125
53,-0.14379883,-0.35186768,-0.15704346,-94.09375,-39.109375,-27.484375
54,0.64868164,-1.9888306,0.055603027,-18.21875,-5.046875,-0.109375
55,-0.12768555,-2.0,0.65423584,-14.03125,-21.84375,18.96875
56,-0.12475586,-1.2854614,-0.39093018,42.625,-33.09375,-36.046875
57,0.22314453,-1.8779907,0.34246826,12.421875,-13.3125,-14.046875
58,-0.26538086,-0.86602783,-0.024230957,1.765625,-21.203125,-5.359375
59,-0.12011719,-0.28399658,-0.050842285,4.171875,-14.5,-1.84375
60,-0.1315918,-0.14581299,0.09295654,14.5625,0.609375,-13.125
61,-0.12841797,0.017028809,-0.1038208,14.359375,28.15625,-12.546875
62,0.024169922,0.059509277,-0.109680176,9.140625,30.453125,-5.484375
63,0.13989258,-0.54351807,-0.6609497,-53.046875,7.15625,13.46875
64,0.88720703,-1.7786255,-0.07891846,-34.296875,-17.078125,55.65625
65,-0.6101074,-2.0,0.5848999,6.0625,8.515625,6.96875
66,-0.05053711,-1.46344,0.01751709,7.078125,57.78125,5.140625
67,0.33129883,-1.467102,0.022644043,12.359375,31.046875,10.265625
68,-0.018798828,-0.90997314,0.15301514,28.390625,21.265625,-9.078125
69,0.00048828125,-0.39141846,-0.003479004,38.09375,24.40625,-7.6875
70,0.18237305,-0.18927002,-0.11480713,10.390625,17.5625,5.3125
71,0.27197266,0.109558105,-0.06109619,0.046875,3.453125,1.171875
72,0.045166016,0.13104248,0.07513428,-18.265625,-8.328125,-6.09375
73,0.08935547,-0.40020752,-0.27301025,-85.15625,-36.109375,-20.640625
74,0.6645508,-2.0,0.077819824,-37.859375,-13.90625,-1.609375
75,-0.40551758,-2.0,0.6100464,-3.109375,-12.609375,17.34375
76,-0.016845703,-1.1619263,-0.5120239,45.265625,-15.046875,-44.84375
77,0.20874023,-1.7549438,0.40838623,2.8125,-9.0,-14.75
78,-0.2824707,-0.91119385,-0.038635254,10.265625,-20.09375,-4.1875
79,-0.060791016,-0.21905518,0.058044434,12.21875,-12.78125,-0.703125
80,-0.1496582,-0.040100098,0.10662842,19.96875,3.1875,-10.625
81,-0.17089844,0.112976074,-0.055725098,15.96875,19.265625,-9.96875
82,0.032470703,-0.003967285,-0.06842041,11.4375,30.21875,0.625
83,0.044921875,-0.6321411,-0.8401489,-64.453125,9.09375,17.171875
84,1.5825195,-2.0,-0.7246704,-18.078125,-12.296875,90.8125
85,-0.6784668,-2.0,0.70965576,4.40625,-0.828125,-2.65625
86,-0.51904297,-1.0945435,-0.0647583,5.875,53.90625,-12.09375
87,0.64453125,-1.388977,-0.077941895,19.0625,41.96875,17.546875
88,-0.051513672,-0.9656372,0.13031006,29.171875,13.546875,-11.71875
89,-0.0068359375,-0.3862915,0.019226074,37.140625,16.046875,-17.5625
90,0.06616211,-0.14996338,-0.19146729,12.546875,14.46875,1.796875
91,0.38427734,0.15789795,-0.1404419,2.65625,7.828125,-1.25
92,0.13500977,0.17889404,0.09832764,-17.046875,-12.390625,-6.796875
93,0.014892578,-0.44781494,-0.2197876,-112.125,-43.359375,-27.625
94,0.72875977,-2.0,-0.08843994,-4.78125,-24.734375,1.84375
95,-0.22875977,-2.0,0.44110107,6.078125,-9.625,7.03125
96,0.15698242,-1.234436,-0.48223877,37.75,-29.5625,-38.09375
97,-0.0029296875,-1.9141235,0.35858154,13.078125,-19.8125,-16.8125
98,-0.28271484,-0.7317505,-0.026184082,-4.734375,-27.75,-9.734375
99,-0.04736328,-0.19293213,-0.019592285,3.9375,-21.90625,-7.484375
100,-0.029785156,0.10784912,0.06829834,15.78125,-5.828125,-14.0
101,-0.13574219,0.09124756,-0.097961426,12.109375,16.890625,-11.921875
102,-0.030273438,-0.023010254,-0.008605957,3.921875,22.40625,-5.75
103,0.12158203,-0.723938,-0.81915283,-68.921875,-6.796875,8.46875
104,1.999939,-2.0,-0.1651001,0.21875,-35.921875,84.890625
105,-0.96118164,-2.0,0.7333374,-1.6875,0.765625,-5.328125
106,-0.26416016,-1.1155396,-0.097961426,12.890625,60.71875,3.609375
107,0.6394043,-1.4666138,0.018737793,12.765625,19.28125,11.625
108,-0.020019531,-0.861145,0.18670654,27.03125,8.21875,-16.109375
109,-0.12109375,-0.33233643,-0.0076293945,22.90625,12.671875,-14.171875
110,0.17919922,-0.15802002,-0.13311768,9.671875,12.375,0.75
111,0.30078125,0.15814209,-0.20172119,6.515625,-4.671875,0.0
112,0.15991211,0.13128662,-0.10357666,-16.5,-19.078125,-3.578125
113,0.23071289,-0.6223755,-0.109436035,-87.953125,-39.671875,-16.25
114,1.0336914,-2.0,0.15594482,9.34375,-39.953125,12.078125
115,-0.2980957,-1.9546509,-0.04083252,40.109375,-39.1875,-12.484375
116,0.44799805,-1.2971802,-0.24468994,18.25,-32.171875,-19.421875
117,-0.28320312,-1.6809692,0.2850952,6.734375,-36.65625,-4.296875
118,-0.1184082,-0.60357666,-0.0049438477,11.078125,-31.953125,-4.125
119,-0.15478516,-0.17022705,0.11273193,16.828125,-15.75,-3.9375
120,-0.103515625,0.05633545,0.066101074,14.84375,0.078125,-14.859375
121,-0.053955078,0.08929443,-0.062072754,7.265625,11.765625,-13.484375
122,0.041503906,0.013122559,-0.22955322,0.46875,15.4375,-1.84375
123,0.31469727,-0.9221802,-0.66607666,-74.4375,-21.53125,16.875
124,1.652832,-2.0,0.09832764,-10.28125,-17.5625,98.796875
125,-0.8461914,-2.0,0.6635132,37.578125,11.703125,-10.484375
126,0.3371582,-1.3196411,-0.30352783,20.09375,44.046875,20.921875
127,0.38793945,-1.2576294,0.10369873,23.0,14.765625,14.921875
128,-0.041015625,-0.86505127,0.15350342,32.34375,7.09375,-12.84375
129,-0.020751953,-0.31573486,0.03314209,24.515625,11.21875,-10.375
130,0.1706543,-0.13189697,-0.17803955,-1.109375,-3.234375,0.296875
131,0.2421875,0.08905029,-0.1272583,-4.703125,-6.84375,-6.484375
132,0.18017578,-0.019836426,-0.26226807,-35.1875,-23.359375,-9.1875
133,0.29736328,-0.70758057,-0.002746582,-69.515625,-22.015625,-24.265625
134,1.0534668,-2.0,0.08709717,-7.46875,-45.203125,17.0625
135,-0.012451172,-1.7456665,-0.13165283,14.921875,-46.390625,-23.46875
136,0.09838867,-1.3013306,-0.2029419,18.84375,-23.703125,-16.09375
137,-0.16333008,-1.6309204,0.33099365,7.96875,-19.609375,-9.25
