sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.0036621094,-0.92022705,0.3414917,0.265625,0.515625,-1.046875
1,-0.012207031,-0.9373169,0.33050537,1.171875,0.65625,-0.640625
2,0.0029296875,-0.9224243,0.3131714,-2.234375,-0.3125,-1.0
3,-0.001953125,-0.93218994,0.34100342,-0.109375,0.84375,-0.953125
4,-0.01953125,-0.93463135,0.3414917,1.078125,0.71875,-0.21875
5,-0.005126953,-0.93048096,0.3324585,-0.125,1.15625,-0.640625
6,-0.0036621094,-0.92315674,0.32904053,-0.546875,0.875,-0.71875
7,-0.012939453,-0.9324341,0.33294678,0.484375,0.375,-0.59375
8,-0.013183594,-0.93218994,0.31976318,-0.125,0.25,-0.15625
9,-0.0009765625,-0.93218994,0.3312378,0.703125,0.828125,-0.6875
10,-0.012207031,-0.93170166,0.324646,0.515625,0.640625,-0.59375
11,-0.0063476562,-0.9356079,0.32000732,0.34375,-0.234375,-0.5
12,-0.0146484375,-0.93634033,0.32537842,-0.109375,0.0625,-0.609375
13,-0.014160156,-0.9360962,0.3234253,0.21875,0.078125,-0.71875
14,-0.009521484,-0.9356079,0.31854248,0.171875,0.078125,-1.046875
15,-0.009277344,-0.928772,0.3139038,0.015625,0.046875,-0.8125
16,-0.017089844,-0.9336548,0.3168335,-0.046875,-0.296875,-0.90625
17,-0.012207031,-0.9390259,0.31488037,0.328125,-0.25,-0.953125
18,-0.0087890625,-0.93707275,0.30804443,0.265625,-0.296875,-0.921875
19,-0.008300781,-0.93292236,0.30975342,-0.109375,-0.296875,-1.109375
20,-0.01928711,-0.94659424,0.31072998,0.0625,-0.625,-0.96875
21,-0.010498047,-0.9314575,0.31903076,0.640625,0.078125,-0.9375
22,-0.018066406,-0.9421997,0.29632568,0.375,0.078125,-0.609375
23,-0.0026855469,-0.93829346,0.29486084,-1.890625,-0.703125,-1.109375
24,-0.017089844,-0.9390259,0.32073975,0.8125,0.21875,-0.609375
25,-0.014404297,-0.93634033,0.307312,-0.171875,-0.125,-0.234375
26,-0.011230469,-0.93463135,0.2987671,-0.46875,-0.265625,-0.328125
27,-0.010498047,-0.9390259,0.30316162,-0.09375,-0.515625,-0.125
28,-0.021972656,-0.94366455,0.30023193,0.640625,-0.171875,0.140625
29,-0.014160156,-0.93707275,0.2929077,-1.09375,0.015625,-0.25
30,-0.016845703,-0.93878174,0.30975342,0.625,0.0625,-0.125
31,-0.016845703,-0.9417114,0.30340576,-0.28125,-0.046875,0.09375
32,-0.011962891,-0.9404907,0.30169678,-0.15625,0.234375,-0.1875
33,-0.013183594,-0.94317627,0.30145264,-0.109375,0.125,-0.234375
34,-0.015625,-0.94000244,0.30340576,-0.09375,0.15625,-0.09375
35,-0.016113281,-0.94976807,0.3053589,-0.59375,0.328125,-0.1875
36,-0.012939453,-0.9402466,0.30413818,-0.796875,0.328125,-0.421875
