sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.16625977,-0.8845825,0.4142456,-1.703125,-0.4375,-0.78125
1,0.16381836,-0.89190674,0.4171753,-1.296875,-0.921875,-0.390625
2,0.16137695,-0.8845825,0.418396,-1.703125,-0.640625,-0.546875
3,0.15991211,-0.8858032,0.42840576,-1.1875,-0.890625,-0.53125
4,0.16015625,-0.88531494,0.42938232,0.15625,-0.40625,-0.140625
5,0.16088867,-0.8831177,0.4274292,-0.875,-0.921875,-0.171875
6,0.16186523,-0.88287354,0.4335327,-1.40625,-0.34375,-0.171875
7,0.16601562,-0.87823486,0.4244995,-0.828125,-1.171875,-0.25
8,0.16699219,-0.88067627,0.42645264,-1.3125,-0.46875,-0.359375
9,0.15673828,-0.8833618,0.4310913,-0.9375,-0.375,-0.3125
10,0.15527344,-0.88653564,0.43548584,0.328125,-1.0,0.109375
11,0.16088867,-0.88653564,0.4298706,0.078125,-0.015625,0.078125
12,0.15966797,-0.878479,0.43084717,-0.09375,-0.734375,0.125
13,0.1628418,-0.897522,0.42401123,-1.265625,-0.5625,-0.25
14,0.1574707,-0.88360596,0.4303589,-1.140625,-0.1875,-0.515625
15,0.15527344,-0.8862915,0.43963623,1.8125,-0.5,0.4375
16,0.15991211,-0.8755493,0.42767334,-0.453125,-0.265625,-0.046875
17,0.1652832,-0.8867798,0.4220581,0.78125,-0.1875,-0.078125
18,0.16430664,-0.8916626,0.4225464,0.828125,-0.421875,0.171875
19,0.16772461,-0.8899536,0.42596436,0.859375,-0.203125,-0.171875
20,0.16308594,-0.88726807,0.42401123,2.875,-0.171875,-0.109375
21,0.15844727,-0.8880005,0.4274292,3.53125,0.421875,-0.25
22,0.16210938,-0.89190674,0.4076538,4.53125,0.96875,-0.03125
23,0.16503906,-0.8953247,0.40374756,1.515625,0.53125,-0.390625
24,0.1652832,-0.89678955,0.4064331,3.84375,0.234375,-0.234375
25,0.15649414,-0.90802,0.40301514,3.234375,-0.0625,0.375
26,0.16845703,-0.89727783,0.40325928,2.71875,-0.078125,0.296875
27,0.16992188,-0.9036255,0.37420654,2.609375,-0.734375,0.359375
28,0.17944336,-0.9067993,0.38787842,0.90625,1.421875,-1.484375
29,0.16186523,-0.9006958,0.3912964,7.171875,2.28125,-0.3125
30,0.16748047,-0.8982544,0.36712646,8.953125,-0.03125,1.140625
31,0.17871094,-0.90411377,0.35614014,1.640625,0.546875,-0.34375
32,0.17236328,-0.91851807,0.37713623,3.53125,0.59375,0.1875
33,0.17260742,-0.91607666,0.34832764,2.421875,0.296875,-0.421875
34,0.16088867,-0.9053345,0.35150146,3.046875,0.234375,0.21875
35,0.16674805,-0.92193604,0.34246826,0.8125,-0.65625,0.078125
36,0.17236328,-0.92633057,0.3439331,2.078125,0.25,0.09375
37,0.17358398,-0.9199829,0.33929443,0.71875,0.703125,-0.34375
38,0.17211914,-0.92022705,0.3439331,-0.8125,0.953125,-1.203125
39,0.17407227,-0.9151001,0.33709717,4.34375,0.984375,-0.578125
40,0.16381836,-0.91729736,0.3258667,5.8125,-1.15625,0.90625
41,0.171875,-0.9180298,0.322937,2.703125,-0.25,0.34375
42,0.16748047,-0.9273071,0.31854248,2.015625,-0.5625,0.046875
43,0.17236328,-0.92803955,0.31585693,0.453125,-0.4375,0.265625
44,0.18115234,-0.91973877,0.3180542,-0.484375,-0.765625,-0.203125
45,0.17163086,-0.92633057,0.3131714,-0.546875,-0.515625,-0.1875
46,0.16772461,-0.93536377,0.3156128,-1.890625,-0.8125,-0.015625
47,0.17993164,-0.93096924,0.32269287,-2.015625,-0.484375,-0.25
48,0.18017578,-0.92681885,0.31463623,-4.484375,-1.234375,-0.28125
49,0.16821289,-0.9212036,0.3312378,-3.609375,-1.640625,-0.453125
50,0.17602539,-0.9224243,0.33953857,-3.484375,-1.15625,-0.609375
51,0.16918945,-0.90753174,0.3397827,-6.203125,-1.4375,-1.0625
52,0.16455078,-0.91656494,0.3632202,-2.65625,-1.171875,-0.609375
53,0.1586914,-0.9175415,0.34710693,-5.609375,-0.9375,-1.0625
54,0.15698242,-0.91485596,0.36029053,-3.359375,-1.359375,-0.171875
55,0.1706543,-0.90802,0.36224365,-3.34375,-1.296875,-0.546875
56,0.16870117,-0.9036255,0.36639404,-4.390625,-0.75,-1.3125
57,0.16503906,-0.91192627,0.36346436,-4.234375,-1.265625,-0.890625
58,0.15527344,-0.90289307,0.3829956,-2.890625,-1.0625,-0.359375
59,0.17016602,-0.90753174,0.37738037,-3.515625,-0.40625,-0.765625
60,0.1628418,-0.8965454,0.38446045,-4.0625,-0.84375,-1.140625
61,0.15722656,-0.90582275,0.38250732,-2.84375,-0.640625,-0.515625
62,0.1538086,-0.9038696,0.3866577,-3.375,-0.9375,-0.75
63,0.15600586,-0.8987427,0.40350342,-3.484375,-0.875,-0.890625
