sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.8823242,0.3475952,0.29656982,-0.734375,0.078125,0.21875
1,0.89038086,0.3444214,0.2921753,-1.03125,-0.125,0.09375
2,0.8823242,0.35272217,0.29193115,-1.078125,0.03125,0.078125
3,0.88061523,0.35736084,0.29608154,-0.6875,0.609375,0.265625
4,0.88500977,0.3444214,0.2929077,-0.59375,0.46875,0.03125
5,0.8898926,0.3493042,0.29022217,-0.9375,0.15625,0.125
6,0.88061523,0.34539795,0.28704834,-0.65625,0.4375,0.0625
7,0.8833008,0.3493042,0.28094482,-0.921875,0.40625,0.171875
8,0.88720703,0.3451538,0.27996826,-0.75,0.5,-0.109375
9,0.888916,0.3529663,0.28900146,-0.984375,0.3125,-0.125
10,0.8977051,0.3468628,0.26385498,-1.640625,0.734375,-0.125
11,0.88623047,0.34979248,0.29632568,-0.4375,1.484375,0.109375
12,0.89501953,0.3361206,0.27850342,-0.28125,0.375,0.125
13,0.8833008,0.34539795,0.27947998,-1.34375,0.515625,0.015625
14,0.8874512,0.3468628,0.2819214,-0.484375,0.328125,-0.046875
15,0.8918457,0.35150146,0.28656006,-0.46875,0.28125,0.421875
16,0.88964844,0.34710693,0.27874756,-0.390625,-0.140625,0.296875
17,0.88964844,0.34197998,0.28118896,0.265625,0.34375,0.078125
18,0.8881836,0.34613037,0.28045654,-0.609375,0.015625,0.015625
19,0.88964844,0.3373413,0.2850952,0.375,0.859375,0.375
20,0.8952637,0.34173584,0.27191162,0.328125,0.828125,0.515625
21,0.8840332,0.35003662,0.27752686,0.0,0.4375,0.3125
22,0.8881836,0.34222412,0.27313232,-0.078125,0.40625,0.125
23,0.890625,0.3444214,0.27630615,-0.109375,-0.0625,0.609375
24,0.89624023,0.34417725,0.27459717,-0.328125,0.125,0.265625
25,0.89575195,0.34320068,0.28582764,-0.109375,0.515625,0.265625
26,0.8952637,0.34710693,0.2814331,-0.140625,-0.125,0.4375
27,0.8901367,0.34051514,0.276062,-0.265625,0.0625,0.40625
28,0.8898926,0.3456421,0.2802124,-0.1875,0.078125,0.484375
29,0.89038086,0.34295654,0.27874756,-0.140625,0.1875,0.5
30,0.88549805,0.35003662,0.27581787,-0.4375,-0.0625,0.390625
31,0.89331055,0.34075928,0.27313232,-0.875,-0.75,0.234375
32,0.89331055,0.34100342,0.28460693,-0.453125,0.0,0.28125
33,0.89160156,0.340271,0.25408936,-1.5625,-0.203125,0.375
34,0.88012695,0.35101318,0.29388428,0.515625,1.03125,0.578125
35,0.90063477,0.34002686,0.276062,0.171875,0.546875,0.3125
36,0.8876953,0.34979248,0.27947998,-0.25,0.328125,0.34375
37,0.89160156,0.35125732,0.28045654,0.359375,0.3125,0.28125
38,0.88916016,0.340271,0.28240967,0.0625,-0.234375,0.828125
39,0.89404297,0.34295654,0.27679443,-0.46875,-0.546875,0.71875
40,0.89501953,0.34222412,0.28533936,0.53125,0.015625,0.453125
41,0.8935547,0.34588623,0.28070068,-0.484375,-0.234375,0.296875
42,0.892334,0.34710693,0.28167725,0.265625,0.03125,0.71875
43,0.8918457,0.34100342,0.27508545,0.03125,-0.046875,0.53125
44,0.8886719,0.35198975,0.28582764,0.359375,0.25,0.8125
45,0.89086914,0.34417725,0.2772827,-0.328125,-0.5,0.4375
46,0.8859863,0.3451538,0.28167725,-0.15625,-0.234375,0.671875
47,0.89282227,0.34588623,0.2772827,-0.515625,-0.71875,0.6875
48,0.88793945,0.3444214,0.28460693,0.015625,-0.1875,0.578125
49,0.89746094,0.34857178,0.28411865,-0.328125,-0.140625,0.234375
50,0.888916,0.34906006,0.28485107,-0.390625,-0.34375,0.59375
51,0.88842773,0.34320068,0.28363037,-0.234375,-0.625,0.703125
52,0.8911133,0.3456421,0.27972412,-0.3125,-1.0,0.40625
53,0.8857422,0.35003662,0.28729248,-0.171875,-0.78125,0.5625
54,0.88916016,0.34295654,0.28289795,-0.484375,-1.0,0.609375
55,0.8942871,0.33929443,0.28070068,-0.703125,-0.828125,0.609375
56,0.8852539,0.34320068,0.2970581,0.265625,-0.5625,0.640625
57,0.8876953,0.34246826,0.28045654,-1.484375,-0.328125,0.5
58,0.8745117,0.3444214,0.29534912,-0.234375,0.15625,1.078125
59,0.89086914,0.34588623,0.29510498,0.5625,-0.453125,0.4375
60,0.8898926,0.34881592,0.28631592,-0.8125,-0.71875,0.40625
61,0.88378906,0.35125732,0.2975464,-0.03125,-0.25,0.453125
62,0.8876953,0.34881592,0.29437256,-0.296875,-0.09375,0.640625
63,0.88061523,0.354187,0.2904663,-0.296875,0.0,0.859375
64,0.8859863,0.3451538,0.30316162,0.15625,-0.171875,0.375
65,0.88793945,0.34466553,0.29486084,-0.5625,-0.59375,0.375
66,0.8713379,0.35394287,0.2921753,-0.078125,-0.09375,0.546875
