sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.8022461,-0.16021729,-0.5784302,-0.921875,-0.90625,0.09375
1,-0.8022461,-0.15362549,-0.5679321,-1.171875,-0.21875,0.078125
2,-0.8005371,-0.16119385,-0.5979614,-1.109375,-0.28125,0.28125
3,-0.79833984,-0.17144775,-0.56256104,-0.265625,-0.546875,0.09375
4,-0.80322266,-0.16314697,-0.5881958,-1.28125,-0.453125,-0.046875
5,-0.79467773,-0.16314697,-0.5767212,-0.40625,-0.734375,0.0625
6,-0.7973633,-0.16729736,-0.5737915,-1.140625,-0.265625,0.03125
7,-0.7949219,-0.1651001,-0.5823364,-1.046875,-0.421875,0.109375
8,-0.7956543,-0.16241455,-0.5689087,-0.296875,-0.5,0.375
9,-0.7932129,-0.16363525,-0.581604,-1.0,-0.578125,0.171875
10,-0.79541016,-0.1675415,-0.5757446,-0.671875,-0.625,0.3125
11,-0.8010254,-0.16705322,-0.5737915,-0.703125,-0.84375,0.140625
12,-0.80200195,-0.1716919,-0.5767212,-0.609375,-0.671875,0.09375
13,-0.7998047,-0.16656494,-0.5725708,-0.6875,-0.40625,0.046875
14,-0.8010254,-0.16680908,-0.57696533,-0.890625,-0.171875,-0.03125
15,-0.7922363,-0.17120361,-0.5808716,-0.796875,-0.390625,-0.015625
16,-0.7973633,-0.17340088,-0.5737915,-0.765625,-0.40625,0.1875
17,-0.80200195,-0.17144775,-0.5755005,-0.515625,-0.453125,0.34375
18,-0.80444336,-0.16973877,-0.57696533,-0.125,-0.640625,0.171875
19,-0.7922363,-0.17047119,-0.565979,0.359375,-0.828125,0.1875
20,-0.79248047,-0.1729126,-0.57232666,0.28125,-0.578125,0.09375
21,-0.79589844,-0.17242432,-0.579895,0.140625,-0.828125,0.078125
22,-0.8000488,-0.17144775,-0.5803833,-0.59375,-0.359375,0.28125
23,-0.79785156,-0.1729126,-0.5874634,-0.203125,-0.5625,0.53125
24,-0.8017578,-0.1741333,-0.5652466,0.03125,-0.296875,0.296875
