sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.23657227,-0.9026489,0.4196167,0.296875,1.0625,0.296875
1,-0.2241211,-0.89630127,0.4118042,0.09375,1.3125,0.234375
2,-0.23876953,-0.8987427,0.42279053,-0.3125,1.328125,-0.125
3,-0.23046875,-0.8989868,0.42547607,-0.25,1.625,-0.125
4,-0.23388672,-0.90045166,0.42816162,0.171875,1.34375,0.0
5,-0.22509766,-0.8982544,0.4244995,1.03125,1.71875,0.421875
6,-0.22802734,-0.90338135,0.42401123,0.984375,1.9375,0.296875
7,-0.22460938,-0.897522,0.4232788,0.09375,0.6875,0.203125
8,-0.24121094,-0.9180298,0.4159546,2.03125,1.171875,0.4375
9,-0.2290039,-0.9014282,0.4232788,-0.40625,1.140625,0.0625
10,-0.22924805,-0.90093994,0.42523193,1.734375,1.65625,0.421875
11,-0.22558594,-0.9038696,0.41375732,1.0625,1.609375,0.5625
12,-0.22631836,-0.90093994,0.41156006,0.484375,1.265625,0.703125
13,-0.22998047,-0.9065552,0.41815186,1.53125,1.125,0.5625
14,-0.22094727,-0.89434814,0.42034912,1.015625,0.90625,0.5625
15,-0.22509766,-0.9036255,0.40863037,0.75,1.03125,0.5
16,-0.21582031,-0.9133911,0.41448975,1.890625,0.421875,0.625
17,-0.2211914,-0.9031372,0.4052124,1.28125,0.9375,0.578125
18,-0.22290039,-0.9085083,0.4022827,1.078125,1.3125,0.5
19,-0.22460938,-0.9060669,0.3973999,0.953125,0.84375,0.484375
20,-0.22949219,-0.9089966,0.40301514,0.9375,1.359375,0.453125
21,-0.21899414,-0.9199829,0.401062,0.21875,1.046875,0.46875
22,-0.21948242,-0.913147,0.3973999,0.671875,1.125,0.28125
23,-0.21411133,-0.90582275,0.40545654,0.203125,1.390625,-0.078125
24,-0.22753906,-0.9187622,0.4003296,0.953125,1.203125,0.375
25,-0.21948242,-0.89971924,0.41644287,-1.078125,1.34375,-0.3125
26,-0.21704102,-0.9055786,0.401062,0.953125,1.0625,0.078125
27,-0.22290039,-0.9043579,0.39813232,-0.78125,2.15625,-0.21875
28,-0.21606445,-0.9065552,0.40130615,-0.78125,0.484375,-0.078125
29,-0.22802734,-0.9085083,0.4015503,-0.1875,0.65625,0.3125
30,-0.21728516,-0.9072876,0.4039917,-0.734375,0.984375,-0.015625
31,-0.22436523,-0.9026489,0.40594482,-0.890625,0.703125,-0.125
32,-0.22705078,-0.9031372,0.4088745,-0.546875,0.6875,-0.015625
33,-0.21972656,-0.9055786,0.401062,-1.65625,0.21875,-0.125
