sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.21533203,-0.10040283,-0.93048096,-0.046875,0.71875,0.21875
1,0.21972656,-0.09527588,-0.91973877,0.109375,0.734375,0.140625
2,0.21704102,-0.093566895,-0.92266846,0.5,0.78125,0.359375
3,0.22241211,-0.09844971,-0.92071533,0.5,0.875,0.421875
4,0.22216797,-0.10040283,-0.9143677,0.21875,0.625,0.28125
5,0.22338867,-0.09454346,-0.91851807,0.125,0.71875,0.1875
6,0.22460938,-0.097473145,-0.91412354,0.28125,0.78125,0.3125
7,0.22021484,-0.09503174,-0.9229126,0.125,1.109375,0.328125
8,0.22558594,-0.09283447,-0.92071533,0.40625,0.828125,0.171875
9,0.22314453,-0.09088135,-0.92755127,0.296875,0.734375,0.296875
10,0.22290039,-0.09185791,-0.92144775,0.125,0.765625,0.234375
11,0.22338867,-0.08526611,-0.9168091,-0.125,0.859375,0.234375
12,0.22338867,-0.08892822,-0.9209595,-0.078125,0.78125,0.1875
13,0.22216797,-0.089416504,-0.92022705,-0.171875,1.203125,0.046875
14,0.22192383,-0.08477783,-0.9168091,-0.3125,0.5625,0.171875
15,0.22363281,-0.08843994,-0.92144775,-0.125,0.796875,0.21875
16,0.22509766,-0.0869751,-0.92144775,-0.3125,1.125,0.046875
17,0.22460938,-0.08746338,-0.9199829,-0.265625,1.078125,0.125
18,0.22021484,-0.086242676,-0.9146118,-0.109375,1.0,0.171875
19,0.22363281,-0.08380127,-0.9151001,-0.25,0.8125,0.140625
20,0.22265625,-0.09063721,-0.91973877,-0.203125,0.859375,0.046875
21,0.22949219,-0.085754395,-0.9182739,-0.453125,1.015625,0.03125
22,0.22436523,-0.08770752,-0.913147,0.0,1.140625,0.171875
23,0.22460938,-0.08258057,-0.9209595,0.03125,0.984375,0.203125
24,0.2253418,-0.08404541,-0.9204712,-0.0625,1.03125,0.265625
25,0.22680664,-0.08477783,-0.9180298,-0.234375,0.875,0.0625
26,0.2290039,-0.08770752,-0.92022705,-0.25,1.09375,-0.015625
27,0.2211914,-0.08746338,-0.9180298,-0.28125,1.0,0.0
28,0.22729492,-0.0881958,-0.92071533,-0.390625,0.84375,0.15625
29,0.2241211,-0.089416504,-0.9248657,-0.53125,1.046875,-0.09375
30,0.22705078,-0.08795166,-0.91973877,-0.515625,0.9375,0.078125
31,0.22338867,-0.08477783,-0.92144775,-0.609375,1.015625,0.265625
32,0.22851562,-0.0803833,-0.9187622,-0.46875,1.25,0.09375
33,0.22436523,-0.08111572,-0.92144775,-0.328125,1.015625,0.125
34,0.22827148,-0.08648682,-0.9175415,-0.1875,1.0625,0.171875
35,0.22509766,-0.08673096,-0.9180298,-0.375,1.046875,0.046875
36,0.2253418,-0.09307861,-0.91851807,-0.546875,0.921875,0.0
37,0.21972656,-0.085510254,-0.9155884,-0.328125,1.1875,0.171875
38,0.22924805,-0.09136963,-0.9151001,-0.125,1.15625,0.125
39,0.22460938,-0.09088135,-0.91778564,-0.0625,0.984375,0.265625
40,0.2290039,-0.08477783,-0.9209595,-0.109375,1.125,0.265625
41,0.22216797,-0.08477783,-0.92388916,-0.46875,0.8125,0.21875
42,0.2253418,-0.08795166,-0.9187622,-0.640625,1.125,0.03125
43,0.22338867,-0.08673096,-0.9170532,-0.5,0.890625,0.15625
44,0.2241211,-0.085510254,-0.9155884,-0.8125,1.15625,0.109375
45,0.22314453,-0.085510254,-0.9248657,-0.984375,1.375,0.015625
46,0.2265625,-0.08087158,-0.9104614,-0.734375,1.0625,0.03125
47,0.22973633,-0.089660645,-0.92022705,-1.015625,1.265625,-0.078125
48,0.2211914,-0.08795166,-0.91290283,-0.8125,1.703125,0.03125
49,0.22338867,-0.08868408,-0.9163208,-1.0625,1.53125,0.0625
50,0.22363281,-0.09185791,-0.9212036,-0.734375,1.59375,-0.171875
51,0.22216797,-0.09063721,-0.927063,-1.125,1.703125,-0.046875
52,0.22290039,-0.09698486,-0.9258423,-1.21875,1.609375,0.078125
53,0.21557617,-0.093566895,-0.9133911,-0.828125,1.53125,-0.015625
54,0.21679688,-0.09136963,-0.9265747,-0.75,1.59375,0.046875
55,0.22045898,-0.09283447,-0.9234009,-0.34375,1.546875,0.203125
56,0.22314453,-0.089904785,-0.923645,-0.625,1.5,-0.03125
57,0.22192383,-0.09649658,-0.9204712,-1.1875,1.375,0.0
58,0.22216797,-0.093811035,-0.92388916,-1.140625,1.40625,0.078125
59,0.21948242,-0.1038208,-0.9229126,-1.09375,1.453125,-0.015625
60,0.2121582,-0.09820557,-0.9151001,-1.09375,1.921875,-0.21875
61,0.2121582,-0.097473145,-0.925354,-1.484375,1.9375,-0.125
62,0.21582031,-0.10064697,-0.913147,-1.515625,1.4375,-0.109375
63,0.21948242,-0.10479736,-0.92266846,-1.578125,1.578125,-0.078125
64,0.21508789,-0.10479736,-0.92388916,-1.0,1.703125,-0.03125
65,0.21240234,-0.1104126,-0.9212036,-1.328125,1.421875,-0.296875
66,0.20996094,-0.105529785,-0.9182739,-1.203125,1.609375,-0.078125
67,0.20922852,-0.109191895,-0.9246216,-1.5,1.46875,-0.234375
68,0.20922852,-0.10430908,-0.91656494,-1.109375,1.71875,-0.21875
69,0.2133789,-0.11016846,-0.9209595,-0.265625,1.78125,0.09375
70,0.21069336,-0.11187744,-0.9246216,-0.21875,1.265625,0.0
71,0.2133789,-0.11114502,-0.923645,-0.5,1.203125,-0.140625
72,0.20996094,-0.10870361,-0.92437744,-0.953125,1.0625,-0.015625
73,0.2055664,-0.10748291,-0.91656494,-0.828125,1.515625,0.015625
74,0.21264648,-0.10772705,-0.9175415,-0.921875,1.078125,-0.015625
75,0.21191406,-0.11920166,-0.9194946,-1.171875,1.0,0.015625
76,0.20629883,-0.113586426,-0.93536377,-1.578125,1.75,-0.234375
77,0.203125,-0.116760254,-0.9024048,-0.953125,0.84375,-0.078125
78,0.20922852,-0.11529541,-0.92510986,-1.65625,1.3125,-0.171875
79,0.21020508,-0.11456299,-0.9199829,-0.921875,1.109375,0.046875
80,0.20996094,-0.11895752,-0.9216919,-0.875,1.140625,-0.03125
81,0.20751953,-0.117004395,-0.9248657,-0.859375,0.890625,0.046875
82,0.21191406,-0.117492676,-0.9168091,-0.953125,0.90625,0.0625
83,0.20629883,-0.11407471,-0.9175415,-0.828125,1.140625,0.03125
84,0.20898438,-0.12310791,-0.91192627,-0.015625,1.203125,0.125
85,0.20678711,-0.116760254,-0.9282837,0.421875,0.8125,0.265625
86,0.20703125,-0.11895752,-0.923645,0.09375,0.96875,0.046875
87,0.20727539,-0.11993408,-0.9234009,-0.046875,0.734375,0.203125
88,0.21362305,-0.113342285,-0.92633057,-0.40625,1.078125,0.0625
89,0.20825195,-0.11773682,-0.91534424,-0.546875,0.921875,0.125
90,0.21240234,-0.11456299,-0.92144775,-0.234375,0.6875,0.234375
91,0.20263672,-0.124816895,-0.9312134,-1.0625,1.46875,0.0
92,0.20654297,-0.117004395,-0.90802,-0.609375,0.84375,0.046875
93,0.20507812,-0.12677002,-0.92510986,-1.0625,1.046875,-0.046875
94,0.2097168,-0.1194458,-0.9224243,-0.53125,1.078125,-0.015625
95,0.21362305,-0.11993408,-0.92388916,-0.125,1.0625,0.1875
96,0.20751953,-0.11578369,-0.9216919,-0.296875,0.984375,0.0625
97,0.20922852,-0.1182251,-0.9168091,0.078125,1.0625,0.171875
98,0.20874023,-0.11895752,-0.92437744,-0.25,1.21875,0.078125
99,0.21044922,-0.12017822,-0.9168091,0.3125,1.375,0.171875
100,0.20581055,-0.11383057,-0.91900635,0.828125,1.25,0.203125
101,0.21801758,-0.113342285,-0.9204712,0.25,1.0,0.15625
102,0.2006836,-0.10870361,-0.9241333,0.1875,1.109375,0.078125
103,0.20947266,-0.10723877,-0.91778564,-0.140625,1.203125,0.15625
104,0.21484375,-0.11431885,-0.9158325,-0.234375,0.9375,0.359375
105,0.20825195,-0.11456299,-0.9126587,0.15625,0.96875,0.1875
106,0.21484375,-0.11383057,-0.93096924,-0.15625,1.90625,0.078125
107,0.20581055,-0.10723877,-0.90216064,-0.015625,1.125,0.140625
108,0.21313477,-0.121154785,-0.9265747,-0.671875,1.328125,0.109375
109,0.20092773,-0.117004395,-0.92315674,-0.140625,1.125,0.3125
110,0.2055664,-0.11187744,-0.91973877,-0.015625,1.046875,0.34375
111,0.20800781,-0.113098145,-0.92388916,0.453125,1.328125,0.4375
112,0.20288086,-0.11627197,-0.91485596,0.5,1.09375,0.34375
113,0.20776367,-0.11260986,-0.923645,-0.078125,1.140625,0.1875
114,0.20605469,-0.11065674,-0.9109497,-0.09375,1.1875,0.21875
115,0.20800781,-0.11065674,-0.9146118,0.296875,1.21875,0.265625
116,0.20922852,-0.109680176,-0.9265747,0.515625,0.8125,0.09375
117,0.20507812,-0.109191895,-0.92071533,0.5,0.78125,0.140625
118,0.20751953,-0.1104126,-0.9258423,-0.265625,0.640625,0.15625
119,0.20751953,-0.113586426,-0.92633057,-0.21875,0.59375,0.171875
120,0.21020508,-0.105773926,-0.91607666,-0.15625,0.359375,0.34375
121,0.20825195,-0.10675049,-0.9216919,-0.171875,0.640625,0.125
122,0.20874023,-0.10723877,-0.9199829,-0.359375,1.1875,-0.015625
123,0.21191406,-0.101379395,-0.9182739,-0.1875,0.453125,0.125
124,0.21264648,-0.105773926,-0.92193604,-0.328125,0.84375,-0.0625
125,0.20581055,-0.10211182,-0.9199829,-0.359375,0.96875,0.25
126,0.21459961,-0.09893799,-0.91729736,0.0,0.75,0.28125
127,0.21899414,-0.10406494,-0.92022705,0.125,0.78125,0.390625
128,0.2121582,-0.10650635,-0.9221802,0.1875,0.890625,0.109375
129,0.21655273,-0.11383057,-0.9204712,-0.171875,0.65625,0.171875
130,0.21044922,-0.10089111,-0.91290283,0.109375,0.828125,0.140625
131,0.2175293,-0.10308838,-0.9194946,0.53125,0.859375,0.34375
132,0.22241211,-0.10406494,-0.925354,0.703125,0.90625,0.328125
133,0.21362305,-0.09674072,-0.9229126,0.453125,0.875,0.140625
134,0.2133789,-0.1038208,-0.92193604,0.09375,0.578125,0.34375
135,0.21459961,-0.10064697,-0.92071533,0.078125,0.84375,0.234375
136,0.21923828,-0.09918213,-0.9229126,-0.203125,0.65625,0.109375
137,0.21606445,-0.0960083,-0.9180298,0.0,0.546875,0.1875
138,0.21850586,-0.09210205,-0.92559814,-0.03125,0.984375,0.0
139,0.21435547,-0.097473145,-0.92266846,-0.265625,0.984375,0.234375
140,0.21923828,-0.09625244,-0.9216919,-0.171875,0.859375,0.171875
141,0.2133789,-0.097717285,-0.9168091,-0.15625,0.890625,0.125
142,0.21875,-0.09039307,-0.91656494,0.015625,0.828125,0.15625
143,0.22094727,-0.10015869,-0.91778564,-0.015625,0.921875,0.296875
144,0.22070312,-0.09161377,-0.9221802,0.09375,0.8125,0.390625
145,0.2175293,-0.09674072,-0.9265747,-0.3125,0.765625,0.15625
146,0.2163086,-0.097717285,-0.9138794,-0.21875,0.71875,0.125
147,0.21679688,-0.09088135,-0.9182739,-0.046875,0.859375,0.28125
148,0.21923828,-0.09259033,-0.9307251,0.140625,0.625,0.15625
149,0.2199707,-0.09234619,-0.9221802,0.359375,0.921875,0.359375
150,0.22070312,-0.08892822,-0.9209595,0.078125,0.703125,0.078125
151,0.22314453,-0.08917236,-0.9194946,-0.234375,0.671875,0.171875
152,0.2199707,-0.089660645,-0.92437744,-0.25,0.8125,0.0625
153,0.22729492,-0.09112549,-0.9273071,-0.328125,1.03125,0.078125
154,0.21923828,-0.08868408,-0.91485596,-0.015625,0.84375,0.1875
155,0.22314453,-0.09088135,-0.9258423,-0.21875,1.0,0.125
156,0.2241211,-0.08917236,-0.9258423,-0.421875,1.28125,0.21875
157,0.22314453,-0.09112549,-0.91778564,-0.46875,0.75,0.1875
158,0.22460938,-0.09136963,-0.9204712,-0.359375,0.890625,0.140625
159,0.2211914,-0.089660645,-0.91973877,-0.484375,1.15625,0.0625
160,0.22387695,-0.09112549,-0.91778564,-0.296875,0.921875,0.1875
161,0.22192383,-0.093811035,-0.9170532,-0.09375,1.046875,0.15625
162,0.2241211,-0.08673096,-0.9168091,-0.21875,0.90625,0.390625
163,0.22680664,-0.09136963,-0.92559814,-0.453125,0.71875,0.21875
164,0.22045898,-0.089904785,-0.91534424,-0.375,0.75,0.046875
165,0.22192383,-0.090148926,-0.9163208,-0.125,0.96875,0.0625
166,0.22143555,-0.085510254,-0.9182739,-0.109375,0.96875,0.015625
167,0.22924805,-0.09112549,-0.91778564,-0.203125,0.859375,0.09375
168,0.22021484,-0.086242676,-0.91851807,-0.265625,0.859375,0.109375
169,0.22021484,-0.086242676,-0.92633057,-0.40625,0.984375,0.1875
170,0.22094727,-0.08917236,-0.9194946,-0.15625,1.3125,0.1875
171,0.22192383,-0.08502197,-0.92266846,-0.53125,1.109375,0.125
172,0.22338867,-0.08721924,-0.9192505,-0.3125,0.890625,0.234375
173,0.2211914,-0.08331299,-0.923645,-0.546875,1.25,-0.015625
174,0.22387695,-0.08892822,-0.9116821,-0.46875,1.125,0.15625
175,0.22827148,-0.093322754,-0.9224243,-0.578125,1.140625,0.09375
176,0.22460938,-0.08502197,-0.91900635,-0.640625,1.125,0.03125
177,0.22338867,-0.08380127,-0.9204712,-0.375,1.125,0.171875
178,0.2211914,-0.08843994,-0.9151001,-0.265625,1.171875,0.171875
179,0.22265625,-0.0960083,-0.9187622,-0.390625,1.15625,0.1875
180,0.22583008,-0.09039307,-0.9194946,-0.4375,1.0625,0.09375
181,0.22314453,-0.08721924,-0.92022705,-0.65625,1.0625,-0.03125
182,0.22680664,-0.089660645,-0.91607666,-0.453125,1.265625,0.078125
183,0.22070312,-0.0881958,-0.92266846,-0.265625,1.265625,0.09375
184,0.22607422,-0.09136963,-0.91900635,-0.5,1.265625,-0.125
185,0.22021484,-0.085754395,-0.9229126,-0.53125,1.265625,0.046875
186,0.22216797,-0.089416504,-0.92193604,-0.75,1.265625,0.046875
187,0.22338867,-0.08721924,-0.92266846,-0.828125,1.25,0.09375
188,0.21655273,-0.085754395,-0.9180298,-0.890625,0.921875,0.140625
