sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.72314453,0.13153076,0.8012085,-0.09375,0.34375,0.734375
1,-0.71972656,0.13128662,0.80389404,0.015625,0.234375,0.515625
2,-0.7211914,0.14422607,0.79193115,0.15625,0.484375,0.515625
3,-0.72436523,0.13861084,0.7941284,0.0,0.09375,0.484375
4,-0.7233887,0.1437378,0.7987671,-0.046875,0.125,0.46875
5,-0.7224121,0.14154053,0.8016968,-0.09375,0.125,0.421875
6,-0.7194824,0.13861084,0.79974365,-0.015625,-0.03125,0.484375
7,-0.71875,0.13812256,0.8036499,0.03125,0.3125,0.53125
8,-0.7175293,0.14471436,0.8016968,-0.078125,-0.046875,0.578125
9,-0.71191406,0.14642334,0.7921753,-0.34375,0.71875,0.421875
10,-0.7128906,0.15130615,0.7953491,-0.328125,0.296875,0.546875
11,-0.72021484,0.14007568,0.8031616,-0.0625,0.0,0.484375
12,-0.71972656,0.13812256,0.80340576,-0.3125,0.15625,0.46875
13,-0.7089844,0.14935303,0.7977905,-0.1875,0.234375,0.515625
14,-0.7163086,0.1552124,0.79803467,-0.078125,0.0625,0.515625
15,-0.7158203,0.14886475,0.7992554,-0.375,0.15625,0.53125
16,-0.7141113,0.14520264,0.79681396,-0.140625,0.109375,0.515625
17,-0.70996094,0.15130615,0.80096436,-0.46875,0.28125,0.5
18,-0.7207031,0.14276123,0.80096436,-0.375,0.375,0.46875
19,-0.7121582,0.14520264,0.80340576,-0.125,-0.015625,0.421875
20,-0.71240234,0.16009521,0.7987671,0.15625,0.015625,0.6875
21,-0.7104492,0.15740967,0.8029175,-0.046875,0.046875,0.484375
22,-0.71313477,0.15545654,0.7987671,0.015625,-0.09375,0.5625
23,-0.70947266,0.14959717,0.8016968,0.140625,-0.0625,0.515625
24,-0.7084961,0.14984131,0.8041382,0.296875,-0.03125,0.640625
25,-0.71606445,0.15765381,0.8070679,0.15625,-0.109375,0.484375
26,-0.71313477,0.15911865,0.8048706,0.21875,-0.1875,0.875
27,-0.70825195,0.15545654,0.79901123,-0.125,0.5625,0.078125
28,-0.71484375,0.15740967,0.795105,0.25,-0.5,0.734375
29,-0.71069336,0.15252686,0.8048706,0.3125,-0.34375,0.578125
30,-0.7141113,0.15106201,0.8043823,0.21875,-0.484375,0.578125
31,-0.71484375,0.16033936,0.80340576,0.28125,0.09375,0.71875
32,-0.7126465,0.1642456,0.7992554,0.53125,-0.265625,0.765625
33,-0.71069336,0.15570068,0.8019409,0.390625,-0.34375,0.71875
34,-0.7141113,0.1473999,0.8070679,0.484375,-0.328125,0.859375
35,-0.7084961,0.15765381,0.80511475,0.4375,-0.171875,0.921875
36,-0.71484375,0.15765381,0.7958374,0.3125,-0.265625,0.8125
37,-0.7102051,0.1552124,0.7970581,0.5,-0.484375,0.8125
38,-0.7104492,0.16278076,0.8012085,0.65625,-0.265625,1.0625
39,-0.7102051,0.15496826,0.8016968,0.46875,-0.28125,0.984375
40,-0.70751953,0.15618896,0.8043823,0.59375,-0.46875,0.953125
41,-0.7126465,0.15374756,0.8007202,0.6875,-0.359375,1.09375
42,-0.7077637,0.16009521,0.8004761,0.65625,-0.40625,1.015625
43,-0.71313477,0.15252686,0.80340576,0.75,-0.734375,1.078125
44,-0.7150879,0.16375732,0.8019409,0.734375,-0.625,1.234375
45,-0.72143555,0.15545654,0.80511475,0.90625,-0.5,1.125
46,-0.7084961,0.15814209,0.79315186,0.546875,-0.046875,0.96875
47,-0.71655273,0.14398193,0.80584717,0.953125,-0.859375,1.0625
48,-0.7219238,0.15130615,0.8012085,1.140625,-0.890625,1.109375
49,-0.71313477,0.14935303,0.79730225,1.03125,-0.453125,1.125
50,-0.71533203,0.14886475,0.80096436,0.859375,-0.46875,1.375
51,-0.7114258,0.14471436,0.7994995,0.734375,-0.65625,1.15625
52,-0.71362305,0.14056396,0.8007202,0.734375,-0.578125,1.09375
53,-0.7138672,0.14813232,0.8078003,0.84375,-0.28125,1.0625
54,-0.71850586,0.14349365,0.80096436,0.5625,-0.5625,1.0625
55,-0.7199707,0.1383667,0.80145264,0.546875,-0.59375,1.15625
56,-0.7192383,0.1437378,0.7994995,0.6875,-0.65625,1.078125
57,-0.7216797,0.1461792,0.7963257,0.828125,-0.375,1.0
58,-0.72143555,0.14520264,0.7958374,0.765625,-0.5,1.0625
59,-0.71972656,0.14447021,0.7987671,0.765625,-0.421875,0.96875
60,-0.7192383,0.14154053,0.80267334,0.8125,-0.21875,0.875
61,-0.71606445,0.14544678,0.79852295,0.828125,-0.484375,1.109375
62,-0.7141113,0.137146,0.80926514,0.703125,-0.59375,1.0
63,-0.7229004,0.14471436,0.8004761,0.828125,-0.3125,1.09375
64,-0.71533203,0.14300537,0.78704834,0.53125,-0.28125,0.953125
65,-0.7236328,0.13323975,0.79901123,0.828125,-0.78125,0.890625
66,-0.7241211,0.13397217,0.8043823,0.953125,-0.421875,0.96875
67,-0.71191406,0.13739014,0.80511475,0.46875,-0.265625,0.859375
68,-0.7224121,0.13739014,0.80218506,0.6875,-0.328125,1.078125
69,-0.7211914,0.14642334,0.79852295,0.515625,-0.328125,1.0
70,-0.71850586,0.1305542,0.7975464,0.46875,-0.359375,1.0
71,-0.720459,0.13543701,0.79315186,0.390625,-0.203125,0.921875
72,-0.7260742,0.13787842,0.80145264,0.375,-0.203125,0.859375
73,-0.7192383,0.13006592,0.79852295,0.40625,-0.34375,0.9375
74,-0.72680664,0.13201904,0.7926636,0.640625,-0.28125,0.890625
75,-0.71875,0.14129639,0.793396,0.515625,-0.359375,0.796875
76,-0.71875,0.13250732,0.7999878,0.40625,-0.25,0.953125
77,-0.72021484,0.13128662,0.79437256,0.515625,-0.203125,0.765625
78,-0.72094727,0.137146,0.79852295,0.46875,-0.140625,0.90625
79,-0.71899414,0.13763428,0.79730225,0.5,-0.390625,0.765625
80,-0.72216797,0.13494873,0.8036499,0.546875,-0.328125,0.734375
81,-0.720459,0.1383667,0.8043823,0.703125,-0.328125,0.890625
82,-0.71899414,0.13983154,0.795105,0.25,-0.25,0.796875
83,-0.7211914,0.13128662,0.8016968,0.53125,-0.5625,0.71875
84,-0.7265625,0.13665771,0.8053589,0.453125,-0.140625,0.84375
85,-0.71191406,0.13470459,0.8004761,0.265625,-0.046875,0.828125
86,-0.72509766,0.14154053,0.79730225,0.203125,-0.109375,0.78125
87,-0.7258301,0.13226318,0.8012085,0.515625,-0.296875,0.671875
88,-0.71606445,0.12982178,0.80145264,0.1875,-0.1875,0.59375
89,-0.7233887,0.13641357,0.79901123,0.1875,-0.015625,0.6875
90,-0.72094727,0.12738037,0.79364014,0.25,0.046875,0.765625
91,-0.720459,0.13787842,0.80340576,0.171875,-0.09375,0.40625
92,-0.71728516,0.1359253,0.79803467,0.1875,0.03125,0.375
93,-0.7216797,0.14324951,0.80340576,0.015625,0.234375,0.5
94,-0.71972656,0.1359253,0.7982788,-0.140625,0.078125,0.4375
95,-0.71728516,0.14056396,0.8007202,0.03125,0.046875,0.5
96,-0.717041,0.13739014,0.79803467,-0.078125,0.328125,0.40625
97,-0.72021484,0.13861084,0.80389404,0.125,0.1875,0.453125
98,-0.7133789,0.13665771,0.8043823,-0.25,0.234375,0.421875
99,-0.7182617,0.14447021,0.8060913,0.1875,-0.171875,0.75
100,-0.71435547,0.14544678,0.8019409,-0.28125,0.234375,0.53125
101,-0.72216797,0.1383667,0.8036499,0.078125,-0.28125,0.4375
102,-0.7211914,0.13616943,0.8070679,0.078125,0.171875,0.375
103,-0.71435547,0.15106201,0.80511475,-0.078125,0.03125,0.65625
104,-0.7199707,0.14935303,0.7992554,-0.125,0.1875,0.59375
105,-0.7150879,0.1486206,0.8060913,-0.21875,0.046875,0.625
106,-0.7062988,0.14398193,0.8029175,-0.171875,0.078125,0.53125
107,-0.7128906,0.14813232,0.8041382,-0.21875,0.234375,0.546875
108,-0.7084961,0.1486206,0.8016968,-0.1875,0.234375,0.421875
109,-0.71728516,0.14788818,0.80340576,-0.046875,0.203125,0.546875
110,-0.7089844,0.152771,0.80267334,-0.140625,0.171875,0.6875
111,-0.71240234,0.1539917,0.80511475,0.015625,0.03125,0.515625
112,-0.7092285,0.14910889,0.8053589,-0.03125,0.109375,0.5625
113,-0.70874023,0.15179443,0.8048706,0.015625,0.109375,0.5
114,-0.7055664,0.15350342,0.8029175,0.171875,0.171875,0.59375
115,-0.7158203,0.15838623,0.7999878,0.015625,-0.015625,0.5625
