sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.1628418,-0.07647705,-0.9451294,-0.171875,1.015625,-0.640625
1,-0.16088867,-0.077697754,-0.9331665,0.71875,0.109375,-0.90625
2,-0.16113281,-0.074279785,-0.9470825,0.46875,0.859375,-0.65625
3,-0.16040039,-0.07550049,-0.9512329,0.40625,0.828125,-0.75
4,-0.1586914,-0.07745361,-0.9314575,1.53125,1.25,-0.484375
5,-0.15771484,-0.07281494,-0.95391846,0.140625,1.359375,-0.65625
6,-0.15771484,-0.073791504,-0.9480591,-0.734375,1.65625,-0.625
7,-0.15698242,-0.07159424,-0.93463135,-0.421875,2.421875,-0.59375
8,-0.15942383,-0.07574463,-0.9573364,0.0625,3.109375,-0.625
9,-0.15942383,-0.0791626,-0.95513916,-0.40625,1.203125,-0.6875
10,-0.15625,-0.08135986,-0.93414307,-0.75,-0.359375,-0.765625
11,-0.17114258,-0.078430176,-1.008606,0.578125,3.21875,-0.703125
12,-0.16625977,-0.07159424,-0.9326782,-1.0,6.328125,0.109375
13,-0.16430664,-0.08087158,-0.923645,-1.0,5.78125,-0.015625
14,-0.17163086,-0.06744385,-0.93341064,-1.0,6.34375,-0.078125
15,-0.18334961,-0.0791626,-0.9434204,-1.984375,6.765625,-0.140625
16,-0.19140625,-0.094055176,-0.94415283,-1.34375,5.359375,-0.53125
17,-0.20703125,-0.07989502,-0.9360962,-0.328125,3.890625,-0.75
18,-0.19384766,-0.093811035,-0.9314575,-0.03125,3.015625,-0.59375
19,-0.1940918,-0.081848145,-0.9246216,-0.90625,4.25,-0.671875
20,-0.19238281,-0.093566895,-0.9619751,-0.09375,1.640625,-0.546875
21,-0.18261719,-0.08477783,-0.9282837,-2.71875,3.015625,-0.875
22,-0.20825195,-0.0947876,-0.9170532,0.890625,1.8125,-0.640625
23,-0.19433594,-0.08306885,-0.940979,-0.890625,2.578125,-0.6875
24,-0.20776367,-0.086242676,-0.9573364,-0.25,1.109375,-0.859375
25,-0.2006836,-0.08917236,-0.9319458,0.484375,1.59375,-0.484375
26,-0.19042969,-0.101135254,-0.92755127,1.5625,-0.5625,-0.5625
27,-0.19995117,-0.09088135,-0.94732666,1.28125,-1.984375,-0.53125
28,-0.1887207,-0.097473145,-0.93341064,0.75,1.5625,-0.484375
29,-0.19702148,-0.08282471,-0.9585571,-0.4375,4.640625,-1.015625
30,-0.20385742,-0.08502197,-0.9373169,0.03125,5.0625,-0.65625
31,-0.20288086,-0.086242676,-0.94610596,-1.046875,6.8125,-0.578125
32,-0.22192383,-0.08477783,-0.9512329,-2.140625,8.609375,-0.609375
33,-0.22924805,-0.10650635,-0.9373169,-3.203125,5.234375,-0.03125
34,-0.20678711,-0.094055176,-0.9290161,-2.90625,-0.453125,0.03125
35,-0.21728516,-0.105529785,-0.92559814,-0.984375,-3.5625,0.140625
36,-0.2097168,-0.1116333,-0.8982544,4.734375,-10.34375,-0.21875
37,-0.18530273,-0.10284424,-0.958313,4.65625,-7.203125,-0.859375
38,-0.18237305,-0.09942627,-0.9439087,3.78125,-4.46875,-1.53125
39,-0.17333984,-0.08453369,-0.95928955,2.859375,-4.1875,-1.421875
40,-0.16455078,-0.07281494,-0.95269775,0.96875,-1.375,-1.21875
41,-0.16699219,-0.070617676,-0.9439087,0.8125,-0.046875,-0.75
42,-0.1640625,-0.07891846,-0.94537354,0.46875,-0.140625,-0.5
43,-0.15844727,-0.07598877,-0.9446411,0.796875,0.828125,-0.5
44,-0.15991211,-0.081848145,-0.9451294,0.75,0.5625,-0.40625
45,-0.15478516,-0.07940674,-0.9480591,0.78125,1.09375,-0.53125
46,-0.15991211,-0.08135986,-0.9314575,2.96875,1.984375,-0.0625
47,-0.15405273,-0.073791504,-0.98223877,0.390625,-0.1875,-0.25
48,-0.15161133,-0.07550049,-0.94122314,0.15625,0.15625,-0.1875
49,-0.14916992,-0.06964111,-0.9468384,-0.171875,0.515625,-0.328125
50,-0.15283203,-0.07696533,-0.95025635,-0.3125,1.1875,-0.34375
51,-0.14208984,-0.0803833,-0.94903564,-1.171875,1.59375,-0.625
52,-0.14990234,-0.074279785,-0.9429321,-1.5,2.03125,-0.78125
53,-0.14672852,-0.08111572,-0.9463501,-1.828125,2.203125,-0.984375
54,-0.15283203,-0.08331299,-0.9619751,-2.015625,1.71875,-0.921875
55,-0.1550293,-0.0803833,-0.9500122,-1.765625,2.484375,-0.90625
56,-0.15063477,-0.0869751,-0.9536743,-1.109375,1.890625,-0.75
57,-0.15039062,-0.09112549,-0.9378052,-1.40625,2.0,-0.921875
58,-0.1586914,-0.08526611,-0.95684814,-1.5,1.765625,-0.859375
59,-0.15429688,-0.08868408,-0.9487915,-1.203125,1.921875,-0.828125
60,-0.15454102,-0.09918213,-0.9534302,-0.828125,1.796875,-0.796875
61,-0.16235352,-0.09429932,-0.9487915,0.53125,1.125,-0.328125
62,-0.1496582,-0.08795166,-0.925354,1.890625,0.328125,-0.21875
63,-0.14624023,-0.08795166,-0.9273071,0.6875,1.515625,-0.265625
64,-0.1550293,-0.09161377,-0.9404907,-1.3125,5.71875,-0.59375
65,-0.16259766,-0.094055176,-0.9483032,-0.75,9.453125,-0.75
66,-0.19311523,-0.089416504,-0.98223877,1.453125,8.71875,-0.75
67,-0.15063477,-0.10479736,-0.93463135,0.953125,7.515625,-0.546875
68,-0.16357422,-0.082092285,-0.93634033,1.359375,4.609375,-0.609375
69,-0.19335938,-0.08746338,-0.94195557,1.046875,2.5,-0.71875
70,-0.19799805,-0.089904785,-0.94317627,1.75,3.78125,-0.328125
71,-0.23461914,-0.07305908,-0.8970337,2.390625,5.734375,-0.703125
72,-0.19750977,-0.053527832,-0.98028564,5.0,2.625,-0.4375
73,-0.18261719,-0.06793213,-0.91485596,3.296875,1.90625,-0.375
74,-0.20043945,-0.08892822,-0.90631104,-1.359375,0.125,-0.734375
75,-0.20043945,-0.06768799,-0.9768677,0.265625,1.890625,-0.484375
76,-0.2055664,-0.062805176,-0.96417236,1.25,2.328125,-0.875
77,-0.23950195,-0.06719971,-0.90875244,4.359375,6.578125,-0.78125
78,-0.19897461,-0.046936035,-0.9788208,2.984375,-0.125,-0.546875
79,-0.19165039,-0.06915283,-0.9014282,1.015625,-0.765625,-0.28125
80,-0.19384766,-0.06060791,-0.88287354,-2.375,1.890625,-0.875
81,-0.20654297,-0.06060791,-0.93829346,-2.359375,1.359375,-0.515625
82,-0.20800781,-0.06427002,-0.9319458,0.78125,2.046875,-0.796875
83,-0.20166016,-0.05621338,-0.94610596,0.609375,2.078125,-0.890625
84,-0.2133789,-0.06085205,-0.97442627,0.15625,0.9375,-0.484375
85,-0.18334961,-0.073791504,-0.9248657,-0.421875,0.21875,-0.5625
86,-0.2133789,-0.06549072,-0.9470825,0.25,1.984375,-0.890625
87,-0.20483398,-0.06011963,-0.92755127,0.0625,2.671875,-0.640625
88,-0.2055664,-0.05718994,-0.95196533,0.28125,2.1875,-0.71875
89,-0.20776367,-0.06060791,-0.94415283,-0.265625,3.453125,-0.796875
90,-0.21191406,-0.055236816,-0.95098877,-1.328125,1.453125,-0.453125
91,-0.19067383,-0.07940674,-0.90582275,-1.484375,0.484375,-0.640625
