sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.8010254,0.16986084,0.54315186,4.921875,-13.390625,7.265625
1,0.82958984,0.17938232,0.5812378,5.109375,-14.0625,5.3125
2,0.7597656,0.1473999,0.48138428,4.796875,-6.609375,6.296875
3,0.7915039,0.18377686,0.637146,2.3125,0.109375,5.390625
4,0.72094727,0.14691162,0.5951538,-2.6875,3.40625,-0.734375
5,0.7529297,0.13787842,0.59490967,-3.34375,8.171875,-0.28125
6,0.7753906,0.1593628,0.572937,-5.859375,12.171875,0.578125
7,0.82714844,0.15008545,0.5741577,-3.25,12.78125,-2.0
8,0.9067383,0.16156006,0.5560913,-10.03125,5.765625,-4.046875
9,0.9003906,0.20062256,0.55340576,-12.78125,12.234375,-1.421875
10,0.90405273,0.15863037,0.51116943,-2.875,4.734375,-2.640625
11,0.8479004,0.152771,0.5026245,0.71875,2.671875,-4.8125
12,0.86621094,0.17669678,0.5297241,-1.453125,1.21875,-5.390625
13,0.88256836,0.16644287,0.52215576,-1.125,-0.015625,-4.515625
14,0.890625,0.17376709,0.47650146,-3.0,-3.15625,-4.59375
15,0.8630371,0.18035889,0.510437,4.359375,-2.96875,-2.625
16,0.8376465,0.18841553,0.46551514,6.5,-6.0,1.578125
17,0.8222656,0.17840576,0.5297241,8.34375,-1.78125,4.96875
18,0.8515625,0.15057373,0.47039795,14.125,-7.640625,5.640625
19,0.82666016,0.074401855,0.5363159,9.34375,-12.875,3.84375
20,0.8430176,0.11956787,0.57440186,2.34375,-15.46875,3.078125
21,0.8688965,0.14666748,0.59124756,1.828125,-12.0,5.0625
22,0.7907715,0.1630249,0.60809326,4.640625,-13.53125,8.75
23,0.7746582,0.1720581,0.61834717,4.375,-11.296875,8.03125
24,0.7451172,0.11029053,0.543396,9.171875,-7.265625,6.1875
25,0.7702637,0.09954834,0.7301636,-2.671875,0.453125,10.375
26,0.7097168,0.049743652,0.6012573,-5.609375,8.25,4.5
27,0.79125977,0.15618896,0.56951904,-7.46875,6.484375,0.578125
28,0.7973633,0.21307373,0.6769409,-2.296875,8.1875,-1.6875
29,0.8623047,0.22406006,0.5216675,-2.859375,9.328125,2.40625
30,0.904541,0.1906128,0.5997925,-0.921875,4.28125,2.125
31,0.8547363,0.15594482,0.5553589,-2.4375,4.234375,3.90625
32,0.80322266,0.16375732,0.56829834,-5.0,6.34375,5.15625
33,0.8354492,0.15789795,0.5499878,-2.390625,-5.875,-1.71875
34,0.8088379,0.22918701,0.5656128,0.828125,-1.40625,-1.046875
35,0.986084,0.39715576,0.57489014,6.859375,0.40625,9.796875
36,0.7558594,0.26385498,0.635437,0.390625,-2.578125,19.046875
37,0.6911621,0.0138549805,0.7506714,6.703125,2.125,3.796875
38,0.6057129,0.017028809,0.588562,-13.03125,2.75,-9.90625
39,0.6855469,0.4328003,0.41815186,-12.234375,5.890625,-17.203125
40,1.0827637,0.30706787,0.6671753,3.875,-1.03125,-9.15625
41,0.8959961,0.07244873,0.4935913,-4.4375,10.421875,2.796875
42,0.8461914,0.24066162,0.54974365,3.71875,4.375,10.09375
43,1.0183105,0.31365967,0.494812,8.875,1.703125,20.953125
44,0.6401367,0.28167725,0.56292725,2.703125,-9.375,16.96875
45,0.6989746,-0.026184082,0.72991943,13.171875,6.3125,4.609375
46,0.638916,0.055603027,0.5602417,-12.5625,7.90625,-8.46875
47,0.70166016,0.37225342,0.49969482,-16.03125,7.109375,-23.640625
48,0.94091797,0.3751831,0.49090576,-4.796875,13.765625,-15.59375
49,0.95214844,0.09710693,0.55584717,-1.6875,-3.625,-8.78125
