sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.23730469,-0.0015258789,0.96380615,-3.640625,1.3125,-0.28125
1,-0.23242188,-0.006652832,1.031189,4.90625,0.984375,0.515625
2,-0.20654297,-0.054748535,0.95428467,0.453125,-36.046875,2.390625
3,-0.3083496,-0.02935791,0.807312,-14.84375,-75.640625,-2.0
4,-0.27392578,0.04095459,0.8200073,-28.421875,-15.609375,-14.84375
5,-0.7080078,0.32073975,1.5465698,-11.09375,-4.546875,-0.875
6,-0.4399414,0.09051514,1.052185,12.96875,9.3125,2.140625
7,-0.38867188,0.06854248,1.0182495,4.15625,13.90625,0.40625
8,-0.37353516,-0.046447754,0.81536865,0.671875,-5.0,1.421875
9,-0.32739258,0.030700684,0.8978882,-10.484375,-24.90625,-4.953125
10,-0.34765625,0.1305542,1.1044312,-0.5625,2.59375,3.9375
11,-0.59594727,0.09588623,1.1569214,0.21875,17.46875,5.875
12,-0.35424805,0.042663574,0.9616089,-1.25,13.703125,2.390625
13,-0.43847656,0.051696777,0.9996948,0.46875,-0.234375,-1.703125
14,-0.33862305,0.06048584,0.9266968,-9.53125,-18.015625,-0.875
15,-0.4116211,0.070739746,0.87664795,-12.109375,-20.3125,-6.796875
16,-0.26879883,0.14715576,1.1015015,0.671875,9.703125,2.3125
17,-0.6052246,0.0758667,1.06781,1.171875,6.4375,3.234375
18,-0.37329102,0.06341553,1.053894,1.0625,19.46875,1.96875
19,-0.39794922,0.07196045,1.048523,-1.53125,17.5,1.3125
20,-0.3828125,0.10687256,0.9755249,6.578125,19.96875,3.109375
21,-0.2836914,0.06561279,0.9389038,7.109375,13.625,1.546875
22,-0.25634766,0.036071777,0.94158936,7.390625,0.5625,1.796875
23,-0.22875977,0.013366699,0.9435425,3.96875,-17.421875,0.5625
24,-0.33813477,0.03778076,0.98553467,-2.578125,-9.171875,0.109375
25,-0.26953125,-0.0005493164,0.8834839,-3.578125,-7.25,-1.9375
26,-0.36401367,-0.042785645,0.7379761,2.34375,-57.46875,1.75
27,-0.3269043,0.020935059,0.8834839,-16.21875,4.984375,-15.640625
28,-0.5163574,0.14324951,1.4069214,-3.71875,-10.828125,2.640625
29,-0.5703125,0.12445068,1.0094604,-10.078125,19.515625,1.3125
30,-0.47998047,0.09173584,1.0726929,7.1875,11.25,4.3125
31,-0.41918945,0.11444092,1.0636597,5.0,6.109375,2.671875
32,-0.3828125,0.057556152,0.9784546,6.96875,14.84375,0.125
33,-0.35107422,0.078308105,0.82244873,6.34375,13.328125,0.53125
