sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.68725586,0.11444092,-0.67510986,4.234375,-0.25,0.671875
1,0.701416,0.12347412,-0.7119751,5.515625,-0.78125,1.390625
2,0.71899414,0.14056396,-0.7007446,3.046875,-0.875,0.96875
3,0.7050781,0.13641357,-0.68463135,0.828125,0.1875,0.59375
4,0.7077637,0.14056396,-0.70269775,-0.3125,0.671875,0.265625
5,0.69506836,0.13934326,-0.68170166,-1.234375,0.140625,-0.21875
6,0.68652344,0.13616943,-0.6851196,-2.828125,-0.546875,-0.890625
7,0.6855469,0.12835693,-0.6946411,-2.921875,-1.34375,-1.265625
8,0.67529297,0.117614746,-0.65509033,-1.234375,-1.765625,-0.46875
9,0.6972656,0.12713623,-0.6880493,0.53125,-1.46875,-0.09375
10,0.7050781,0.12762451,-0.69781494,-0.125,-3.171875,-0.3125
11,0.7373047,0.14007568,-0.68218994,-1.828125,-0.75,-0.734375
12,0.7114258,0.12591553,-0.7024536,-2.90625,1.59375,-1.59375
13,0.6999512,0.10736084,-0.6277466,-3.765625,1.9375,-1.203125
14,0.68725586,0.11395264,-0.65167236,-5.96875,4.265625,-1.359375
15,0.6530762,0.093444824,-0.6314087,-1.03125,0.03125,-0.140625
16,0.70458984,0.11566162,-0.7053833,-0.890625,1.578125,0.28125
17,0.70996094,0.11785889,-0.69781494,0.453125,1.34375,0.171875
18,0.704834,0.11566162,-0.71343994,-0.140625,1.859375,-0.359375
19,0.7011719,0.109313965,-0.7073364,0.71875,1.03125,-0.015625
20,0.67944336,0.113464355,-0.6758423,1.640625,0.765625,0.515625
21,0.68481445,0.12371826,-0.6856079,1.671875,1.046875,0.328125
22,0.68774414,0.11883545,-0.70391846,0.96875,-0.078125,-0.390625
23,0.6862793,0.12200928,-0.68634033,0.09375,0.234375,-0.671875
24,0.6816406,0.11981201,-0.6873169,-0.640625,0.453125,-0.4375
25,0.6911621,0.12542725,-0.6958618,-1.5,0.8125,-0.640625
26,0.6867676,0.11517334,-0.690979,-2.015625,1.234375,-0.71875
27,0.68652344,0.11102295,-0.692688,-2.59375,0.8125,-0.46875
28,0.67944336,0.10394287,-0.71466064,-2.296875,0.546875,-0.296875
29,0.67578125,0.11273193,-0.71099854,-0.609375,-0.21875,0.046875
30,0.6843262,0.109069824,-0.70269775,0.75,-0.96875,0.28125
31,0.6828613,0.109558105,-0.7168579,3.109375,-2.78125,0.921875
32,0.6760254,0.11663818,-0.67315674,3.34375,-3.484375,1.953125
33,0.6784668,0.11566162,-0.69903564,0.578125,-2.90625,1.34375
34,0.71850586,0.14398193,-0.75860596,0.671875,-2.765625,-0.234375
35,0.72143555,0.13348389,-0.5823364,2.734375,-3.484375,-1.34375
36,0.6933594,0.14007568,-0.6773071,-0.046875,3.34375,0.734375
37,0.6694336,0.124938965,-0.6277466,-2.265625,2.421875,-0.578125
38,0.670166,0.10638428,-0.6765747,-3.59375,3.296875,-1.046875
39,0.670166,0.109069824,-0.6929321,-3.3125,1.421875,-0.578125
40,0.69628906,0.1083374,-0.7241821,-0.71875,0.59375,-0.421875
41,0.6989746,0.12640381,-0.7173462,1.328125,-1.46875,-0.109375
42,0.70288086,0.117614746,-0.722229,1.65625,-1.59375,0.40625
43,0.69555664,0.11956787,-0.69732666,1.1875,-0.796875,0.78125
44,0.69091797,0.13372803,-0.7000122,-1.484375,-0.796875,0.5
45,0.7163086,0.13568115,-0.9248657,-6.046875,0.625,-1.75
46,0.75268555,0.093933105,-0.57696533,-4.390625,6.640625,-4.9375
47,0.6022949,0.12542725,-0.6018677,-2.453125,5.6875,-1.203125
48,0.6220703,0.07611084,-0.62164307,-4.09375,4.28125,-0.46875
49,0.6274414,0.078308105,-0.6445923,-2.1875,-0.921875,0.578125
50,0.6687012,0.101501465,-0.7151489,0.421875,-3.265625,0.453125
51,0.6911621,0.09857178,-0.7398071,1.65625,-3.65625,-0.03125
52,0.7109375,0.10882568,-0.7510376,1.34375,-2.140625,0.078125
53,0.7114258,0.11444092,-0.725647,1.4375,-1.8125,0.515625
54,0.704834,0.11517334,-0.71295166,0.359375,-0.5,0.3125
55,0.6845703,0.109313965,-0.69659424,-0.09375,0.09375,0.28125
56,0.6765137,0.10443115,-0.6880493,-0.59375,-0.015625,0.09375
57,0.67041016,0.10272217,-0.69317627,-0.578125,-0.140625,-0.03125
58,0.673584,0.1005249,-0.71343994,1.828125,-2.578125,-0.015625
59,0.6887207,0.11151123,-0.7007446,8.375,-8.578125,1.0625
60,0.703125,0.12615967,-0.67388916,4.453125,-4.546875,0.9375
61,0.7351074,0.1473999,-0.7192993,2.4375,-1.25,0.484375
62,0.72753906,0.13519287,-0.69903564,-1.28125,7.65625,-0.1875
63,0.6623535,0.13934326,-0.6326294,-3.59375,6.734375,-0.734375
64,0.64819336,0.1161499,-0.6428833,-5.765625,5.09375,-0.625
65,0.6516113,0.1005249,-0.67803955,-3.859375,0.90625,-0.75
66,0.6550293,0.10247803,-0.7136841,-1.03125,-1.578125,-0.40625
67,0.70458984,0.10809326,-0.7046509,-0.5625,-3.390625,-1.03125
68,0.71435547,0.12249756,-0.70635986,-0.34375,-0.796875,-0.796875
69,0.6984863,0.117614746,-0.73565674,1.21875,1.40625,0.171875
70,0.6994629,0.11981201,-0.71661377,2.0,0.0,0.546875
71,0.6845703,0.113220215,-0.6939087,0.390625,-0.125,0.3125
72,0.6647949,0.11639404,-0.6795044,-1.21875,1.171875,-0.1875
73,0.66430664,0.10736084,-0.6782837,-1.921875,2.0625,-0.515625
74,0.6611328,0.11248779,-0.68634033,-1.90625,2.671875,-0.546875
75,0.68359375,0.11444092,-0.7112427,-2.875,3.09375,-0.53125
76,0.6833496,0.11077881,-0.71881104,-2.015625,2.828125,-0.21875
77,0.6813965,0.11053467,-0.7337036,-1.84375,1.671875,-0.28125
78,0.6682129,0.10467529,-0.7202759,-1.875,0.765625,-0.1875
79,0.66503906,0.11029053,-0.71954346,-3.09375,0.34375,-0.390625
80,0.6557617,0.09564209,-0.7095337,-2.109375,-0.96875,0.0
81,0.66137695,0.10101318,-0.7149048,-1.484375,-1.171875,-0.28125
82,0.66845703,0.09490967,-0.71295166,-0.328125,-1.265625,-0.09375
83,0.6669922,0.09124756,-0.7276001,1.09375,-2.671875,0.421875
84,0.6713867,0.10223389,-0.70098877,3.375,-4.640625,0.96875
85,0.68359375,0.1005249,-0.6987915,2.125,-3.703125,0.609375
86,0.6887207,0.11151123,-0.70977783,0.78125,-2.40625,0.359375
87,0.7080078,0.12030029,-0.79278564,2.015625,-4.09375,0.71875
88,0.6882324,0.12322998,-0.611145,6.703125,-3.859375,0.34375
89,0.67749023,0.12030029,-0.6519165,5.5,1.078125,1.703125
90,0.67529297,0.13861084,-0.68292236,3.125,2.1875,1.75
91,0.6826172,0.13397217,-0.6983032,-0.125,1.5625,-0.234375
92,0.6760254,0.12420654,-0.6856079,-0.09375,0.0625,-0.4375
93,0.69677734,0.13226318,-0.692688,-0.125,0.0,-0.359375
94,0.6972656,0.13763428,-0.71417236,-0.046875,-0.15625,-0.484375
95,0.6994629,0.14056396,-0.70562744,-0.703125,-0.125,-0.5
96,0.6960449,0.12567139,-0.7036743,-1.25,0.265625,-0.3125
97,0.6772461,0.12786865,-0.6921997,-1.5625,0.109375,-0.46875
98,0.66430664,0.12689209,-0.6851196,-1.90625,-0.1875,-0.390625
99,0.6713867,0.124938965,-0.6790161,-2.0,-0.328125,-0.65625
100,0.6760254,0.1281128,-0.69000244,-2.015625,0.03125,-0.90625
101,0.68774414,0.11859131,-0.72735596,-0.578125,-2.625,-0.328125
102,0.68969727,0.13226318,-0.7263794,-2.25,-6.609375,-1.359375
103,0.7194824,0.10784912,-0.6668091,-0.921875,-1.53125,-0.796875
104,0.6711426,0.11859131,-0.673645,0.53125,0.46875,0.4375
105,0.67089844,0.11151123,-0.66900635,-0.25,0.453125,0.203125
106,0.6767578,0.11517334,-0.6658325,0.296875,0.96875,0.046875
107,0.6875,0.12542725,-0.68218994,0.921875,2.09375,0.4375
108,0.6682129,0.10321045,-0.7119751,-0.9375,-0.484375,0.078125
109,0.6660156,0.10345459,-0.7163696,-0.8125,-0.546875,0.09375
110,0.6665039,0.10809326,-0.7178345,-0.46875,-0.78125,-0.0625
111,0.66748047,0.10296631,-0.70880127,-0.125,-1.0,-0.0625
112,0.6604004,0.093933105,-0.7210083,0.796875,-2.03125,-0.015625
113,0.66064453,0.093933105,-0.692688,3.0,-4.125,0.609375
114,0.6621094,0.10247803,-0.6880493,2.125,-3.859375,0.59375
115,0.69921875,0.113708496,-0.76446533,1.578125,-5.671875,0.03125
116,0.71972656,0.121520996,-0.7546997,1.765625,-6.78125,-0.34375
117,0.7133789,0.11175537,-0.6213989,1.609375,-0.90625,-0.71875
118,0.6557617,0.12176514,-0.64678955,0.65625,2.765625,0.578125
119,0.6569824,0.11102295,-0.66973877,-0.765625,1.578125,-0.09375
120,0.6635742,0.10638428,-0.66485596,-0.796875,2.046875,-0.34375
121,0.67749023,0.109069824,-0.67633057,-0.734375,1.6875,-0.28125
122,0.6928711,0.113708496,-0.7276001,0.21875,0.390625,-0.140625
123,0.7026367,0.124694824,-0.7305298,1.640625,-1.40625,0.09375
124,0.69921875,0.121520996,-0.72125244,1.09375,-1.5,0.15625
125,0.6887207,0.12347412,-0.69610596,0.078125,-0.421875,0.140625
126,0.6816406,0.11981201,-0.68927,-1.359375,0.6875,-0.0625
127,0.657959,0.10858154,-0.71954346,-2.578125,0.0625,-0.421875
128,0.68725586,0.12664795,-0.72857666,-0.546875,-3.5,-0.640625
129,0.6706543,0.10687256,-0.57476807,1.859375,2.390625,-0.15625
130,0.6748047,0.13690186,-0.6987915,0.453125,3.421875,0.859375
131,0.673584,0.121032715,-0.6917114,-2.265625,2.21875,-0.609375
132,0.6665039,0.10467529,-0.68951416,-1.25,1.140625,-0.0625
133,0.6791992,0.11541748,-0.706604,0.859375,-0.234375,0.40625
134,0.68188477,0.12615967,-0.71099854,2.171875,-2.046875,0.265625
135,0.68603516,0.12835693,-0.7180786,1.3125,-2.0625,0.0
136,0.69140625,0.1251831,-0.7046509,0.609375,-1.21875,-0.21875
137,0.6855469,0.124938965,-0.7070923,-0.734375,-0.484375,-0.40625
