sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.17480469,-0.9690552,0.26654053,3.015625,3.28125,-1.9375
1,-0.17504883,-0.8748169,0.24407959,2.578125,3.8125,1.609375
2,-0.16088867,-0.98516846,0.2682495,-6.453125,9.8125,2.265625
3,-0.17456055,-1.0437622,0.33172607,-4.53125,2.078125,0.0
4,-0.22338867,-1.0007935,0.32122803,0.6875,-2.59375,-1.515625
5,-0.21508789,-0.94366455,0.32196045,-8.921875,-2.265625,-4.84375
6,-0.1862793,-0.93707275,0.3102417,-8.28125,1.4375,-3.421875
7,-0.23950195,-0.95147705,0.34783936,-0.0625,-7.53125,0.90625
8,-0.2175293,-0.8562622,0.35369873,10.8125,-5.875,1.828125
9,-0.17749023,-0.94781494,0.24822998,14.375,4.90625,8.125
10,-0.1394043,-1.0855103,0.30194092,17.0625,5.78125,6.03125
11,-0.26538086,-1.0220337,0.31829834,7.171875,0.71875,9.359375
12,-0.26757812,-0.88897705,0.18719482,4.515625,-14.234375,7.09375
13,-0.115234375,-0.8753052,0.1942749,5.5,-1.9375,2.40625
14,-0.08081055,-1.0130005,0.2736206,-5.734375,0.484375,0.765625
15,-0.14453125,-1.0413208,0.22357178,-13.28125,-6.59375,1.96875
16,-0.18920898,-1.0967407,0.20135498,12.109375,-5.34375,7.921875
17,-0.111083984,-0.9961548,0.24188232,10.3125,-2.984375,5.578125
18,-0.08911133,-0.9351196,0.2374878,6.25,-4.3125,4.65625
19,-0.12109375,-0.95806885,0.19573975,-4.625,-3.984375,6.25
20,-0.1496582,-0.9951782,0.19940186,-1.4375,-5.21875,6.96875
21,-0.059814453,-0.9800415,0.20819092,15.0,-3.640625,5.59375
22,-0.0390625,-0.9434204,0.22503662,-1.46875,-4.953125,-0.71875
23,-0.026611328,-0.95318604,0.2255249,-1.53125,-3.34375,-6.609375
24,-0.119628906,-1.0615845,0.20819092,0.34375,-2.421875,-0.6875
25,-0.27392578,-1.0354614,0.19354248,5.828125,-5.046875,0.203125
26,-0.2697754,-1.0303345,0.1383667,2.890625,-2.75,-0.25
27,-0.12597656,-0.8945923,0.2387085,-16.203125,11.859375,-2.5
28,-0.06738281,-0.97442627,0.24041748,-8.6875,8.515625,-6.28125
29,-0.2524414,-1.006897,0.2501831,-6.4375,-1.375,-3.40625
30,-0.15722656,-0.9522095,0.27288818,9.359375,1.515625,2.734375
31,-0.10473633,-0.9212036,0.22357178,0.890625,2.796875,4.15625
32,-0.091552734,-1.0088501,0.2518921,-7.828125,6.171875,3.8125
33,-0.17041016,-1.0352173,0.28631592,0.78125,-1.25,2.578125
34,-0.16333008,-0.9902954,0.22601318,4.140625,-0.421875,1.65625
35,-0.13330078,-0.9678345,0.22528076,-0.71875,2.484375,-0.125
36,-0.11743164,-1.0413208,0.1437378,-15.703125,-0.90625,-4.734375
37,-0.25756836,-1.003479,0.322937,-5.28125,-3.046875,-6.21875
38,-0.07836914,-0.94000244,0.30462646,11.59375,-1.109375,3.28125
39,-0.16992188,-0.8838501,0.24725342,0.875,-4.53125,5.390625
40,-0.11303711,-0.91656494,0.20965576,-6.265625,8.078125,2.640625
41,-0.09765625,-1.0215454,0.29266357,-9.21875,9.421875,2.40625
42,-0.18139648,-1.0862427,0.33319092,2.765625,0.578125,0.328125
43,-0.18969727,-0.9859009,0.2489624,11.984375,-0.296875,1.0
44,-0.15063477,-0.9429321,0.24432373,1.734375,2.328125,-0.53125
45,-0.14086914,-0.96466064,0.3053589,-9.453125,1.234375,-1.21875
46,-0.21191406,-0.97125244,0.29241943,-7.375,-4.28125,-3.890625
47,-0.07128906,-0.9602661,0.2658081,-6.109375,4.046875,-3.625
48,-0.1430664,-0.9788208,0.31976318,-5.046875,1.1875,-3.546875
49,-0.15893555,-0.95269775,0.26898193,-5.640625,1.03125,-3.75
50,-0.13354492,-0.94659424,0.31756592,-10.546875,5.75,-2.90625
51,-0.18188477,-0.98638916,0.3583374,-0.234375,-1.78125,-1.078125
52,-0.21557617,-1.0042114,0.33270264,14.078125,-3.4375,-0.140625
53,-0.25439453,-0.9483032,0.29144287,12.859375,-4.0,2.59375
54,-0.26513672,-0.89263916,0.20159912,5.796875,-7.328125,11.34375
55,-0.19702148,-0.9331665,0.22747803,-0.421875,3.59375,12.125
56,-0.061279297,-1.0498657,0.3053589,4.015625,3.890625,6.171875
57,-0.08862305,-1.0115356,0.3312378,7.625,-4.765625,2.671875
