sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.20581055,-0.8670044,0.23016357,12.75,-6.984375,5.109375
1,-0.18066406,-0.96099854,0.30169678,8.703125,7.1875,6.40625
2,0.043701172,-1.0396118,0.27191162,16.078125,2.8125,1.0625
3,0.075927734,-1.0361938,0.113464355,1.1875,-6.328125,-3.609375
4,0.04296875,-0.98321533,0.12371826,-20.296875,5.984375,0.484375
5,-0.046875,-1.0090942,0.18206787,2.703125,2.015625,2.0625
6,-0.07128906,-1.06427,0.22918701,23.875,-12.96875,5.265625
7,0.021484375,-0.9819946,0.121032715,18.515625,-7.0625,5.9375
8,-0.011962891,-0.9546509,0.12322998,11.578125,-4.484375,1.328125
9,-0.05078125,-0.96417236,0.16741943,-0.21875,-0.296875,-1.203125
10,0.009765625,-0.9763794,0.14276123,-2.328125,0.03125,-0.9375
11,0.016357422,-1.0962524,0.19012451,-9.46875,5.0625,2.5
12,-0.083740234,-0.99176025,0.2597046,-4.046875,7.5625,1.640625
13,-0.0075683594,-0.85723877,0.12249756,14.859375,9.71875,-4.359375
14,0.0078125,-1.0149536,0.21160889,-10.03125,16.234375,-2.765625
15,-0.025634766,-0.9951782,0.2164917,10.21875,8.890625,3.0
16,0.0043945312,-1.019104,0.07342529,27.5,11.390625,2.171875
17,0.01977539,-0.99005127,0.08099365,16.1875,11.28125,0.84375
18,-0.028808594,-0.9468384,0.12567139,18.765625,19.3125,0.34375
19,-0.00048828125,-0.9439087,-0.039123535,26.3125,7.5,2.078125
20,0.018554688,-0.9585571,-0.038635254,28.125,5.28125,3.546875
21,0.039794922,-0.99298096,0.0072631836,28.875,8.796875,7.15625
22,0.068115234,-0.95513916,0.010192871,23.8125,14.53125,5.171875
23,-0.016357422,-0.972229,-0.04815674,33.375,2.203125,0.6875
24,-0.041992188,-0.92926025,-0.19171143,37.109375,-2.625,5.65625
25,0.025634766,-1.0054321,-0.3040161,46.53125,-6.640625,8.234375
26,0.084472656,-0.95391846,-0.19708252,7.75,4.671875,11.890625
27,0.100097656,-0.9314575,-0.22027588,18.0625,-3.234375,6.15625
28,0.047851562,-0.97076416,-0.36871338,10.84375,2.234375,-1.171875
29,-0.0056152344,-1.0361938,-0.237854,17.640625,3.453125,5.28125
30,-0.022705078,-0.92559814,-0.2962036,17.765625,-10.25,-0.703125
31,-0.001953125,-0.92803955,-0.4607544,24.1875,-2.53125,2.765625
32,0.111572266,-0.9192505,-0.38555908,3.4375,3.328125,10.0625
33,0.053222656,-0.972229,-0.38238525,14.28125,-2.0,6.09375
34,0.17260742,-0.99542236,-0.36798096,-7.890625,-3.109375,-0.09375
35,0.12939453,-0.91485596,-0.34820557,-6.75,-13.203125,-5.546875
36,0.048095703,-0.93878174,-0.4043579,-16.390625,-6.515625,-4.15625
37,0.00390625,-0.9570923,-0.3086548,-17.171875,-8.9375,-1.671875
38,0.064453125,-0.9837036,-0.348938,-20.4375,-10.296875,-5.109375
39,0.114746094,-0.9558716,-0.31915283,-21.84375,-9.3125,-5.21875
40,0.084472656,-0.913147,-0.23980713,-25.5625,-6.8125,-4.46875
41,0.057861328,-0.86846924,-0.20831299,-28.90625,-6.328125,-6.453125
42,0.026367188,-0.8616333,-0.21270752,-34.25,-4.71875,-8.375
43,0.024902344,-0.9771118,-0.15240479,-30.65625,-0.28125,-9.921875
44,0.006591797,-1.0327759,-0.09307861,-25.71875,-1.5,-5.609375
45,0.022705078,-0.92559814,-0.07525635,-23.125,-3.40625,-4.765625
46,-0.0041503906,-0.9143677,-0.055236816,-26.671875,3.640625,-4.140625
47,0.107666016,-0.9331665,0.08465576,-24.59375,8.171875,-5.015625
48,0.025390625,-1.045227,0.09857178,-19.765625,4.546875,-1.953125
49,-0.010498047,-0.9224243,0.10662842,1.9375,-6.75,1.5625
50,0.015136719,-0.9505005,0.018493652,-6.875,5.53125,-0.140625
51,0.01171875,-1.0640259,0.024597168,-14.515625,5.765625,1.859375
52,0.038085938,-1.0552368,0.15692139,-16.03125,5.359375,2.0625
53,0.012207031,-0.9524536,0.10003662,-10.78125,1.8125,-0.578125
54,-0.008300781,-0.97491455,0.13909912,-12.328125,0.921875,-0.390625
55,0.01171875,-1.0300903,0.12762451,-7.328125,-9.75,4.09375
56,-0.038085938,-0.9998169,0.24139404,-14.75,-4.625,2.828125
57,0.052734375,-0.9204712,0.2218628,5.859375,-0.265625,0.734375
58,0.014892578,-1.0064087,0.21356201,-11.6875,7.125,-0.34375
59,-0.037353516,-0.9849243,0.22625732,3.53125,-0.015625,3.46875
60,0.037109375,-1.0078735,0.20574951,4.015625,3.921875,0.8125
61,0.03930664,-1.0186157,0.17376709,-0.484375,4.015625,0.859375
62,0.024658203,-1.0022583,0.22259521,-1.328125,2.109375,2.015625
63,-0.001953125,-0.9805298,0.18426514,-0.921875,-3.09375,0.453125
64,0.0390625,-1.0144653,0.1383667,-4.953125,-4.6875,-1.734375
65,-0.046142578,-1.015686,0.3444214,-14.421875,1.296875,0.796875
66,0.09106445,-0.9014282,0.19573975,3.734375,-9.015625,-4.203125
67,-0.040527344,-0.98809814,0.2675171,-6.734375,6.640625,1.234375
68,0.021728516,-0.96417236,0.21185303,6.28125,-0.8125,1.09375
69,0.012451172,-1.0120239,0.21917725,2.21875,10.203125,1.765625
70,0.006591797,-1.0137329,0.22698975,-0.546875,5.484375,2.25
71,-0.0012207031,-1.0237427,0.1774292,-1.078125,-3.65625,0.59375
72,0.018310547,-1.0005493,0.22381592,2.21875,-2.75,0.8125
73,0.00048828125,-0.9771118,0.2597046,0.96875,2.703125,0.875
74,0.0053710938,-1.0056763,0.19403076,5.765625,-2.359375,0.21875
75,0.0007324219,-0.99542236,0.21063232,2.578125,-0.203125,0.734375
76,-0.013671875,-0.9702759,0.1906128,7.671875,-2.859375,0.140625
77,0.00048828125,-1.0076294,0.18353271,6.375,-4.328125,1.6875
78,-0.011230469,-1.0154419,0.16619873,7.0625,-5.890625,1.703125
79,0.011962891,-0.98931885,0.13128662,3.59375,-4.796875,-0.203125
80,0.0041503906,-0.9338989,0.17327881,-0.421875,0.703125,0.84375
81,0.020019531,-0.9612427,0.1515503,-10.03125,1.46875,1.109375
82,-0.008544922,-1.0098267,0.14471436,-12.9375,-7.671875,4.59375
83,-0.045166016,-1.1038208,0.31658936,-13.15625,-4.875,5.4375
84,0.13916016,-0.86309814,0.20477295,11.96875,-1.078125,-0.640625
85,0.052246094,-1.0352173,0.27972412,-19.03125,6.953125,-1.3125
86,-0.104003906,-0.9819946,0.25701904,11.734375,-1.96875,2.359375
87,0.016601562,-0.96588135,0.19036865,6.1875,2.078125,2.328125
88,0.053222656,-1.0361938,0.20013428,9.84375,7.859375,2.5625
89,0.057128906,-1.0471802,0.1954956,1.578125,1.578125,2.078125
90,-0.020996094,-0.9390259,0.16815186,2.71875,-0.375,2.984375
91,0.020996094,-1.0059204,0.11517334,-6.46875,-2.546875,-0.078125
