sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.13989258,-0.98150635,0.16229248,-2.3125,3.109375,-0.53125
1,-0.14794922,-0.9702759,0.17645264,0.640625,3.375,0.125
2,-0.14331055,-0.96051025,0.15911865,0.359375,2.5,0.765625
3,-0.14575195,-0.96832275,0.16912842,1.703125,2.8125,1.34375
4,-0.16967773,-0.9771118,0.15472412,1.90625,0.765625,1.734375
5,-0.15893555,-0.9529419,0.1552124,2.296875,-0.609375,1.75
6,-0.15600586,-0.9402466,0.1437378,4.578125,-3.0625,1.015625
7,-0.11376953,-0.92755127,0.090026855,3.671875,-4.203125,2.234375
8,-0.09741211,-0.9668579,0.15838623,5.21875,-2.859375,4.484375
9,-0.14526367,-0.9846802,0.1552124,1.21875,-2.03125,2.78125
10,-0.123291016,-0.96832275,0.13641357,-1.65625,-5.3125,1.359375
11,-0.14086914,-0.98516846,0.137146,-3.9375,-5.265625,0.734375
12,-0.12109375,-1.0408325,0.18133545,0.609375,-2.28125,0.109375
13,-0.11035156,-0.9920044,0.17645264,1.890625,-0.71875,0.265625
14,-0.12695312,-0.94122314,0.14447021,2.296875,-0.578125,0.671875
15,-0.13330078,-0.97442627,0.15789795,1.5625,0.734375,0.765625
16,-0.15185547,-1.0247192,0.168396,1.125,0.625,0.3125
17,-0.13110352,-1.0271606,0.20404053,-1.046875,3.21875,0.875
18,-0.13842773,-1.000061,0.1906128,-3.15625,0.90625,-0.84375
19,-0.12792969,-0.9602661,0.13494873,-7.421875,1.0,-2.578125
20,-0.14697266,-0.9717407,0.15301514,-4.75,1.0625,-1.21875
21,-0.14526367,-0.9998169,0.17059326,-2.359375,3.03125,0.265625
22,-0.14257812,-0.9751587,0.17596436,-0.5625,3.96875,0.765625
23,-0.12719727,-0.97784424,0.17425537,0.9375,2.78125,0.234375
24,-0.12109375,-0.9661255,0.15911865,0.46875,1.8125,-0.46875
25,-0.12084961,-0.9837036,0.16644287,0.265625,1.53125,0.25
26,-0.13647461,-0.9805298,0.16790771,0.546875,0.59375,-0.359375
27,-0.13305664,-0.9631958,0.15838623,0.671875,-1.28125,-1.125
28,-0.13989258,-0.95269775,0.13226318,4.234375,-3.234375,-0.328125
29,-0.12207031,-0.94244385,0.09564209,4.640625,-5.546875,1.1875
30,-0.0637207,-0.93292236,0.10491943,3.1875,-7.203125,2.765625
31,-0.1730957,-0.9890747,0.15960693,3.203125,-7.375,1.03125
32,-0.14916992,-0.98687744,0.1251831,0.53125,-3.84375,1.1875
33,-0.10644531,-0.9883423,0.14642334,1.484375,-4.765625,0.171875
34,-0.12988281,-1.0083618,0.14227295,0.328125,-1.15625,-0.234375
35,-0.13574219,-1.0039673,0.1383667,2.59375,-0.59375,0.0625
36,-0.14013672,-0.96051025,0.13763428,2.6875,-0.109375,0.125
37,-0.14575195,-0.96588135,0.15081787,2.390625,0.890625,0.5
38,-0.14453125,-1.0073853,0.15838623,1.65625,1.71875,1.03125
39,-0.13012695,-1.031311,0.19622803,-1.484375,3.734375,1.359375
40,-0.14013672,-1.0110474,0.19866943,-5.0625,1.859375,-0.3125
41,-0.14111328,-0.9595337,0.14276123,-7.421875,1.4375,-1.828125
42,-0.17138672,-0.98321533,0.16326904,-4.71875,1.515625,-0.046875
43,-0.10498047,-1.0020142,0.12786865,-3.5,4.578125,0.625
44,-0.111083984,-0.9690552,0.124694824,-1.328125,7.703125,1.171875
45,-0.14648438,-0.9678345,0.14056396,0.265625,4.09375,1.1875
46,-0.14111328,-0.96417236,0.16668701,0.375,1.765625,0.078125
47,-0.13598633,-0.9680786,0.15814209,-0.953125,-0.328125,-1.453125
48,-0.11816406,-0.96466064,0.1437378,0.21875,-0.78125,-1.59375
49,-0.14038086,-0.9507446,0.1408081,3.09375,-3.71875,0.34375
50,-0.08911133,-0.93463135,0.11248779,2.171875,-3.984375,1.46875
51,-0.07885742,-0.9541626,0.08929443,0.6875,-8.8125,1.140625
52,-0.18359375,-0.95684814,0.18060303,0.734375,-8.875,0.34375
53,-0.12817383,-1.0125122,0.13128662,-1.78125,-3.171875,-0.765625
54,-0.12988281,-1.0059204,0.14544678,0.359375,-3.453125,-1.875
55,-0.14038086,-0.9829712,0.13983154,0.671875,0.28125,-0.65625
56,-0.1315918,-0.9788208,0.14764404,3.296875,1.15625,-0.65625
57,-0.12841797,-0.9685669,0.16790771,2.21875,1.8125,0.34375
58,-0.13623047,-0.97979736,0.16156006,1.984375,1.046875,-0.3125
59,-0.1459961,-1.003479,0.1671753,1.203125,1.03125,-0.015625
60,-0.13769531,-1.0046997,0.20916748,-0.375,2.328125,0.875
61,-0.14355469,-1.0095825,0.19744873,-3.25,-0.421875,0.6875
62,-0.14160156,-0.9644165,0.17840576,-5.984375,0.328125,-1.453125
63,-0.1550293,-0.9692993,0.15301514,-3.3125,-1.328125,-0.078125
64,-0.14477539,-1.0117798,0.14984131,-1.234375,0.671875,2.015625
65,-0.14135742,-0.98760986,0.10394287,-1.046875,0.453125,1.859375
66,-0.12841797,-0.9627075,0.13568115,-0.21875,0.9375,0.8125
67,-0.15771484,-0.9793091,0.1552124,-1.375,1.0625,-1.03125
68,-0.12792969,-0.96954346,0.15716553,-0.390625,0.96875,-1.984375
69,-0.12866211,-0.96051025,0.14642334,0.59375,0.203125,-1.78125
70,-0.14331055,-0.94854736,0.13226318,4.9375,-1.625,-0.421875
71,-0.122802734,-0.9277954,0.12176514,5.1875,-5.125,1.4375
72,-0.06713867,-0.9468384,0.089538574,4.796875,-5.078125,2.890625
73,-0.16894531,-0.95391846,0.16082764,4.796875,-9.125,3.234375
74,-0.14550781,-0.9829712,0.11224365,-1.03125,-5.5,0.609375
75,-0.14819336,-1.0032349,0.12347412,-0.03125,-3.25,-0.796875
76,-0.123046875,-1.0217896,0.13104248,-0.6875,0.921875,-1.109375
