sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.8244629,0.050964355,-0.58380127,-3.28125,-2.109375,1.40625
1,-0.8078613,0.024597168,-0.567688,1.625,-0.96875,2.34375
2,-0.8190918,0.039733887,-0.55792236,3.84375,-2.046875,3.28125
3,-0.842041,0.04534912,-0.54766846,1.546875,-0.015625,3.328125
4,-0.8371582,0.04071045,-0.56378174,-2.359375,-1.71875,0.765625
5,-0.81030273,0.038269043,-0.57891846,-2.359375,-4.890625,-0.96875
6,-0.81030273,0.029968262,-0.5786743,-1.546875,-1.578125,-0.09375
7,-0.8015137,0.038269043,-0.569397,-1.84375,-2.734375,-0.125
8,-0.8095703,0.019470215,-0.57110596,-0.765625,3.0,-1.296875
9,-0.8300781,0.042175293,-0.59747314,-0.125,-1.515625,-0.015625
10,-0.79541016,0.03314209,-0.5667114,-1.34375,-1.25,-1.4375
11,-0.798584,0.035339355,-0.5894165,-2.4375,-0.578125,-0.65625
12,-0.80981445,0.034118652,-0.5750122,-0.546875,1.109375,-0.46875
13,-0.81274414,0.038024902,-0.58966064,-0.4375,-0.21875,-0.03125
14,-0.79663086,0.042663574,-0.5881958,0.078125,-0.890625,-0.203125
15,-0.83032227,0.035095215,-0.5601196,0.125,-0.765625,0.03125
16,-0.81274414,0.041931152,-0.58428955,-2.359375,-2.265625,-0.265625
17,-0.7973633,0.035827637,-0.5779419,-1.734375,1.109375,-0.484375
18,-0.8076172,0.030700684,-0.58013916,-1.78125,2.515625,-0.125
19,-0.8173828,0.03265381,-0.57647705,-0.40625,1.515625,-0.359375
20,-0.8112793,0.038024902,-0.5940552,-1.28125,2.0625,-1.234375
21,-0.8078613,0.03363037,-0.5906372,-2.53125,-0.9375,-2.75
22,-0.80371094,0.030456543,-0.56622314,-2.5,2.109375,-2.28125
23,-0.8222656,0.035583496,-0.58795166,-0.46875,1.265625,-1.390625
24,-0.81640625,0.035583496,-0.5720825,-0.21875,0.671875,-0.953125
25,-0.8125,0.027770996,-0.57232666,-1.78125,0.28125,-1.5625
26,-0.8066406,0.030700684,-0.565979,-0.453125,-0.234375,-1.328125
27,-0.8144531,0.039978027,-0.5742798,-0.640625,2.234375,-0.4375
28,-0.8173828,0.039489746,-0.5796509,-1.609375,-0.09375,-1.15625
29,-0.81103516,0.04095459,-0.57647705,-0.34375,-0.78125,-1.359375
30,-0.8171387,0.036315918,-0.583313,-0.265625,2.0625,-0.609375
31,-0.81103516,0.046569824,-0.55303955,-1.4375,1.46875,-0.59375
32,-0.8156738,0.03704834,-0.579895,-2.25,0.8125,-1.140625
33,-0.8383789,0.038757324,-0.5755005,-1.921875,1.015625,-0.90625
34,-0.79174805,0.04486084,-0.57598877,0.375,-0.78125,-0.8125
35,-0.8215332,0.051208496,-0.5708618,-0.15625,-0.484375,-0.46875
36,-0.8161621,0.04071045,-0.57647705,-1.96875,-2.265625,-0.328125
37,-0.79833984,0.04168701,-0.5791626,-1.484375,-3.71875,0.640625
38,-0.7895508,0.035095215,-0.5737915,0.59375,-1.5625,1.46875
39,-0.8210449,0.03314209,-0.5808716,1.859375,1.609375,2.4375
40,-0.8210449,0.05316162,-0.5845337,0.625,-1.03125,0.671875
41,-0.80615234,0.043395996,-0.5755005,0.0,-0.65625,0.25
42,-0.8120117,0.03363037,-0.58258057,0.421875,-2.015625,0.859375
43,-0.814209,0.045837402,-0.56817627,0.9375,0.734375,1.5625
44,-0.80126953,0.03729248,-0.58551025,0.390625,-0.328125,2.03125
45,-0.8105469,0.038757324,-0.5835571,-0.546875,-1.078125,0.96875
46,-0.81469727,0.031677246,-0.59869385,-1.1875,-1.59375,0.953125
47,-0.7976074,0.034118652,-0.5796509,0.625,-3.796875,0.03125
48,-0.80126953,0.029968262,-0.5869751,0.40625,1.359375,0.296875
49,-0.8054199,0.039733887,-0.5923462,-0.125,-1.203125,0.6875
50,-0.796875,0.030700684,-0.5823364,1.3125,-1.734375,0.0
51,-0.80126953,0.0368042,-0.58184814,-0.796875,1.21875,-0.015625
52,-0.8105469,0.038024902,-0.6038208,-2.796875,1.34375,1.125
53,-0.79956055,0.018493652,-0.5779419,-1.84375,1.78125,0.625
54,-0.80859375,0.020935059,-0.5923462,-1.5,4.0625,-1.4375
55,-0.8286133,0.023620605,-0.60040283,-1.546875,1.578125,-3.265625
56,-0.80566406,0.043395996,-0.57476807,-2.90625,1.46875,-4.03125
57,-0.8051758,0.042175293,-0.5679321,-2.640625,1.640625,-2.40625
58,-0.81884766,0.032409668,-0.58380127,-2.390625,4.953125,-1.421875
59,-0.8312988,0.03338623,-0.58551025,-1.390625,0.8125,-1.4375
60,-0.8100586,0.04168701,-0.5593872,-0.765625,3.375,-2.75
61,-0.82177734,0.04559326,-0.5772095,-0.890625,1.765625,-1.84375
62,-0.8161621,0.04095459,-0.5720825,-1.28125,1.703125,-1.484375
63,-0.83081055,0.034118652,-0.5474243,-1.15625,4.015625,-0.9375
64,-0.8195801,0.04168701,-0.5750122,-1.296875,2.078125,-1.53125
65,-0.8222656,0.04046631,-0.57159424,-1.140625,2.109375,-1.875
66,-0.81591797,0.04071045,-0.5574341,-0.59375,2.421875,-0.765625
67,-0.8388672,0.05291748,-0.5576782,-1.90625,-0.109375,-1.828125
68,-0.8186035,0.045837402,-0.5696411,-2.25,-0.953125,-1.9375
