sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.30688477,0.0038452148,-0.8970337,-0.578125,3.828125,0.40625
1,0.29541016,0.005554199,-0.8831177,-0.796875,-0.671875,-0.3125
2,0.29223633,0.0026245117,-0.8887329,-0.828125,0.203125,-0.203125
3,0.29858398,0.010437012,-0.8743286,-0.796875,-2.625,-0.234375
4,0.3017578,0.005554199,-0.861145,-0.9375,3.421875,-0.3125
5,0.2836914,0.007507324,-0.9378052,-0.515625,3.515625,0.125
6,0.2919922,0.0067749023,-0.8833618,-0.484375,1.390625,-0.453125
7,0.28759766,0.0004272461,-0.8796997,-1.0,2.078125,-0.15625
8,0.2836914,0.011169434,-0.89019775,-0.234375,-2.375,0.15625
9,0.29467773,0.0033569336,-0.8665161,-1.15625,1.109375,-0.546875
10,0.29052734,-0.0037231445,-0.8880005,-0.8125,4.359375,0.65625
11,0.28808594,0.007019043,-0.8779907,-0.734375,-4.5,0.03125
12,0.29052734,0.008239746,-0.88775635,-0.53125,1.65625,-0.28125
13,0.2902832,0.0099487305,-0.89068604,-0.640625,0.40625,0.109375
14,0.28808594,0.0018920898,-0.8814087,-0.84375,0.21875,-0.140625
15,0.2861328,0.0072631836,-0.88238525,-0.578125,2.96875,-0.546875
16,0.2783203,0.0067749023,-0.89263916,-0.140625,0.15625,-0.265625
17,0.2861328,0.006286621,-0.8960571,-0.609375,0.40625,-0.328125
18,0.28442383,0.0045776367,-0.8880005,-0.5,1.03125,-0.3125
19,0.27783203,0.0079956055,-0.89849854,-0.671875,0.390625,-0.390625
20,0.28515625,0.0053100586,-0.8936157,-0.90625,-1.015625,-0.4375
21,0.28320312,0.0014038086,-0.88775635,-1.15625,0.125,-0.640625
22,0.28222656,0.008483887,-0.8887329,-0.828125,-0.71875,-0.359375
23,0.28930664,0.00018310547,-0.892395,-0.953125,0.40625,-0.46875
24,0.28442383,0.0028686523,-0.88482666,-0.546875,0.125,-0.0625
25,0.28222656,0.007507324,-0.8960571,-1.265625,1.796875,-0.40625
26,0.2824707,0.005554199,-0.880188,-0.953125,0.53125,-0.578125
27,0.27270508,0.0036010742,-0.88775635,-0.53125,2.640625,-0.078125
28,0.27856445,0.00970459,-0.9060669,-0.734375,1.953125,-0.375
29,0.2746582,0.0060424805,-0.87701416,-1.125,2.96875,-0.265625
30,0.2685547,0.008728027,-0.89263916,-0.328125,5.140625,0.171875
31,0.25732422,0.0067749023,-0.91729736,-0.484375,2.140625,-0.125
32,0.26342773,0.014587402,-0.88946533,-1.09375,1.125,-0.921875
33,0.26538086,0.0016479492,-0.89727783,-1.0625,0.375,-0.515625
34,0.26513672,0.0067749023,-0.88482666,-0.71875,0.625,0.0
35,0.25854492,0.010192871,-0.89971924,-0.984375,3.0,-0.015625
36,0.25708008,0.0067749023,-0.8899536,-0.109375,2.1875,0.234375
37,0.2541504,0.006286621,-0.88946533,-0.203125,3.078125,0.46875
38,0.24536133,0.007019043,-0.89801025,-0.984375,6.21875,0.109375
39,0.24584961,0.003112793,-0.8999634,-1.09375,5.484375,-0.109375
40,0.23950195,0.0072631836,-0.9121704,-1.078125,4.359375,0.0
41,0.22998047,0.007019043,-0.9065552,-0.609375,0.96875,0.0625
42,0.23730469,-0.0010375977,-0.90802,-1.046875,1.234375,0.125
43,0.23120117,0.0016479492,-0.90338135,-0.671875,1.828125,0.25
44,0.22802734,0.004333496,-0.9067993,-0.71875,-0.6875,-0.0625
45,0.23339844,0.0048217773,-0.9085083,-0.796875,-0.90625,-0.375
