sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.0087890625,-0.9570923,-0.17315674,-7.0625,2.078125,-8.734375
1,0.008056641,-0.96417236,-0.17144775,-8.703125,5.09375,-3.5625
2,0.07324219,-0.93634033,-0.1638794,-14.453125,2.078125,2.59375
3,0.10058594,-1.0171509,-0.113586426,-17.859375,-0.53125,4.765625
4,0.032714844,-0.99102783,-0.082092285,-12.59375,-7.796875,-0.671875
5,-0.03955078,-0.9697876,-0.13775635,-17.09375,-7.390625,-2.09375
6,-0.04321289,-1.0239868,-0.059143066,-11.3125,-11.546875,1.75
7,0.026855469,-0.96221924,0.001159668,-5.671875,-15.84375,1.171875
8,0.027832031,-0.93292236,-0.06085205,-14.84375,-16.1875,-0.765625
9,-0.009277344,-0.99542236,-0.00079345703,-9.921875,-10.53125,4.0
10,-0.060791016,-1.0818481,-0.019836426,-4.078125,-11.015625,5.09375
11,-0.028320312,-0.9168091,0.009460449,-2.609375,-6.296875,6.3125
12,0.0146484375,-0.9168091,0.028503418,-1.890625,-5.296875,2.3125
13,0.025634766,-0.9956665,0.024353027,-2.90625,-8.796875,-3.109375
14,-0.011230469,-1.117981,-0.024719238,-4.90625,-6.109375,-1.34375
15,0.010009766,-1.0601196,0.036315918,-5.03125,-0.09375,-2.453125
16,-0.010986328,-0.9522095,0.036315918,-2.671875,-0.421875,0.640625
17,0.047607422,-0.9326782,0.035583496,-7.609375,-2.453125,0.859375
18,0.084472656,-0.9885864,0.06732178,-8.359375,-4.828125,0.71875
19,0.061279297,-1.0049438,0.061462402,-5.453125,-10.65625,-0.21875
20,-0.00024414062,-1.0095825,0.08416748,-6.3125,-5.296875,0.828125
21,-0.021972656,-0.9487915,0.11907959,1.890625,-3.8125,0.453125
22,-0.008056641,-0.99664307,0.078552246,12.859375,-4.53125,5.875
23,0.040283203,-1.0166626,0.08538818,15.46875,-7.796875,8.5
24,0.02319336,-0.9924927,0.050720215,8.4375,-2.0,5.3125
25,0.026123047,-0.99713135,0.04144287,6.71875,2.671875,3.796875
26,0.0053710938,-1.0366821,0.02142334,1.8125,5.234375,0.359375
27,0.030029297,-1.0252075,0.046325684,2.71875,3.546875,-0.0625
28,0.08642578,-0.9155884,0.0053100586,-2.375,-1.984375,-0.171875
29,0.107666016,-0.91241455,0.0045776367,-5.03125,-0.171875,2.671875
30,0.07885742,-0.9710083,0.020935059,-8.046875,-1.609375,8.5
31,0.068359375,-1.0078735,0.039001465,-1.65625,-4.875,13.765625
32,0.09716797,-1.0466919,0.039733887,3.46875,-2.9375,14.421875
33,0.11328125,-1.02594,0.097351074,7.484375,-2.671875,7.515625
34,0.05517578,-0.9783325,0.047546387,1.0625,2.40625,-4.53125
35,0.067871094,-0.99786377,0.042419434,-1.359375,3.515625,2.890625
36,0.09423828,-0.9866333,0.055114746,0.875,2.796875,1.21875
37,0.118896484,-0.9920044,0.046325684,3.296875,1.46875,0.0625
38,0.12670898,-0.90875244,0.05731201,-1.96875,2.9375,-2.765625
39,0.1015625,-0.9805298,0.039733887,-4.90625,3.984375,0.1875
40,0.08203125,-1.005188,0.04510498,-2.890625,3.046875,2.34375
41,0.115722656,-0.9993286,0.050231934,-3.296875,3.328125,-0.859375
42,0.12792969,-1.0098267,0.062438965,-4.828125,4.734375,-3.34375
43,0.079589844,-1.0183716,0.061706543,-6.4375,4.171875,-4.359375
44,0.028564453,-0.9873657,0.04510498,-2.234375,2.484375,-0.625
45,0.047851562,-0.960022,0.066589355,-1.65625,-1.09375,1.015625
46,0.072265625,-0.9932251,0.08123779,-4.546875,2.875,0.46875
47,0.083984375,-1.0007935,0.09100342,-1.796875,5.5625,-0.46875
48,0.09838867,-1.0095825,0.05218506,1.3125,6.921875,2.40625
49,0.072753906,-0.9829712,0.062683105,-1.6875,4.765625,3.296875
50,0.08178711,-0.9898071,0.08880615,1.546875,0.78125,0.828125
51,0.12988281,-1.0044556,0.041931152,5.28125,-0.296875,1.15625
52,0.0925293,-1.0147095,0.07366943,0.703125,0.625,2.53125
53,0.052734375,-0.98931885,0.07122803,1.015625,-1.515625,2.296875
54,0.07055664,-0.96295166,0.0758667,3.90625,-1.921875,0.546875
