sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.64624023,-0.05279541,0.7626343,0.59375,-0.953125,-0.25
1,0.65405273,-0.04937744,0.75042725,1.046875,-0.78125,-0.0625
2,0.6550293,-0.053771973,0.74823,-0.59375,-0.84375,-0.703125
3,0.6586914,-0.04034424,0.7509155,0.359375,-0.53125,-0.234375
4,0.65185547,-0.057922363,0.7560425,0.046875,-0.390625,-0.515625
5,0.64868164,-0.074035645,0.75653076,-0.078125,-1.015625,-0.734375
6,0.65844727,-0.04937744,0.75042725,-1.15625,-0.140625,0.21875
7,0.6513672,-0.037902832,0.7526245,0.484375,-0.625,0.3125
8,0.6520996,-0.054260254,0.7628784,1.453125,-1.125,0.078125
9,0.6608887,-0.062072754,0.7633667,0.109375,-0.5,0.046875
10,0.6467285,-0.06427002,0.7543335,-0.859375,-0.609375,0.0625
11,0.65893555,-0.043029785,0.7536011,-0.390625,-0.28125,0.375
12,0.65649414,-0.05255127,0.7416382,-0.40625,-0.5625,-0.375
13,0.6538086,-0.058898926,0.7531128,0.171875,-0.515625,-0.265625
14,0.6418457,-0.055725098,0.75701904,-0.53125,-0.5625,0.171875
15,0.6533203,-0.04840088,0.75897217,0.0,-0.8125,0.0625
16,0.6542969,-0.046936035,0.7506714,0.015625,-1.5625,-0.578125
17,0.6557617,-0.0725708,0.7682495,0.40625,-0.609375,-0.015625
18,0.6496582,-0.07867432,0.7501831,-1.109375,-0.53125,-0.765625
19,0.6472168,-0.03277588,0.75897217,-0.53125,-0.984375,0.0625
20,0.6503906,-0.05255127,0.75579834,-0.09375,-0.125,-0.078125
21,0.638916,-0.073791504,0.75213623,0.953125,-1.734375,-0.640625
22,0.6550293,-0.06524658,0.7692261,-0.34375,0.28125,-0.09375
23,0.65478516,-0.051330566,0.7472534,-1.25,-0.328125,-0.53125
24,0.6501465,-0.066467285,0.7472534,0.671875,-1.171875,-0.3125
25,0.6452637,-0.06817627,0.75897217,0.640625,-0.375,-0.265625
26,0.65234375,-0.066711426,0.75579834,-0.671875,-0.765625,-0.65625
27,0.65063477,-0.054748535,0.7614136,0.109375,-0.671875,0.234375
28,0.6452637,-0.066711426,0.75579834,0.125,-1.375,0.125
29,0.6467285,-0.058898926,0.7567749,0.328125,-1.265625,-0.125
30,0.6442871,-0.070373535,0.7653198,-0.046875,-0.609375,-0.046875
31,0.6525879,-0.06842041,0.75164795,-0.703125,-0.46875,-0.15625
