sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.0048828125,-0.033996582,-0.95196533,-0.609375,0.96875,0.265625
1,-0.009277344,-0.027893066,-0.9561157,-0.34375,0.8125,0.171875
2,-0.0029296875,-0.035705566,-0.9475708,-0.390625,0.84375,0.140625
3,-0.0036621094,-0.03302002,-0.95806885,-0.75,0.703125,0.265625
4,-0.0031738281,-0.036193848,-0.960022,-0.703125,0.875,0.6875
5,-0.0017089844,-0.039611816,-0.95928955,-0.390625,1.078125,0.0625
6,-0.0017089844,-0.035705566,-0.95318604,-0.359375,1.109375,0.234375
7,-0.0017089844,-0.03643799,-0.9507446,-0.4375,1.15625,0.28125
8,-0.0078125,-0.03741455,-0.9607544,-0.46875,1.078125,0.203125
9,-0.0021972656,-0.030334473,-0.95269775,-0.359375,1.09375,0.171875
10,-0.0048828125,-0.03668213,-0.9524536,-0.328125,0.984375,0.0625
11,0.0,-0.038879395,-0.958313,-0.390625,1.15625,0.0625
12,0.004638672,-0.035461426,-0.9536743,-0.5,1.328125,0.078125
13,-0.001953125,-0.03692627,-0.9561157,-0.4375,1.390625,0.15625
14,-0.0068359375,-0.039123535,-0.95098877,-0.5,1.359375,0.078125
15,-0.0063476562,-0.034240723,-0.954895,-0.328125,1.546875,0.0625
16,-0.012207031,-0.035217285,-0.9573364,-0.484375,1.28125,0.140625
17,-0.0073242188,-0.03717041,-0.9541626,-0.21875,1.3125,-0.015625
18,-0.005126953,-0.04083252,-0.9561157,-0.25,1.3125,-0.015625
19,-0.0061035156,-0.034729004,-0.9595337,-0.421875,1.265625,0.171875
20,-0.0007324219,-0.033996582,-0.9614868,-0.296875,1.03125,0.21875
21,-0.0014648438,-0.044006348,-0.9534302,-0.234375,1.0625,0.171875
22,0.00024414062,-0.02911377,-0.9534302,-0.296875,1.328125,-0.015625
23,-0.0073242188,-0.040100098,-0.95880127,-0.296875,1.015625,0.09375
24,-0.0073242188,-0.033996582,-0.9487915,-0.21875,1.15625,-0.0625
25,-0.008300781,-0.039855957,-0.95758057,-0.34375,1.1875,0.1875
26,-0.0034179688,-0.035217285,-0.96221924,-0.53125,0.875,0.03125
27,-0.0021972656,-0.031799316,-0.9573364,-0.453125,1.078125,0.21875
28,-0.008300781,-0.039855957,-0.9573364,-0.421875,1.21875,0.125
29,-0.0017089844,-0.02960205,-0.960022,-0.328125,1.015625,-0.09375
30,-0.0087890625,-0.03375244,-0.954895,-0.421875,1.0625,-0.015625
31,-0.0061035156,-0.03643799,-0.9546509,-0.390625,1.03125,0.125
32,-0.0078125,-0.038635254,-0.9546509,-0.234375,1.0625,0.15625
33,-0.0061035156,-0.039123535,-0.95440674,-0.359375,1.046875,0.15625
34,-0.009521484,-0.03375244,-0.9602661,-0.546875,1.21875,0.109375
35,-0.012939453,-0.034973145,-0.9512329,-0.234375,1.25,0.15625
36,-0.0031738281,-0.03692627,-0.9512329,-0.328125,1.1875,0.03125
37,-0.0026855469,-0.04034424,-0.9529419,-0.265625,1.078125,0.125
38,-0.0053710938,-0.038146973,-0.95269775,-0.296875,1.15625,0.078125
39,-0.0107421875,-0.03643799,-0.9561157,-0.4375,1.0625,0.109375
40,-0.0034179688,-0.039367676,-0.9558716,-0.34375,1.15625,0.203125
41,0.0014648438,-0.036193848,-0.95684814,-0.359375,1.03125,0.0625
42,-0.0043945312,-0.034973145,-0.9546509,-0.265625,1.34375,0.078125
43,-0.0041503906,-0.029846191,-0.9536743,-0.296875,1.15625,0.109375
44,-0.0078125,-0.029846191,-0.95440674,-0.25,1.109375,0.078125
45,-0.0031738281,-0.034484863,-0.9505005,-0.4375,1.109375,0.109375
46,-0.006591797,-0.038635254,-0.9541626,-0.375,0.9375,0.109375
47,-0.00390625,-0.038146973,-0.9495239,-0.40625,1.078125,0.125
48,-0.005126953,-0.0335083,-0.954895,-0.34375,0.96875,-0.0625
49,-0.006591797,-0.041809082,-0.9624634,-0.296875,1.046875,0.078125
50,-0.010253906,-0.038635254,-0.95635986,-0.390625,1.09375,0.25
51,-0.0078125,-0.039123535,-0.95758057,-0.53125,1.125,0.1875
52,-0.009033203,-0.034973145,-0.9573364,-0.390625,1.046875,0.078125
53,-0.009521484,-0.038879395,-0.95513916,-0.40625,1.03125,0.078125
54,-0.0061035156,-0.035461426,-0.9614868,-0.3125,1.03125,0.0
