sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.20214844,-0.9841919,0.047058105,1.203125,-0.625,-1.234375
1,-0.19970703,-0.9873657,0.06536865,3.25,1.5625,-0.6875
2,-0.20410156,-1.0164185,0.034362793,5.46875,-1.25,0.0625
3,-0.19311523,-0.9920044,0.0602417,3.125,-0.390625,-1.84375
4,-0.20043945,-0.9673462,0.024353027,4.9375,-1.890625,-0.34375
5,-0.19873047,-0.9771118,0.028259277,2.78125,0.90625,0.734375
6,-0.2043457,-0.98101807,0.028503418,4.421875,-0.28125,-0.046875
7,-0.21166992,-0.98150635,0.011169434,3.890625,-1.765625,-0.78125
8,-0.22802734,-1.0081177,0.042907715,5.0,-2.109375,-0.0625
9,-0.2211914,-0.989563,-0.015930176,3.859375,0.03125,-3.109375
10,-0.21289062,-0.9649048,-6.1035156e-05,2.640625,0.8125,-2.59375
11,-0.21801758,-0.9854126,-0.012268066,1.953125,-0.46875,-0.984375
12,-0.22509766,-0.987854,-0.0068969727,1.59375,1.546875,-1.453125
13,-0.23925781,-0.9871216,-0.011047363,4.875,-0.046875,0.6875
14,-0.22705078,-0.98272705,-0.03375244,2.765625,0.90625,-0.90625
15,-0.22973633,-0.96759033,-0.02130127,1.9375,4.25,-1.21875
16,-0.2133789,-0.9951782,-0.04083252,3.40625,3.21875,1.328125
17,-0.20800781,-0.9920044,-0.02520752,2.171875,1.09375,-0.53125
18,-0.23242188,-0.9685669,-0.040100098,3.03125,-0.65625,1.390625
19,-0.2211914,-0.98101807,-0.054748535,0.828125,2.25,1.234375
20,-0.20776367,-0.98150635,-0.036193848,2.109375,3.421875,0.15625
21,-0.2055664,-0.97540283,-0.05255127,3.296875,2.078125,-0.21875
22,-0.2211914,-0.99053955,-0.049621582,1.625,1.15625,0.84375
23,-0.21899414,-1.0042114,-0.06304932,0.15625,1.90625,1.53125
24,-0.22167969,-0.99053955,-0.05328369,1.21875,1.078125,1.421875
25,-0.21459961,-0.98443604,-0.051818848,-0.09375,0.84375,1.40625
26,-0.2199707,-0.9685669,-0.054260254,-0.03125,1.0,0.984375
27,-0.20336914,-0.96466064,-0.024475098,-0.453125,2.28125,2.21875
28,-0.19458008,-0.97052,-0.062561035,0.390625,1.5625,2.28125
29,-0.19750977,-0.9685669,-0.033996582,-2.1875,1.296875,1.703125
30,-0.20703125,-0.99005127,-0.039367676,-7.59375,4.03125,1.5625
31,-0.24609375,-1.0379028,-0.039855957,-2.265625,0.671875,0.8125
32,-0.23632812,-0.9883423,-0.0256958,-2.4375,3.078125,-0.671875
33,-0.20336914,-0.9456177,-0.024230957,-3.25,5.03125,2.65625
34,-0.15185547,-0.9846802,0.016052246,-10.59375,6.859375,3.203125
35,-0.14404297,-1.019104,-0.002746582,-2.828125,1.15625,-1.0
36,-0.16601562,-0.991272,0.0138549805,0.921875,-0.625,-2.0
37,-0.22485352,-0.9663696,0.019958496,-2.203125,0.4375,1.171875
38,-0.24267578,-0.99664307,-0.012512207,-0.46875,2.0,2.1875
39,-0.18920898,-0.99664307,-0.010803223,0.65625,1.453125,-0.265625
40,-0.1496582,-1.0020142,0.030456543,-3.96875,4.34375,1.3125
41,-0.19165039,-0.9800415,0.030944824,-2.28125,1.546875,2.15625
42,-0.22680664,-0.98809814,0.0028686523,-0.25,-0.3125,2.71875
43,-0.19677734,-0.97613525,0.009460449,-1.171875,1.625,0.203125
44,-0.1875,-0.97735596,0.028259277,-0.78125,3.453125,1.140625
45,-0.1953125,-1.0022583,0.026306152,-1.296875,3.484375,2.734375
46,-0.17822266,-0.989563,0.019470215,0.8125,0.21875,0.1875
47,-0.18823242,-0.9734497,0.01751709,1.046875,1.296875,0.484375
48,-0.17700195,-0.9727173,0.027282715,0.34375,0.53125,-0.3125
49,-0.20239258,-1.0012817,0.018981934,-0.0625,1.75,1.0625
50,-0.16845703,-0.9981079,0.012634277,3.328125,3.078125,-0.25
51,-0.12963867,-1.0003052,0.0065307617,3.125,2.890625,-1.984375
52,-0.20703125,-0.98760986,0.034118652,2.78125,-0.765625,1.71875
53,-0.234375,-0.9807739,-0.015930176,1.75,1.140625,4.109375
54,-0.18554688,-0.98687744,-0.0032348633,2.484375,5.921875,2.21875
55,-0.14648438,-1.00177,0.007507324,4.5625,2.21875,-2.078125
56,-0.17236328,-0.9817505,0.015319824,2.09375,1.796875,-0.578125
57,-0.18139648,-0.9668579,-0.012756348,3.578125,-4.15625,-2.734375
58,-0.18725586,-0.97442627,-0.012268066,0.359375,-0.65625,-2.390625
59,-0.2043457,-1.0098267,-0.022521973,0.90625,-2.609375,-1.515625
60,-0.23779297,-1.0007935,-0.018615723,-1.359375,-1.171875,-2.765625
61,-0.23144531,-1.0073853,-0.04425049,-0.5,1.953125,-4.5625
62,-0.16308594,-0.9746704,-0.024230957,0.234375,3.5,-7.65625
63,-0.17895508,-0.97491455,-0.0020141602,-2.578125,1.265625,-5.21875
64,-0.23339844,-1.0112915,0.0028686523,-4.1875,-1.625,-1.546875
65,-0.30444336,-0.98394775,-0.033996582,-1.890625,-1.78125,1.234375
66,-0.26293945,-0.95196533,-0.04522705,0.453125,2.078125,-0.21875
67,-0.2084961,-0.97076416,-0.022277832,-2.15625,6.96875,-0.421875
68,-0.20605469,-0.9963989,0.015319824,-1.578125,4.609375,0.140625
69,-0.21948242,-0.9885864,0.001159668,-1.1875,1.34375,1.046875
70,-0.22509766,-0.9771118,-0.027160645,0.484375,1.234375,0.5625
71,-0.23950195,-0.97979736,0.002380371,0.234375,3.359375,0.90625
72,-0.22460938,-0.9729614,0.00018310547,1.484375,2.734375,-0.4375
73,-0.21557617,-0.9873657,-0.013244629,0.796875,2.5625,0.984375
74,-0.21289062,-0.9866333,-0.0025024414,-1.1875,2.625,0.828125
75,-0.20996094,-0.98028564,-0.010559082,-0.453125,1.921875,-0.140625
76,-0.23168945,-0.991272,-0.0056762695,0.265625,1.921875,-0.171875
77,-0.2319336,-0.9939575,0.008972168,-0.328125,2.265625,-0.9375
78,-0.22680664,-0.9710083,-0.004699707,-1.09375,2.4375,-2.140625
79,-0.22998047,-0.9678345,0.010681152,-3.203125,2.578125,-1.703125
80,-0.24047852,-0.97540283,0.005065918,-3.109375,3.140625,-2.5625
81,-0.23339844,-0.97247314,0.018493652,-3.0,4.1875,-3.078125
82,-0.24023438,-0.98443604,0.023376465,-4.78125,4.734375,-4.078125
83,-0.26733398,-1.0025024,0.011169434,-1.953125,3.25,-3.890625
84,-0.23950195,-0.97247314,0.020935059,-0.28125,4.1875,-6.046875
85,-0.24633789,-0.9697876,0.016296387,-0.5625,1.984375,-4.390625
86,-0.27197266,-0.98565674,0.047546387,-2.078125,2.75,-1.578125
87,-0.2770996,-0.9834595,0.014343262,-2.796875,1.265625,-2.0
88,-0.27490234,-0.97735596,0.027770996,-2.25,2.265625,-3.15625
89,-0.2824707,-0.9673462,0.038757324,-3.171875,4.875,-0.21875
90,-0.29125977,-0.96954346,0.047058105,-3.6875,5.25,2.3125
91,-0.28295898,-0.9741821,0.053649902,-2.390625,5.6875,4.1875
92,-0.22558594,-0.96954346,0.04144287,-0.640625,4.59375,3.140625
93,-0.2241211,-0.96710205,0.07733154,2.421875,-0.5625,1.859375
94,-0.25585938,-0.9639282,0.070007324,3.875,-5.578125,3.390625
95,-0.28027344,-0.97052,0.0524292,13.84375,-10.609375,5.390625
96,-0.2705078,-0.9866333,-0.013000488,14.546875,-12.609375,6.15625
97,-0.2763672,-0.9841919,-0.029846191,5.34375,-11.96875,13.4375
98,-0.25146484,-1.0090942,-0.008117676,-1.046875,-7.15625,13.28125
99,-0.22753906,-0.99786377,-0.017150879,-2.453125,-6.453125,14.0
100,-0.15454102,-1.0322876,-0.015686035,4.203125,-8.015625,7.75
