sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.6442871,-0.15020752,0.84832764,-0.71875,0.203125,0.28125
1,-0.6542969,-0.14605713,0.8480835,-0.328125,-0.921875,0.234375
2,-0.6633301,-0.14776611,0.854187,0.03125,-1.90625,-0.28125
3,-0.6516113,-0.14312744,0.84198,-0.25,-1.71875,-0.828125
4,-0.65063477,-0.13800049,0.84539795,0.78125,-1.9375,-0.890625
5,-0.64282227,-0.121398926,0.8241577,0.984375,-1.984375,-1.03125
6,-0.64624023,-0.11016846,0.82977295,1.703125,-2.578125,-1.09375
7,-0.6369629,-0.12945557,0.83099365,2.921875,-1.015625,-0.21875
8,-0.6464844,-0.14678955,0.8500366,3.65625,-0.203125,0.640625
9,-0.64575195,-0.16119385,0.82806396,0.9375,0.25,0.453125
10,-0.6347656,-0.1404419,0.855896,0.890625,-0.140625,0.40625
11,-0.6503906,-0.14337158,0.8439331,1.265625,-0.046875,0.421875
12,-0.6455078,-0.12799072,0.84490967,1.265625,-0.90625,0.234375
13,-0.64941406,-0.15386963,0.854187,1.375,-0.984375,0.375
14,-0.65356445,-0.16143799,0.8475952,0.546875,-0.1875,0.546875
15,-0.64624023,-0.15362549,0.82684326,0.671875,-0.875,0.171875
16,-0.6464844,-0.13458252,0.8378296,0.71875,-0.734375,-0.328125
17,-0.6569824,-0.14556885,0.83221436,0.703125,-0.78125,-0.265625
18,-0.64697266,-0.15509033,0.83758545,0.78125,-0.296875,-0.015625
19,-0.6557617,-0.15118408,0.8480835,1.5,-1.5,-0.046875
20,-0.65625,-0.14849854,0.8468628,0.828125,-0.09375,-0.125
21,-0.6525879,-0.14678955,0.84539795,0.859375,-0.4375,0.3125
22,-0.6447754,-0.15386963,0.836853,0.9375,-0.828125,0.015625
23,-0.6311035,-0.15093994,0.8317261,1.15625,-0.40625,-0.140625
24,-0.64575195,-0.14190674,0.8390503,0.234375,0.609375,0.234375
25,-0.65063477,-0.16656494,0.85150146,0.109375,0.28125,0.828125
26,-0.6447754,-0.15020752,0.8356323,1.375,-2.125,0.1875
27,-0.65722656,-0.15045166,0.84710693,1.4375,-2.140625,-0.359375
28,-0.6464844,-0.14581299,0.84710693,0.34375,-0.859375,-0.484375
29,-0.6616211,-0.16314697,0.8444214,-0.109375,-1.171875,-0.171875
