sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.9772949,-0.2366333,0.15081787,0.28125,-6.109375,3.75
1,-0.95654297,-0.22052002,0.13885498,-0.53125,-5.125,3.34375
2,-0.9458008,-0.22076416,0.101257324,1.890625,-8.75,5.28125
3,-1.0524902,-0.29180908,0.07513428,-0.296875,-3.921875,3.46875
4,-0.96972656,-0.26470947,0.093933105,-0.53125,2.015625,1.203125
5,-0.9472656,-0.25006104,0.070495605,-0.40625,2.65625,2.546875
6,-1.0378418,-0.26983643,0.12030029,2.53125,2.421875,2.015625
7,-0.98339844,-0.24517822,0.105407715,2.265625,4.234375,1.34375
8,-0.99121094,-0.23712158,0.12957764,2.453125,2.359375,1.0625
9,-1.0126953,-0.25689697,0.124938965,2.828125,1.828125,0.671875
10,-0.9765625,-0.30377197,0.11419678,-0.375,2.4375,-1.171875
11,-0.9626465,-0.2901001,0.13616943,-0.609375,-0.515625,0.25
12,-0.97875977,-0.28985596,0.15228271,-0.453125,-2.265625,0.078125
13,-0.9848633,-0.2930298,0.15960693,-0.375,-3.21875,1.1875
14,-1.0102539,-0.2617798,0.15863037,-0.640625,-1.8125,0.5625
15,-1.0356445,-0.22003174,0.17596436,1.765625,2.640625,-0.046875
16,-0.98339844,-0.21368408,0.13983154,4.515625,6.515625,-0.921875
17,-0.9260254,-0.23394775,0.11810303,6.09375,4.578125,-0.625
18,-1.0170898,-0.28326416,0.15985107,5.75,2.734375,-0.734375
19,-0.9519043,-0.2546997,0.14837646,3.46875,1.46875,-0.109375
20,-0.9968262,-0.27227783,0.13739014,1.296875,-2.109375,1.109375
21,-0.95166016,-0.23980713,0.12030029,1.28125,-4.0,1.3125
22,-0.9523926,-0.2727661,0.12176514,1.265625,-7.953125,2.9375
23,-0.9567871,-0.29693604,0.11224365,0.140625,-12.515625,3.484375
24,-1.0463867,-0.28326416,0.093444824,-0.78125,-12.515625,2.21875
25,-0.970459,-0.27618408,0.04534912,-0.78125,-8.109375,2.453125
26,-1.0087891,-0.2522583,0.08050537,0.765625,-9.78125,3.96875
27,-1.0012207,-0.28179932,0.09124756,-0.0625,-6.546875,4.34375
28,-0.9501953,-0.26934814,0.09466553,0.078125,-6.78125,5.234375
29,-1.0187988,-0.27789307,0.08416748,1.34375,-5.765625,6.03125
30,-1.0446777,-0.2774048,0.019470215,-0.828125,-2.125,3.375
31,-1.0095215,-0.27252197,-0.027893066,-0.484375,1.4375,1.71875
32,-0.9782715,-0.27642822,-0.024475098,1.359375,-0.796875,1.953125
33,-1.019043,-0.28985596,0.008483887,1.5,-0.046875,1.609375
34,-0.99438477,-0.27642822,0.008239746,1.390625,2.5,0.234375
35,-0.97631836,-0.26470947,0.04095459,1.390625,3.84375,0.359375
36,-0.98999023,-0.26690674,0.06829834,2.484375,4.171875,0.734375
37,-0.96435547,-0.27252197,0.0680542,2.8125,5.546875,0.375
38,-0.9880371,-0.31402588,0.10736084,1.96875,5.9375,1.421875
39,-0.9638672,-0.31402588,0.08343506,-0.359375,7.125,0.125
40,-0.9333496,-0.31011963,0.09637451,0.078125,4.28125,0.609375
41,-0.9716797,-0.3250122,0.09588623,-0.265625,0.953125,0.75
42,-0.9855957,-0.3255005,0.101501465,-1.859375,0.671875,0.078125
43,-0.9790039,-0.28546143,0.09686279,-1.921875,0.53125,0.0625
44,-0.98339844,-0.26226807,0.0692749,-1.8125,0.515625,0.6875
45,-0.96655273,-0.25616455,0.09075928,-0.21875,-0.4375,1.125
46,-0.9904785,-0.27301025,0.08148193,-0.234375,-1.15625,1.3125
47,-0.99072266,-0.27227783,0.08074951,0.5,-0.5625,0.234375
48,-1.003418,-0.2852173,0.09906006,1.6875,0.21875,0.8125
49,-0.9946289,-0.3147583,0.09124756,0.953125,1.5625,1.09375
50,-0.9758301,-0.30889893,0.078063965,0.21875,-0.234375,0.5625
51,-0.9699707,-0.3015747,0.0927124,-0.34375,-1.21875,1.1875
52,-0.96655273,-0.29644775,0.09295654,-0.65625,-1.3125,0.703125
53,-0.99487305,-0.29205322,0.085632324,-0.625,-1.1875,0.3125
54,-1.0007324,-0.284729,0.06756592,-0.9375,1.375,-0.09375
55,-0.9609375,-0.28131104,0.06341553,-1.171875,0.78125,0.625
56,-0.9914551,-0.31329346,0.08538818,-2.8125,0.703125,-0.09375
57,-1.0217285,-0.30426025,0.105651855,-4.859375,2.359375,-1.890625
58,-0.9741211,-0.25958252,0.09564209,-3.234375,1.03125,-2.453125
59,-1.0236816,-0.2756958,0.10443115,-1.734375,-0.90625,-3.59375
60,-1.020752,-0.24908447,0.15960693,-0.21875,-1.375,-4.3125
61,-0.96069336,-0.25274658,0.09661865,2.390625,-3.578125,-1.078125
62,-0.97509766,-0.27349854,0.09686279,2.53125,-5.5625,0.40625
63,-0.98706055,-0.26348877,0.08319092,2.828125,-4.34375,0.6875
64,-0.96606445,-0.25909424,0.07196045,2.765625,-3.359375,1.75
65,-0.9470215,-0.26617432,0.06390381,2.28125,-3.796875,1.140625
66,-0.93603516,-0.23956299,0.07635498,2.671875,-5.125,1.734375
67,-0.96899414,-0.2522583,0.049743652,2.765625,-9.375,3.5625
68,-1.0371094,-0.28570557,0.048034668,2.109375,-1.421875,1.34375
69,-0.9890137,-0.25958252,0.023132324,1.390625,0.6875,1.546875
70,-1.0395508,-0.28253174,0.049743652,1.625,-0.890625,1.375
