sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.19848633,-0.9834595,0.21209717,0.421875,0.296875,-0.078125
1,-0.18286133,-0.99005127,0.22406006,0.203125,-1.484375,-0.234375
2,-0.20361328,-0.9783325,0.22503662,0.765625,0.171875,-0.09375
3,-0.18334961,-0.97906494,0.22601318,0.453125,-0.0625,0.03125
4,-0.18188477,-0.98321533,0.22039795,0.609375,-1.5,-0.015625
5,-0.19848633,-0.9780884,0.230896,0.953125,-0.46875,-0.09375
6,-0.19311523,-0.9788208,0.2243041999999999,0.25,-0.40625,-0.046875
7,-0.18725586,-0.9985962,0.18939209,-1.453125,-1.46875,0.171875
8,-0.19824219,-0.9793091,0.25604248,3.21875,-0.25,0.234375
9,-0.17651367,-0.97784424,0.20111084,-0.390625,-0.28125,0.5
10,-0.19604492,-0.975647,0.2177123999999999,-1.015625,-1.78125,-1.09375
11,-0.20483398,-0.97857666,0.25506592,1.59375,-0.5,0.34375
12,-0.20385742,-0.9829712,0.21673584,1.125,0.265625,0.484375
13,-0.1850586,-0.9800415,0.22601318,1.21875,0.0,-0.28125
14,-0.19702148,-0.9788208,0.22332764,1.34375,-0.5625,0.359375
15,-0.19042969,-0.9915161,0.21990967,0.125,-0.640625,-0.390625
16,-0.18139648,-0.9734497,0.23675537,1.171875,-0.109375,0.4375
17,-0.19824219,-0.98883057,0.21453857,0.625,-1.34375,0.28125
18,-0.18286133,-0.9800415,0.21795654,0.859375,-1.390625,0.0625
19,-0.19140625,-0.99005127,0.23284912,1.40625,-0.390625,0.375
20,-0.21240234,-0.97247314,0.23822021,1.359375,0.203125,0.3125
21,-0.16894531,-0.95880127,0.19525146,-0.546875,-2.078125,-0.1875
22,-0.19677734,-1.0044556,0.24700928,3.25,0.421875,0.515625
23,-0.18115234,-0.97613525,0.20233154,-1.765625,-1.65625,-0.265625
24,-0.19165039,-0.9805298,0.22698975,0.5,-1.0,-0.625
25,-0.19677734,-0.9834595,0.23016357,0.875,0.5625,0.109375
26,-0.18408203,-0.9812622,0.21575928,0.078125,-0.375,0.046875
27,-0.19067383,-0.9871216,0.22137451,0.734375,-0.0625,0.203125
28,-0.18896484,-0.9758911,0.22723389,0.21875,-0.34375,-0.4375
29,-0.17456055,-0.9837036,0.22088623,0.3125,-0.34375,-0.34375
30,-0.20458984,-0.9812622,0.22576904,0.15625,-0.421875,-0.46875
31,-0.18945312,-0.9771118,0.22259521,0.078125,-0.546875,-0.265625
32,-0.17944336,-0.98321533,0.22088623,0.734375,-0.578125,0.0
33,-0.19799805,-0.98150635,0.2230835,0.3125,-0.6875,-0.140625
34,-0.20410156,-0.99102783,0.22503662,0.921875,0.484375,-0.234375
35,-0.17114258,-0.97003174,0.2230835,0.234375,-1.28125,-0.96875
36,-0.19506836,-0.9961548,0.22943115,1.421875,0.109375,1.15625
37,-0.1862792999999999,-0.9578247,0.19647217,-2.0625,-1.71875,-1.359375
38,-0.18847656,-0.99176025,0.24822998,0.96875,-0.265625,-0.21875
39,-0.19677734,-0.98272705,0.21673584,1.15625,-0.171875,0.65625
40,-0.18945312,-0.97662354,0.21868896,1.140625,-0.515625,0.140625
41,-0.19433594,-0.97857666,0.23016357,0.984375,0.21875,0.515625
42,-0.19238281,-0.9817505,0.20794678,-0.09375,-1.03125,0.015625
43,-0.18652344,-0.98883057,0.21478271,0.484375,-0.34375,-0.0625
44,-0.18969727,-0.9873657,0.21820068,0.78125,-0.640625,0.296875
45,-0.20678711,-0.98443604,0.21722412,0.046875,-1.484375,0.15625
46,-0.19189453,-0.9788208,0.22381592,1.078125,-1.578125,0.296875
47,-0.18823242,-0.9717407,0.23309326,1.609375,-1.828125,0.65625
48,-0.18847656,-0.9885864,0.18939209,-1.234375,-2.265625,0.234375
49,-0.20043945,-0.9841919,0.24920654,3.59375,-0.09375,-0.03125
50,-0.18334961,-0.9776001,0.19818115,0.1875,-1.03125,0.421875
51,-0.18041992,-0.9883423,0.21820068,-0.203125,-1.578125,-1.015625
52,-0.20947266,-0.98150635,0.23065186,1.171875,0.03125,0.453125
53,-0.1875,-0.9717407,0.22015381,0.96875,-0.15625,0.921875
54,-0.18603516,-0.9841919,0.23773193,2.0,0.171875,0.6875
55,-0.19750977,-0.9727173,0.21722412,0.71875,-0.25,0.734375
56,-0.18041992,-0.99298096,0.21429443,0.078125,-0.046875,0.25
57,-0.18847656,-0.9854126,0.22454834,0.828125,-0.515625,0.546875
58,-0.18457031,-0.98272705,0.2098998999999999,0.390625,-1.234375,0.25
59,-0.20043945,-0.991272,0.22943115,1.609375,0.015625,-0.046875
60,-0.18652344,-0.97125244,0.22137451,1.484375,0.109375,-0.125
61,-0.18676758,-0.986145,0.22137451,2.609375,-0.171875,-0.21875
62,-0.17797852,-0.98638916,0.215271,0.265625,-1.328125,-1.4375
63,-0.2055663999999999,-0.9956665,0.22406006,2.484375,0.328125,0.25
64,-0.18701172,-0.96710205,0.1828003,-0.953125,-1.375,-1.375
65,-0.20776367,-0.9871216,0.22503662,1.640625,0.5625,-0.625
66,-0.19360352,-0.98321533,0.22235107,0.546875,0.65625,-0.734375
67,-0.19360352,-0.9776001,0.20452881,0.125,-0.53125,-0.59375
68,-0.20605469,-1.00177,0.20965576,1.0625,0.515625,-0.0625
69,-0.17675781,-0.9849243,0.21258545,0.875,0.046875,-0.78125
70,-0.19604492,-0.98101807,0.22088623,1.53125,0.71875,0.109375
71,-0.1977539,-0.9793091,0.21282959,0.53125,-0.390625,-0.28125
72,-0.19335938,-0.97979736,0.21746826,0.578125,-0.71875,-0.25
73,-0.20483398,-0.9973755,0.21356201,1.734375,0.25,0.15625
