sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.16088867,-0.9404907,0.077819824,-3.671875,-1.84375,-1.8125
1,-0.14990234,-0.95025635,0.07098389,-1.203125,-0.546875,-0.4375
2,-0.1430664,-0.92144775,0.078063965,-1.0,1.265625,-0.828125
3,-0.18725586,-0.94659424,0.13568115,5.734375,-2.078125,-0.15625
4,-0.19042969,-1.0188599,0.082214355,3.515625,-1.875,2.265625
5,-0.16918945,-1.005188,0.07928467,-0.109375,-2.21875,0.8125
6,-0.1743164,-0.9924927,0.038757324,-1.5,-3.34375,0.171875
7,-0.17993164,-0.9729614,0.077819824,-0.0625,0.703125,0.5625
8,-0.15576172,-0.9561157,0.06390381,-1.234375,2.0625,0.515625
9,-0.1394043,-0.9487915,0.0758667,0.0,0.8125,0.1875
10,-0.15844727,-0.94976807,0.077819824,-0.125,0.125,-0.03125
11,-0.16455078,-0.94415283,0.07904053,1.390625,-0.1875,0.5
12,-0.17211914,-0.9763794,0.08319092,0.5625,-0.484375,0.765625
13,-0.15698242,-0.9890747,0.066345215,0.375,-0.765625,0.515625
14,-0.18237305,-0.99224854,0.086120605,0.5625,-0.6875,0.46875
15,-0.15649414,-0.9673462,0.062683105,-0.375,-0.03125,0.015625
16,-0.18334961,-0.9890747,0.08001709,2.140625,-0.734375,0.734375
17,-0.15917969,-0.9534302,0.074401855,1.09375,-1.6875,0.484375
18,-0.16235352,-0.9585571,0.03656006,2.28125,-0.921875,1.375
19,-0.18261719,-0.97369385,0.06561279,4.671875,-1.640625,3.890625
20,-0.15649414,-0.94976807,0.027038574,-1.40625,2.421875,0.765625
21,-0.1508789,-0.9702759,0.06829834,1.296875,-1.375,-0.421875
22,-0.15014648,-0.98760986,0.058288574,-0.296875,-1.6875,-0.734375
23,-0.14453125,-0.9561157,0.055603027,-1.34375,-0.859375,-1.953125
24,-0.14941406,-0.97247314,0.08270264,-1.390625,-1.640625,-2.078125
25,-0.16137695,-0.97125244,0.061706543,-2.734375,-2.078125,-2.6875
26,-0.15917969,-0.95098877,0.06585693,-2.71875,-1.75,-3.25
27,-0.1743164,-0.95098877,0.08538818,-2.34375,-1.453125,-2.203125
28,-0.1977539,-0.96954346,0.116882324,0.640625,-1.71875,-1.1875
29,-0.22753906,-0.989563,0.09124756,1.359375,-1.1875,0.890625
30,-0.19335938,-0.97613525,0.08050537,-0.921875,-1.0,0.3125
31,-0.18432617,-0.9859009,0.08416748,-0.265625,-0.40625,0.3125
32,-0.17285156,-0.95758057,0.06536865,0.046875,0.875,1.015625
33,-0.16137695,-0.94610596,0.08294678,0.78125,-0.6875,0.625
34,-0.17138672,-0.95025635,0.090270996,0.90625,-0.8125,0.28125
35,-0.17041016,-0.9529419,0.07611084,0.8125,-0.296875,-0.453125
36,-0.17041016,-0.9636841,0.06097412,0.625,-1.5625,-0.15625
37,-0.17773438,-0.97979736,0.046081543,0.421875,-0.875,0.859375
38,-0.19555664,-0.9746704,0.097839355,3.734375,-1.453125,1.609375
39,-0.17163086,-0.9763794,0.04510498,-0.75,1.203125,0.78125
40,-0.1875,-0.9619751,0.0836792,1.703125,-1.03125,0.390625
41,-0.18432617,-0.9734497,0.07269287,0.859375,-1.75,0.21875
42,-0.16552734,-0.9500122,0.06341553,0.703125,-0.578125,-0.40625
43,-0.1730957,-0.960022,0.06365967,0.96875,-0.5,-0.171875
44,-0.1706543,-0.9663696,0.06414795,0.625,-0.6875,-0.25
45,-0.17919922,-0.97613525,0.08270264,1.421875,-0.015625,0.546875
46,-0.16967773,-0.9920044,0.07147217,-1.6875,0.25,0.65625
47,-0.1899414,-0.95977783,0.074401855,-1.28125,-0.203125,0.203125
48,-0.17456055,-0.96221924,0.08807373,1.171875,0.234375,1.015625
49,-0.17333984,-0.956604,0.07220459,1.15625,-0.203125,0.90625
50,-0.16455078,-0.94415283,0.066345215,0.46875,0.484375,0.0
51,-0.16748047,-0.96417236,0.0770874,3.6875,-0.28125,1.234375
52,-0.1743164,-0.97491455,0.08929443,3.375,-0.375,1.65625
53,-0.17211914,-0.97979736,0.07366943,1.375,-0.390625,1.21875
54,-0.15698242,-0.9729614,0.070251465,1.6875,-0.359375,1.203125
55,-0.17407227,-0.98760986,0.061462402,1.0625,-0.71875,1.109375
56,-0.17602539,-0.96466064,0.04852295,0.90625,0.59375,0.859375
57,-0.16455078,-0.9668579,0.05682373,1.234375,0.125,0.890625
58,-0.16357422,-0.9578247,0.074645996,3.4375,-0.09375,1.578125
59,-0.15332031,-0.9578247,0.06048584,2.265625,-1.03125,0.984375
60,-0.15307617,-0.9907837,0.034362793,2.765625,-0.453125,-0.171875
61,-0.1550293,-0.9805298,0.046325684,0.53125,-0.765625,-0.484375
62,-0.18359375,-0.9714966,0.06756592,1.046875,-2.28125,-0.53125
63,-0.171875,-0.9734497,0.054138184,-0.09375,-1.125,-0.265625
64,-0.16894531,-0.9602661,0.04071045,-0.5,-0.59375,-0.78125
65,-0.16015625,-0.96710205,0.055358887,-0.546875,-0.875,-1.703125
66,-0.19091797,-0.95977783,0.074645996,-0.703125,-1.15625,-0.953125
67,-0.18041992,-0.97784424,0.04486084,-0.90625,-0.953125,-0.109375
68,-0.1772461,-0.9649048,0.050720215,-0.34375,0.46875,-0.71875
69,-0.18603516,-0.96295166,0.058044434,0.78125,0.515625,0.515625
70,-0.15673828,-0.97247314,0.066833496,1.171875,0.671875,1.09375
71,-0.17163086,-0.9619751,0.046813965,1.40625,-1.0625,0.90625
72,-0.17333984,-0.9656372,0.06488037,0.90625,-0.84375,1.03125
