sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.3720703,0.05657959,1.0299683,1.109375,-0.421875,0.640625
1,-0.37060547,0.055114746,1.0350952,1.984375,-0.609375,0.65625
2,-0.36987305,0.050964355,1.0343628,1.65625,-0.421875,0.859375
3,-0.37182617,0.055603027,1.0392456,1.421875,-0.28125,0.84375
4,-0.37182617,0.04876709,1.0199585,0.96875,0.21875,0.75
5,-0.37231445,0.051696777,1.0202026,0.328125,1.078125,0.390625
6,-0.36914062,0.04510498,1.0360718,0.375,0.71875,0.625
7,-0.37353516,0.04119873,1.0387573,-0.140625,0.53125,0.640625
8,-0.37353516,0.045837402,1.0455933,0.484375,-0.59375,1.0
9,-0.36889648,0.05316162,1.0392456,1.03125,-0.734375,0.90625
10,-0.35791016,0.04852295,1.0223999,-0.1875,0.046875,0.875
11,-0.3725586,0.046081543,1.0409546,0.375,-0.015625,0.546875
12,-0.3659668,0.040222168,1.0355835,0.71875,-0.015625,0.75
13,-0.36791992,0.045837402,1.0258179,0.390625,0.375,0.765625
14,-0.37329102,0.054870605,1.031189,0.21875,0.171875,0.8125
15,-0.36523438,0.05682373,1.0392456,0.546875,-0.125,0.90625
16,-0.36791992,0.04901123,1.0321655,0.484375,-0.390625,0.75
17,-0.3647461,0.051208496,1.0282593,0.59375,-0.484375,0.84375
18,-0.37036133,0.041931152,1.0228882,-0.09375,0.09375,0.828125
19,-0.3713379,0.047058105,1.0397339,-0.1875,0.65625,0.65625
20,-0.37329102,0.04534912,1.0380249,0.140625,0.53125,0.625
21,-0.36499023,0.04559326,1.0407104,-0.734375,0.890625,0.5625
22,-0.36254883,0.061950684,1.0358276,-1.984375,1.734375,0.546875
23,-0.3605957,0.057800293,1.0441284,-3.375,2.21875,0.34375
24,-0.36035156,0.058532715,1.048523,-2.46875,1.078125,0.828125
25,-0.35986328,0.062194824,1.0348511,-2.3125,0.59375,0.8125
26,-0.3557129,0.06512451,1.039978,-1.828125,0.390625,0.625
27,-0.35253906,0.06829834,1.0375366,-1.375,0.125,0.765625
