sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.10131836,-0.9702759,0.18060303,-0.75,-0.09375,0.171875
1,-0.10864258,-0.9846802,0.17132568,-1.34375,-0.234375,0.265625
2,-0.118896484,-0.98223877,0.20257568,2.265625,-2.296875,0.796875
3,-0.09350586,-0.9639282,0.15203857,-1.921875,0.671875,-0.046875
4,-0.115234375,-0.97540283,0.19158936,0.890625,0.234375,0.4375
5,-0.11230469,-0.98028564,0.18035889,1.0625,-0.671875,0.421875
6,-0.11010742,-0.9824829,0.16912842,0.078125,0.1875,0.5
7,-0.107421875,-0.97906494,0.18865967,1.609375,-0.53125,0.65625
8,-0.11206055,-0.9819946,0.1762085,1.484375,-0.09375,0.703125
9,-0.10522461,-0.97735596,0.16888428,-0.03125,-0.484375,0.53125
10,-0.10913086,-0.9783325,0.1798706,0.75,-0.421875,0.828125
11,-0.103027344,-0.9783325,0.17401123,1.484375,-0.328125,0.859375
12,-0.09863281,-0.9780884,0.17156982,0.640625,-0.578125,0.734375
13,-0.10864258,-0.9717407,0.1749878,0.953125,-0.640625,0.609375
14,-0.100097656,-0.9807739,0.15325928,2.390625,-0.875,0.65625
15,-0.107910156,-0.9834595,0.18035889,2.859375,-0.671875,0.953125
16,-0.103271484,-0.9656372,0.17132568,0.71875,0.28125,0.328125
17,-0.103027344,-0.98443604,0.15765381,0.78125,-0.453125,0.9375
18,-0.09838867,-0.9758911,0.16229248,-0.828125,1.046875,0.390625
19,-0.10620117,-0.98321533,0.17889404,2.828125,-0.0625,1.109375
20,-0.09765625,-0.98150635,0.15130615,1.0625,0.3125,0.546875
21,-0.099121094,-0.9780884,0.16009521,0.9375,0.578125,0.96875
22,-0.100097656,-0.9812622,0.15228271,1.40625,-0.265625,0.5625
23,-0.104003906,-0.9824829,0.15350342,1.21875,-0.203125,0.5
24,-0.095214844,-0.9768677,0.15863037,1.25,-0.03125,0.671875
25,-0.09350586,-0.97857666,0.13861084,2.25,0.109375,1.03125
26,-0.09106445,-0.98101807,0.15008545,3.171875,0.390625,1.109375
27,-0.095703125,-0.9819946,0.14642334,2.125,0.296875,1.078125
28,-0.0925293,-0.98687744,0.14031982,1.40625,-0.234375,0.84375
29,-0.09082031,-0.97613525,0.13885498,1.328125,-0.078125,0.71875
30,-0.09033203,-0.98272705,0.12664795,0.25,0.40625,0.65625
31,-0.088378906,-0.9956665,0.1383667,2.890625,-1.046875,0.84375
32,-0.075927734,-0.97442627,0.1149292,-1.96875,0.6875,0.453125
33,-0.1003418,-0.98394775,0.1473999,0.453125,0.078125,0.9375
34,-0.091308594,-0.98394775,0.14227295,1.234375,-0.3125,0.5625
35,-0.0847168,-0.97906494,0.124938965,2.71875,-0.0625,0.8125
36,-0.09008789,-0.98760986,0.13470459,4.125,-0.234375,1.203125
37,-0.079589844,-0.9837036,0.11883545,2.328125,0.0625,1.296875
38,-0.079833984,-0.98394775,0.11566162,1.90625,-0.421875,1.046875
39,-0.076660156,-0.98394775,0.12298584,1.859375,-0.625,1.25
40,-0.07861328,-0.9846802,0.10784912,2.203125,-1.21875,1.21875
41,-0.08276367,-0.98931885,0.11102295,2.34375,-0.8125,1.390625
42,-0.06689453,-0.9812622,0.10296631,0.65625,-0.703125,0.78125
43,-0.08666992,-0.9890747,0.109313965,-0.5,-0.625,1.03125
44,-0.07373047,-0.98809814,0.09515381,-0.34375,-0.171875,0.8125
45,-0.076416016,-0.9915161,0.11907959,1.03125,-0.203125,1.4375
46,-0.0625,-0.9788208,0.081970215,0.265625,0.796875,1.03125
47,-0.07324219,-0.9924927,0.109313965,2.390625,0.65625,1.203125
48,-0.064208984,-0.9885864,0.112976074,2.03125,0.65625,0.5625
49,-0.07006836,-0.9902954,0.097839355,1.25,0.4375,0.671875
50,-0.06689453,-0.9920044,0.10809326,0.53125,0.34375,0.421875
51,-0.0703125,-0.9854126,0.09466553,1.203125,-0.078125,0.5
52,-0.064208984,-0.9927368,0.093933105,1.484375,-0.609375,-0.015625
53,-0.07055664,-0.98150635,0.09588623,0.5625,0.1875,0.328125
54,-0.06323242,-0.9898071,0.081726074,0.140625,-0.421875,-0.125
55,-0.06298828,-0.987854,0.09100342,0.8125,-0.0625,0.390625
56,-0.072753906,-0.9924927,0.09222412,1.015625,-0.484375,0.53125
57,-0.05834961,-0.9780884,0.08416748,-0.203125,0.703125,0.671875
58,-0.07080078,-1.0090942,0.09075928,0.734375,-0.5,0.5
59,-0.061523438,-0.97540283,0.11566162,0.8125,0.03125,0.28125
60,-0.06958008,-0.9885864,0.07562256,-0.21875,-0.296875,0.203125
61,-0.067871094,-0.9890747,0.085876465,0.6875,-0.203125,0.9375
62,-0.068603516,-0.991272,0.09710693,1.609375,-0.0625,0.921875
63,-0.05419922,-0.9854126,0.078063965,-0.21875,0.3125,0.453125
64,-0.059570312,-0.99005127,0.09661865,-0.6875,0.0,0.59375
65,-0.06567383,-0.9924927,0.085632324,-0.484375,-0.203125,0.25
66,-0.06591797,-0.9837036,0.085876465,-0.375,-1.0,0.21875
67,-0.068359375,-0.9819946,0.09979248,-0.125,-0.78125,0.09375
68,-0.07299805,-0.9937134,0.09466553,-0.4375,-0.484375,-0.171875
69,-0.057128906,-0.9854126,0.089538574,-0.71875,-0.234375,-0.1875
70,-0.068115234,-0.9859009,0.09954834,-0.984375,-0.4375,-0.125
71,-0.05908203,-0.99298096,0.09075928,-1.453125,-0.125,-0.28125
72,-0.06225586,-0.99102783,0.10272217,-1.3125,-0.5625,-0.328125
73,-0.07421875,-0.9890747,0.12249756,0.59375,-2.203125,-0.109375
74,-0.0690918,-0.9859009,0.07684326,-1.96875,-3.015625,-0.484375
75,-0.071777344,-0.9873657,0.09686279,-1.96875,-2.46875,-0.4375
76,-0.080566406,-0.98321533,0.10736084,-0.546875,-2.484375,-0.125
77,-0.068359375,-0.99102783,0.09710693,-1.078125,-1.40625,-0.28125
78,-0.06958008,-0.9854126,0.10858154,-1.5625,-2.546875,0.0
79,-0.075683594,-0.9854126,0.101257324,-1.078125,-2.6875,-0.453125
80,-0.0703125,-0.989563,0.097351074,-1.03125,-1.828125,-0.203125
