sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.6525879,-0.25445557,-0.642395,1.046875,-0.59375,0.515625
1,0.65625,-0.25421143,-0.63531494,1.484375,-1.34375,0.96875
2,0.65356445,-0.25372314,-0.6218872,2.109375,0.234375,1.0
3,0.6586914,-0.24957275,-0.64630127,1.234375,-0.03125,0.546875
4,0.6550293,-0.25079346,-0.64630127,0.9375,-0.859375,0.390625
5,0.6501465,-0.24615479,-0.61260986,1.234375,-0.3125,0.40625
6,0.66259766,-0.2444458,-0.6526489,1.453125,0.859375,0.40625
7,0.6594238,-0.23834229,-0.63848877,0.9375,-0.78125,0.1875
8,0.64697266,-0.24591064,-0.6201782,1.46875,0.25,0.34375
9,0.65112305,-0.24298096,-0.6524048,0.984375,0.34375,0.125
10,0.6608887,-0.24078369,-0.6375122,0.40625,-1.484375,0.09375
11,0.6647949,-0.23321533,-0.6421509,0.796875,-0.03125,0.125
12,0.64624023,-0.24713135,-0.6321411,1.015625,-0.6875,0.46875
13,0.654541,-0.237854,-0.6465454,0.8125,-0.359375,0.1875
14,0.65649414,-0.23638916,-0.6367798,0.484375,-0.9375,0.078125
15,0.64990234,-0.24395752,-0.63775635,0.609375,-0.625,0.078125
16,0.65063477,-0.23736572,-0.63604736,0.765625,-0.140625,0.203125
17,0.65893555,-0.23687744,-0.645813,0.46875,-0.96875,0.109375
18,0.65844727,-0.24078369,-0.63409424,0.515625,-1.0625,0.03125
19,0.6599121,-0.237854,-0.64556885,0.40625,-0.421875,0.015625
20,0.6530762,-0.2420044,-0.6333618,0.15625,-1.828125,-0.109375
21,0.6604004,-0.23492432,-0.6343384,0.46875,-0.671875,-0.0625
22,0.6628418,-0.24420166,-0.6436157,0.34375,-1.8125,-0.015625
23,0.6567383,-0.2366333,-0.62701416,0.8125,-1.53125,0.421875
24,0.66503906,-0.237854,-0.6350708,0.671875,-0.65625,0.21875
25,0.6508789,-0.2366333,-0.642395,0.015625,-1.78125,-0.265625
26,0.6569824,-0.24053955,-0.6213989,0.71875,-0.71875,0.140625
27,0.66015625,-0.23223877,-0.6511841,0.203125,0.03125,-0.390625
28,0.65771484,-0.24932861,-0.63116455,-0.234375,-2.484375,-0.3125
29,0.66186523,-0.2390747,-0.628479,0.796875,-0.875,0.09375
30,0.6647949,-0.24053955,-0.63360596,0.109375,-2.25,-0.140625
31,0.6647949,-0.24298096,-0.62945557,0.140625,-1.9375,-0.171875
32,0.66430664,-0.24346924,-0.6240845,0.46875,-1.328125,0.109375
33,0.66625977,-0.24591064,-0.6182251,0.6875,0.1875,0.046875
34,0.66967773,-0.24664307,-0.6253052,0.5,0.640625,0.15625
35,0.67285156,-0.24151611,-0.63116455,0.703125,-0.046875,0.046875
36,0.66748047,-0.24371338,-0.6253052,0.484375,0.234375,0.015625
37,0.6647949,-0.24420166,-0.6333618,0.546875,0.234375,-0.140625
38,0.6608887,-0.23980713,-0.630188,0.453125,0.265625,-0.234375
39,0.6669922,-0.2341919,-0.63409424,0.5625,-0.125,-0.0625
40,0.6591797,-0.23760986,-0.6187134,0.671875,-0.5,0.03125
41,0.65893555,-0.23736572,-0.62823486,0.546875,0.96875,-0.0625
42,0.6657715,-0.24786377,-0.63775635,0.34375,-0.421875,-0.0625
43,0.657959,-0.24517822,-0.63287354,0.40625,-1.46875,0.0625
44,0.65893555,-0.24908447,-0.6331177,0.53125,-1.71875,0.171875
45,0.6645508,-0.24493408,-0.62286377,0.703125,-1.4375,0.125
46,0.66748047,-0.24273682,-0.6355591,0.59375,-1.46875,-0.1875
47,0.6623535,-0.24468994,-0.6213989,0.4375,-1.421875,-0.046875
48,0.6713867,-0.23956299,-0.6292114,0.09375,-1.703125,-0.0625
49,0.66845703,-0.24468994,-0.61724854,0.0,-2.59375,-0.171875
50,0.6652832,-0.23956299,-0.61602783,0.984375,0.578125,-0.0625
51,0.6711426,-0.24517822,-0.6358032,1.25,2.25,-0.03125
52,0.6730957,-0.24224854,-0.6392212,0.515625,-0.46875,0.078125
53,0.6652832,-0.24298096,-0.6292114,0.03125,-1.453125,-0.5625
54,0.6542969,-0.2420044,-0.61260986,0.375,-0.359375,-0.25
55,0.6660156,-0.2420044,-0.62872314,0.65625,0.875,-0.296875
56,0.66967773,-0.2498169,-0.63482666,0.703125,-0.328125,-0.125
57,0.66918945,-0.24395752,-0.63409424,0.984375,-3.265625,0.140625
58,0.6672363,-0.23883057,-0.62701416,1.328125,-4.09375,0.34375
59,0.67944336,-0.24102783,-0.6321411,-0.84375,-5.296875,-1.234375
60,0.66918945,-0.24737549,-0.5913696,-0.171875,-4.71875,-0.734375
61,0.6755371,-0.24761963,-0.6069946,0.515625,-4.09375,0.0
62,0.689209,-0.25128174,-0.6087036,0.40625,-1.96875,-0.375
63,0.67822266,-0.24371338,-0.5940552,0.578125,-0.171875,-0.234375
64,0.6743164,-0.24395752,-0.597229,0.921875,1.078125,-0.125
65,0.68237305,-0.24884033,-0.61505127,0.78125,1.640625,-0.03125
66,0.67749023,-0.24615479,-0.6079712,1.078125,2.046875,0.078125
67,0.6804199,-0.24224854,-0.61505127,0.875,2.796875,-0.25
68,0.67578125,-0.24420166,-0.61383057,0.546875,0.265625,-0.21875
69,0.6660156,-0.24835205,-0.60723877,1.078125,1.15625,0.25
70,0.67529297,-0.24468994,-0.63775635,0.8125,1.625,0.109375
71,0.6723633,-0.24151611,-0.6211548,0.1875,-0.875,0.109375
72,0.66625977,-0.24591064,-0.6133423,1.28125,-0.796875,0.71875
73,0.6821289,-0.24420166,-0.6343384,0.984375,-3.3125,0.828125
74,0.671875,-0.24468994,-0.60113525,0.484375,-2.90625,-0.03125
75,0.6779785,-0.24835205,-0.61676025,0.40625,-1.15625,-0.09375
76,0.68115234,-0.24346924,-0.6062622,0.453125,-0.890625,0.03125
77,0.67993164,-0.24371338,-0.6174927,1.046875,1.703125,0.03125
78,0.6826172,-0.24468994,-0.6314087,0.921875,2.640625,0.015625
79,0.67993164,-0.23809814,-0.6211548,0.328125,0.796875,-0.34375
80,0.66308594,-0.24151611,-0.6055298,0.140625,0.140625,-0.484375
81,0.6604004,-0.24468994,-0.6055298,-0.578125,5.09375,-1.203125
82,0.65844727,-0.25665283,-0.6213989,-0.90625,9.6875,-1.75
83,0.6491699,-0.255188,-0.6506958,0.875,6.5,-0.46875
84,0.65478516,-0.24786377,-0.6543579,1.203125,4.078125,-0.03125
85,0.63427734,-0.25152588,-0.6309204,0.78125,4.203125,-0.640625
86,0.64086914,-0.25372314,-0.67315674,0.046875,2.765625,-0.390625
87,0.63549805,-0.25372314,-0.6477661,0.734375,-0.34375,-0.078125
88,0.63427734,-0.24298096,-0.65875244,0.609375,0.1875,0.15625
89,0.64575195,-0.25567627,-0.67388916,0.0625,-2.203125,0.171875
90,0.6296387,-0.25689697,-0.63482666,0.984375,-5.609375,1.046875
91,0.6455078,-0.25738525,-0.6338501,1.796875,-0.53125,0.703125
92,0.6496582,-0.25445557,-0.6692505,1.140625,-1.09375,0.421875
93,0.6501465,-0.24078369,-0.6409302,1.1875,-1.4375,0.65625
94,0.64501953,-0.24102783,-0.64508057,0.9375,-1.0,0.46875
95,0.65722656,-0.25250244,-0.65338135,0.828125,-1.625,0.375
96,0.65283203,-0.24298096,-0.6511841,0.859375,-0.765625,0.171875
97,0.6489258,-0.24346924,-0.642395,0.625,-0.65625,0.015625
98,0.64990234,-0.25177002,-0.64630127,0.8125,0.171875,0.265625
99,0.6538086,-0.24151611,-0.6489868,0.625,-0.796875,0.1875
100,0.64746094,-0.24346924,-0.63531494,0.734375,0.484375,0.28125
101,0.6533203,-0.23687744,-0.6646118,0.609375,-0.234375,-0.109375
102,0.64453125,-0.24615479,-0.6399536,0.109375,-1.578125,-0.15625
103,0.6464844,-0.23931885,-0.6387329,0.765625,-0.75,0.21875
104,0.64990234,-0.24127197,-0.6460571,0.234375,-0.859375,-0.03125
105,0.6555176,-0.23565674,-0.63067627,0.46875,-0.609375,-0.015625
106,0.65356445,-0.24029541,-0.64434814,0.296875,-0.453125,-0.15625
107,0.6477051,-0.24151611,-0.6397095,0.65625,-0.4375,0.046875
108,0.6542969,-0.24591064,-0.64849854,0.59375,-0.046875,0.03125
109,0.6464844,-0.24346924,-0.63604736,0.328125,-0.109375,-0.21875
110,0.64404297,-0.23760986,-0.6436157,0.578125,0.453125,-0.046875
111,0.64868164,-0.2432251,-0.64141846,0.515625,-0.515625,-0.046875
112,0.64575195,-0.2354126,-0.6453247,0.65625,0.046875,-0.125
113,0.6491699,-0.24127197,-0.6524048,0.5,0.109375,0.03125
114,0.6455078,-0.24005127,-0.6453247,0.390625,-0.890625,-0.09375
115,0.6442871,-0.2456665,-0.6433716,0.328125,-1.046875,0.078125
116,0.64697266,-0.24859619,-0.64434814,0.0625,-0.515625,-0.171875
117,0.6467285,-0.24737549,-0.6358032,0.4375,-0.078125,-0.15625
118,0.64990234,-0.24932861,-0.64801025,0.65625,0.5625,0.03125
119,0.6411133,-0.23248291,-0.6428833,0.796875,1.171875,0.015625
120,0.6447754,-0.24176025,-0.6548462,0.8125,2.28125,-0.046875
121,0.6335449,-0.24224854,-0.6567993,0.53125,0.703125,-0.171875
122,0.64086914,-0.24932861,-0.6567993,0.9375,1.125,0.0
123,0.63623047,-0.24273682,-0.659729,0.46875,1.109375,-0.078125
124,0.64160156,-0.24273682,-0.6626587,-0.265625,-0.34375,-0.515625
125,0.64086914,-0.24664307,-0.6489868,0.421875,-0.71875,0.015625
126,0.6364746,-0.25030518,-0.66192627,0.59375,-0.484375,0.046875
127,0.6269531,-0.237854,-0.64630127,0.453125,0.140625,0.0625
128,0.64453125,-0.24029541,-0.6646118,0.546875,-0.0625,0.078125
129,0.6374512,-0.2456665,-0.65045166,0.5625,-0.046875,0.015625
130,0.63012695,-0.23980713,-0.6543579,0.8125,1.03125,0.109375
131,0.64086914,-0.24639893,-0.6643677,0.4375,0.421875,-0.28125
132,0.6394043,-0.24859619,-0.6585083,0.203125,-0.21875,-0.046875
133,0.6296387,-0.2432251,-0.66119385,0.734375,0.109375,0.234375
134,0.63305664,-0.24273682,-0.6621704,0.515625,-0.546875,0.109375
135,0.62646484,-0.24737549,-0.6560669,0.0625,-1.328125,-0.109375
136,0.6281738,-0.25738525,-0.64923096,0.40625,-0.984375,-0.203125
137,0.63720703,-0.24615479,-0.64801025,0.375,-0.109375,-0.03125
138,0.6269531,-0.24713135,-0.64312744,0.453125,1.578125,-0.265625
139,0.62353516,-0.24542236,-0.6609497,0.703125,3.078125,-0.078125
140,0.62280273,-0.24591064,-0.6675415,0.828125,2.484375,0.1875
141,0.6291504,-0.24884033,-0.68096924,0.09375,0.15625,-0.21875
142,0.61865234,-0.2444458,-0.65631104,0.0625,0.125,-0.390625
143,0.6213379,-0.24468994,-0.6748657,-0.3125,-0.8125,-0.359375
144,0.62597656,-0.24517822,-0.6734009,-1.84375,-2.921875,-1.421875
145,0.6254883,-0.25616455,-0.65289307,-2.140625,-2.796875,-1.453125
146,0.62402344,-0.2576294,-0.65216064,-2.21875,-3.859375,-1.015625
147,0.62890625,-0.26275635,-0.64190674,-1.0625,-3.96875,-0.375
148,0.63012695,-0.26763916,-0.6309204,0.609375,-0.375,0.15625
149,0.6308594,-0.26348877,-0.6514282,1.125,0.703125,0.265625
150,0.65063477,-0.25616455,-0.6777954,0.171875,0.296875,-0.28125
151,0.61743164,-0.25689697,-0.64971924,-0.328125,-1.65625,-0.234375
152,0.63427734,-0.2642212,-0.6326294,0.59375,0.09375,-0.03125
153,0.6340332,-0.26348877,-0.6577759,0.234375,1.21875,-0.46875
154,0.6311035,-0.26446533,-0.6477661,0.46875,-1.03125,0.0
155,0.62524414,-0.26690674,-0.6460571,0.3125,0.375,-0.15625
156,0.6208496,-0.26715088,-0.65289307,0.59375,0.109375,0.078125
157,0.63183594,-0.2612915,-0.65216064,0.625,-0.078125,-0.046875
158,0.62402344,-0.2600708,-0.66290283,0.65625,0.328125,0.078125
159,0.6254883,-0.26641846,-0.6548462,-0.453125,-0.921875,-0.28125
160,0.63427734,-0.27349854,-0.6482544,0.109375,0.328125,-0.234375
161,0.62597656,-0.25909424,-0.64971924,0.296875,0.015625,-0.25
162,0.6308594,-0.2678833,-0.6565552,0.515625,-0.28125,-0.34375
163,0.62597656,-0.26617432,-0.66070557,0.671875,0.578125,-0.390625
164,0.62353516,-0.25811768,-0.64556885,1.09375,0.09375,0.046875
165,0.6328125,-0.26812744,-0.6602173,1.171875,0.5,0.359375
166,0.6254883,-0.26397705,-0.6589966,1.0,0.78125,0.0625
167,0.6196289,-0.26568604,-0.6658325,0.609375,-0.578125,0.15625
168,0.62109375,-0.269104,-0.66485596,-0.0625,-1.703125,-0.0625
169,0.625,-0.26715088,-0.66485596,-0.65625,-2.453125,-0.34375
170,0.6208496,-0.27349854,-0.64068604,0.359375,-0.90625,-0.1875
171,0.6308594,-0.269104,-0.65582275,1.78125,0.046875,0.828125
172,0.6279297,-0.26470947,-0.65338135,1.8125,0.578125,0.609375
173,0.62597656,-0.2642212,-0.6506958,1.203125,1.109375,0.390625
174,0.6184082,-0.25958252,-0.6553345,1.203125,1.375,0.25
175,0.6245117,-0.26397705,-0.66607666,1.0625,2.109375,0.140625
176,0.6237793,-0.25982666,-0.6682739,0.78125,-0.203125,0.171875
177,0.6230469,-0.26104736,-0.6758423,0.984375,-1.0,0.265625
