sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.18530273,-0.94073486,-0.17755127,-0.578125,0.015625,0.6875
1,0.19799805,-0.9402466,-0.17852783,-1.921875,-0.953125,0.109375
2,0.19433594,-0.9439087,-0.1651001,-0.703125,-0.40625,0.15625
3,0.19384766,-0.93829346,-0.17584229,-0.34375,0.03125,0.328125
4,0.19604492,-0.9390259,-0.17315674,-1.0,-0.34375,0.0625
5,0.19506836,-0.95196533,-0.16729736,-0.65625,-0.59375,0.34375
6,0.19140625,-0.9385376,-0.16680908,0.296875,0.0625,0.375
7,0.19311523,-0.9475708,-0.17437744,0.796875,0.34375,0.71875
8,0.19262695,-0.94317627,-0.16900635,0.0,-0.171875,0.625
9,0.19311523,-0.94415283,-0.17266846,1.0625,0.375,0.359375
10,0.18969727,-0.94317627,-0.17828369,0.59375,0.359375,0.703125
11,0.19628906,-0.9463501,-0.17681885,-0.0625,-0.125,0.421875
12,0.19262695,-0.9360962,-0.1807251,-0.84375,-0.328125,0.53125
13,0.1875,-0.94366455,-0.17218018,-1.0625,-0.53125,0.3125
14,0.19213867,-0.9417114,-0.17510986,-1.203125,-0.515625,0.390625
15,0.19067383,-0.9360962,-0.17510986,-1.375,-0.71875,0.34375
16,0.19824219,-0.94244385,-0.16973877,-0.6875,-0.40625,0.734375
17,0.19702148,-0.940979,-0.17047119,-2.1875,-0.53125,0.109375
18,0.1887207,-0.9429321,-0.16119385,0.65625,-0.3125,0.890625
19,0.19433594,-0.94244385,-0.17779541,0.6875,0.75,0.640625
20,0.19042969,-0.9373169,-0.17315674,-1.25,-0.5625,0.109375
21,0.1953125,-0.9463501,-0.16851807,0.953125,0.453125,0.328125
22,0.19702148,-0.9500122,-0.17462158,-0.375,0.0625,0.578125
23,0.1953125,-0.93707275,-0.16778564,-0.515625,-0.125,0.375
24,0.19189453,-0.9421997,-0.17510986,-0.53125,0.046875,0.265625
25,0.19360352,-0.9439087,-0.17340088,-1.375,-0.4375,0.21875
26,0.19897461,-0.9414673,-0.16998291,-1.75,-0.671875,0.15625
27,0.19384766,-0.942688,-0.16314697,-1.765625,-1.1875,0.171875
28,0.19384766,-0.9495239,-0.15997314,-0.84375,-0.453125,0.265625
29,0.19335938,-0.94415283,-0.17144775,-0.09375,0.015625,0.578125
30,0.19189453,-0.9451294,-0.1663208,-1.09375,-0.265625,0.359375
31,0.19628906,-0.94610596,-0.15875244,0.328125,0.546875,0.453125
32,0.19506836,-0.94854736,-0.16925049,0.0625,0.53125,0.328125
33,0.19189453,-0.942688,-0.15899658,-0.421875,-0.078125,0.09375
34,0.19360352,-0.9475708,-0.16534424,-0.140625,-0.171875,0.40625
