sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.8474121,0.007507324,0.49261475,-3.015625,2.53125,0.859375
1,0.83740234,0.01727295,0.4953003,-0.203125,0.546875,0.390625
2,0.84765625,0.016784668,0.51678467,1.125,-2.78125,-0.140625
3,0.84716797,0.008483887,0.508728,-1.15625,0.015625,0.0
4,0.8469238,-0.0025024414,0.5180054,-0.5,1.078125,0.328125
5,0.8598633,-0.0049438477,0.55389404,2.453125,-1.75,-0.703125
6,0.8535156,0.0053100586,0.51556396,-1.28125,-0.4375,0.5625
7,0.84399414,0.015075684,0.5006714,-3.328125,1.234375,0.546875
8,0.842041,0.019470215,0.50408936,-0.71875,-1.09375,0.09375
9,0.8408203,0.013366699,0.5114136,-0.453125,-1.328125,-0.53125
10,0.85717773,0.0060424805,0.52752686,-1.078125,-0.796875,-0.3125
11,0.85058594,0.010925293,0.5216675,0.625,-0.296875,-0.609375
12,0.8469238,0.023376465,0.5126343,0.34375,-0.546875,0.421875
13,0.8503418,0.00018310547,0.5165405,-0.046875,-0.0625,0.53125
14,0.845459,0.011413574,0.5199585,-0.84375,-0.140625,-0.15625
15,0.83569336,0.012390137,0.5079956,0.15625,-0.296875,0.03125
16,0.83813477,0.015808105,0.50213623,0.140625,-0.59375,0.296875
17,0.84228516,0.0048217773,0.52142334,0.3125,-0.953125,-0.34375
18,0.8666992,-0.010070801,0.5446167,1.421875,-1.796875,-0.90625
19,0.86206055,0.006286621,0.5265503,0.671875,-0.25,0.03125
20,0.83496094,0.012390137,0.5084839,-2.625,1.171875,0.671875
21,0.8352051,0.01751709,0.51434326,-0.546875,-0.375,-0.234375
22,0.8378906,0.011169434,0.5097046,0.109375,-1.546875,-0.234375
23,0.85180664,0.008239746,0.512146,-0.90625,0.125,0.046875
24,0.84814453,0.0060424805,0.5097046,-0.703125,-0.796875,0.0
25,0.8510742,0.00970459,0.5338745,1.328125,-1.765625,0.3125
26,0.8691406,0.00018310547,0.539978,2.4375,-0.328125,0.484375
27,0.85961914,-6.1035156e-05,0.5140991,-0.625,0.09375,0.421875
28,0.8388672,0.011657715,0.5084839,-2.0625,0.40625,0.421875
29,0.8312988,0.015808105,0.51116943,-0.703125,-0.265625,0.0
30,0.83862305,0.008239746,0.5150757,0.328125,-1.09375,-0.09375
31,0.8449707,0.0036010742,0.51116943,0.125,0.03125,-0.03125
32,0.8532715,-0.00079345703,0.5302124,-0.515625,-0.40625,-0.140625
33,0.86694336,0.007751465,0.5360718,1.0,-0.78125,-0.421875
34,0.85717773,0.0079956055,0.5153198,-2.03125,0.0625,0.15625
35,0.84472656,0.010192871,0.5180054,-1.5625,0.546875,0.265625
36,0.8498535,0.0211792,0.5114136,0.0,-1.4375,0.1875
37,0.8457031,0.020446777,0.5014038,-0.03125,-0.71875,0.171875
38,0.84643555,0.008483887,0.496521,-2.84375,-0.484375,0.0
39,0.8535156,0.011169434,0.53948975,1.15625,-0.984375,-0.890625
40,0.87231445,0.0045776367,0.54119873,2.0625,-0.71875,-0.546875
41,0.83935547,0.0036010742,0.49749756,-2.578125,1.421875,0.671875
42,0.83813477,0.012634277,0.4977417,-2.109375,-0.71875,0.4375
43,0.84033203,0.013366699,0.5109253,0.703125,-1.484375,-0.3125
44,0.85546875,0.009216309,0.51727295,-0.734375,0.40625,-0.015625
45,0.8383789,0.0099487305,0.5219116,-1.046875,1.015625,-0.015625
46,0.85253906,0.009460449,0.51434326,0.09375,0.375,-0.375
47,0.8598633,0.0053100586,0.53826904,1.359375,-0.1875,-0.546875
48,0.8522949,0.009216309,0.52093506,-0.015625,-0.0625,0.484375
49,0.8508301,0.014831543,0.4928589,-2.203125,0.625,0.3125
50,0.8383789,0.016784668,0.49749756,-1.5625,-0.734375,-0.09375
51,0.87109375,0.006286621,0.524353,-0.171875,-0.40625,-0.578125
