sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.37231445,-0.93634033,0.15740967,-1.90625,4.734375,-1.640625
1,-0.30151367,-0.94122314,0.15130615,5.484375,1.984375,-0.46875
2,-0.31420898,-0.99053955,0.13153076,-1.015625,0.5625,2.140625
3,-0.25756836,-0.91778564,0.14007568,3.28125,3.78125,2.78125
4,-0.35058594,-0.9319458,0.19378662,-2.359375,0.40625,-1.828125
5,-0.4243164,-0.9541626,0.21282959,0.515625,1.96875,3.234375
6,-0.3034668,-0.954895,0.1564331,-0.375,0.265625,-0.25
7,-0.26733398,-0.9585571,0.2111206,-2.09375,0.609375,-2.890625
8,-0.3256836,-0.91412354,0.2531128,-2.984375,-4.75,-4.0
9,-0.2680664,-0.92633057,0.09832764,-1.84375,-10.984375,-5.625
10,-0.35961914,-1.08844,0.10296631,8.9375,-2.0,-3.625
11,-0.27124023,-0.9487915,0.19256592,23.578125,-6.21875,8.375
12,-0.27978516,-0.75909424,0.013366699,5.546875,10.828125,17.0625
13,-0.36254883,-0.9607544,0.33221436,-5.046875,7.84375,4.796875
14,-0.3100586,-1.0181274,-0.014953613,3.609375,7.953125,-0.9375
15,-0.17944336,-1.0647583,0.2723999,12.875,5.90625,7.546875
16,-0.29907227,-0.9385376,0.11419678,1.6875,10.671875,6.171875
17,-0.24902344,-0.9717407,0.19573975,8.71875,-0.296875,2.0625
18,-0.23803711,-0.95684814,0.18865967,-12.484375,3.6875,2.484375
19,-0.26293945,-0.9624634,0.13153076,-1.671875,-2.1875,1.953125
20,-0.28759766,-0.9898071,0.10321045,-4.34375,2.078125,0.9375
21,-0.16723633,-0.9776001,0.14910889,-4.40625,-4.4375,0.0
22,-0.21411133,-0.9661255,0.09906006,-3.734375,0.609375,0.109375
23,-0.28515625,-0.93878174,0.15887451,-3.421875,3.65625,-0.328125
24,-0.27319336,-1.0530396,0.09539795,5.703125,1.71875,6.90625
25,-0.21899414,-0.98565674,0.24407959,-12.046875,4.515625,-3.9375
26,-0.23095703,-0.94195557,0.15496826,5.5,-3.265625,1.578125
27,-0.31396484,-0.9487915,0.15789795,-5.40625,0.171875,2.234375
28,-0.33032227,-0.96417236,0.15765381,-2.484375,-1.0,-0.265625
29,-0.16308594,-0.9673462,0.17132568,-1.453125,-0.25,0.8125
30,-0.34814453,-0.9668579,0.13153076,-4.328125,-3.171875,-1.890625
31,-0.3310547,-0.97857666,0.15570068,-2.953125,-1.796875,-5.203125
32,-0.119140625,-0.9741821,0.08026123,9.046875,6.3125,1.265625
33,-0.31835938,-0.9126587,0.2543335,7.546875,-3.890625,-4.96875
34,-0.3737793,-0.9089966,0.050476074,9.484375,-3.78125,2.40625
35,-0.22924805,-1.0464478,0.1005249,2.34375,-4.296875,-2.890625
36,-0.3005371,-0.86187744,-0.01739502,3.171875,2.1875,8.84375
37,-0.26879883,-0.8831177,0.24407959,-8.3125,0.984375,4.71875
38,-0.29003906,-1.083313,0.0018920898,-13.234375,8.4375,-7.1875
39,-0.27539062,-1.048645,0.17010498,12.28125,3.0,6.484375
40,-0.34716797,-0.9036255,0.11932373,15.125,2.21875,3.640625
41,-0.28881836,-0.94537354,0.090270996,0.75,3.03125,-0.546875
42,-0.23144531,-0.99664307,0.124938965,2.703125,4.03125,-1.34375
43,-0.31713867,-0.94903564,0.07659912,0.359375,5.109375,0.15625
44,-0.31201172,-0.9963989,0.07537842,-3.453125,0.875,-1.171875
45,-0.26538086,-0.991272,0.11175537,-5.640625,1.96875,-1.84375
46,-0.25927734,-0.9517212,0.10076904,-3.0,1.078125,-0.328125
47,-0.32641602,-0.9434204,0.10760498,-4.625,1.1875,-1.375
48,-0.26831055,-0.9421997,0.097351074,-8.125,-1.546875,0.328125
49,-0.30419922,-0.99468994,0.17279053,-1.078125,-3.09375,1.453125
50,-0.28515625,-0.9390259,0.07269287,-2.0,-0.921875,0.234375
51,-0.30371094,-0.98443604,0.14764404,0.0625,0.171875,-1.09375
52,-0.31884766,-0.91851807,0.18572998,7.640625,-5.53125,0.1875
53,-0.26953125,-1.0576782,-0.0178833,-1.90625,9.0625,-1.984375
54,-0.33813477,-0.9360962,0.1408081,14.078125,-6.125,0.421875
55,-0.25708008,-0.9841919,-0.01763916,-6.65625,2.921875,1.421875
56,-0.27441406,-0.9429321,0.21453857,2.359375,-10.5625,-1.65625
57,-0.27368164,-0.88726807,0.058776855,-22.734375,1.03125,6.90625
58,-0.265625,-0.9793091,0.1071167,-10.375,4.75,-6.625
59,-0.32836914,-1.0169067,0.2033081,-3.390625,1.171875,0.890625
60,-0.24560547,-1.0059204,0.12249756,2.828125,-3.0,1.53125
61,-0.2841797,-0.9324341,0.15814209,1.84375,-0.71875,-0.984375
62,-0.29663086,-0.91534424,0.031921387,0.65625,-0.078125,3.828125
63,-0.23046875,-0.9668579,0.1930542,-4.578125,0.984375,-3.09375
64,-0.28833008,-0.97906494,0.07757568,-4.6875,3.65625,-1.234375
65,-0.30908203,-0.9768677,0.20233154,-9.28125,1.890625,-2.203125
66,-0.28198242,-0.9561157,0.13543701,1.28125,1.328125,-1.28125
67,-0.28808594,-0.96343994,0.15228271,-3.875,2.34375,-0.234375
68,-0.2919922,-0.95977783,0.14642334,-2.3125,4.6875,0.3125
69,-0.27392578,-0.97052,0.15911865,-1.9375,2.359375,1.46875
