sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.21191406,-0.9553833,0.26531982,-0.78125,-0.078125,0.125
1,-0.21191406,-0.9492798,0.27972412,-0.609375,0.125,0.65625
2,-0.20727539,-0.9378052,0.26068115,-0.484375,0.125,0.359375
3,-0.21923828,-0.9343872,0.24456787,0.21875,-0.71875,0.265625
4,-0.23071289,-0.9561157,0.2597046,-0.1875,-1.234375,0.0625
5,-0.2319336,-0.95513916,0.25506592,-1.109375,-2.640625,-0.75
6,-0.22265625,-0.9541626,0.27703857,-1.453125,-2.0625,-0.890625
7,-0.22363281,-0.9607544,0.26263428,-1.421875,-0.15625,-0.484375
8,-0.22583008,-0.9458618,0.28411865,0.265625,0.640625,0.1875
9,-0.22851562,-0.9439087,0.27020264,0.796875,0.875,0.59375
10,-0.22387695,-0.9524536,0.28851318,2.09375,0.671875,0.984375
11,-0.234375,-0.96588135,0.27044678,0.53125,0.140625,0.578125
12,-0.2355957,-0.972229,0.2597046,-1.28125,0.171875,-0.109375
13,-0.24047852,-0.9573364,0.2567749,-2.046875,0.546875,-0.125
14,-0.22802734,-0.93096924,0.2597046,-1.140625,0.96875,0.609375
15,-0.22851562,-0.9295044,0.27215576,1.046875,1.265625,1.296875
16,-0.22436523,-0.9573364,0.27752686,1.640625,0.734375,0.734375
17,-0.22192383,-0.98101807,0.27093506,0.671875,0.234375,0.78125
18,-0.22387695,-0.9668579,0.26287842,-0.9375,-0.140625,0.109375
19,-0.24023438,-0.94854736,0.2514038,-1.671875,0.234375,-0.34375
20,-0.2355957,-0.9446411,0.26239014,-1.046875,0.78125,0.03125
21,-0.22509766,-0.940979,0.24822998,-0.046875,2.5625,0.359375
22,-0.2211914,-0.9524536,0.27215576,1.296875,1.296875,0.78125
23,-0.2199707,-0.9768677,0.2592163,-0.234375,0.796875,0.21875
24,-0.21142578,-0.95269775,0.2736206,0.140625,1.0,0.34375
25,-0.23657227,-0.9529419,0.2597046,-0.703125,0.125,-0.171875
26,-0.23779297,-0.958313,0.2514038,-1.28125,0.4375,-0.703125
27,-0.23632812,-0.9534302,0.2514038,-0.34375,1.453125,0.4375
28,-0.22485352,-0.9612427,0.25701904,0.0625,1.953125,1.09375
29,-0.22094727,-0.9668579,0.25457764,-1.390625,0.890625,0.484375
30,-0.20922852,-0.94659424,0.26019287,-0.734375,1.140625,0.359375
31,-0.22363281,-0.9360962,0.2597046,-0.265625,-0.015625,-0.421875
32,-0.23510742,-0.9397583,0.26776123,0.828125,0.671875,0.28125
33,-0.22583008,-0.9727173,0.26971436,0.359375,1.828125,1.453125
34,-0.21191406,-0.9780884,0.2682495,-0.671875,1.5625,1.421875
35,-0.22143555,-0.9607544,0.25482178,-1.953125,0.6875,0.875
36,-0.22802734,-0.9483032,0.27630615,-3.046875,-2.421875,0.1875
37,-0.2512207,-1.0498657,0.22747803,-8.953125,-8.296875,-1.34375
38,-0.22558594,-1.0154419,0.21917725,4.1875,0.46875,4.828125
39,-0.21020508,-0.8596802,0.215271,8.34375,3.84375,7.203125
40,-0.24951172,-0.9690552,0.26898193,-0.796875,-0.203125,3.796875
41,-0.21508789,-0.8809204,0.25042725,-7.4375,5.9375,2.078125
42,-0.18652344,-0.8748169,0.2243042,-12.1875,8.328125,0.40625
43,-0.20996094,-0.96588135,0.27923584,-3.796875,4.640625,-0.890625
44,-0.22802734,-1.0320435,0.309021,-1.796875,-0.546875,-1.875
45,-0.18481445,-1.0025024,0.24578857,2.59375,0.5,2.875
46,-0.1887207,-0.9829712,0.30755615,2.40625,1.765625,0.84375
47,-0.2211914,-0.9248657,0.32806396,-3.75,3.375,0.84375
48,-0.21704102,-0.892395,0.28851318,-8.0,3.765625,-0.125
49,-0.18774414,-0.9212036,0.3270874,-3.390625,2.078125,-1.015625
50,-0.24560547,-0.9578247,0.25994873,2.078125,-0.140625,-0.640625
51,-0.19213867,-0.9898071,0.30828857,1.90625,2.453125,0.75
52,-0.19262695,-0.9788208,0.3078003,-0.171875,1.859375,2.375
53,-0.1899414,-0.9512329,0.29071045,1.0625,0.90625,1.84375
54,-0.19824219,-0.92266846,0.27313232,0.765625,0.203125,1.9375
55,-0.2109375,-0.91973877,0.29119873,0.921875,0.546875,1.484375
56,-0.20410156,-0.958313,0.28240967,0.828125,1.609375,1.0625
57,-0.19555664,-0.9697876,0.29681396,0.515625,1.90625,0.90625
58,-0.19335938,-0.9656372,0.27703857,0.3125,1.265625,0.859375
59,-0.19238281,-0.9421997,0.2831421,0.765625,2.109375,0.328125
60,-0.20141602,-0.93170166,0.2699585,1.890625,0.25,-1.0625
61,-0.1953125,-0.9417114,0.23968506,0.875,1.28125,-2.0625
62,-0.17480469,-0.9668579,0.2345581,0.296875,3.078125,-3.4375
63,-0.20678711,-0.97491455,0.2741089,1.796875,2.390625,-3.4375
64,-0.23486328,-0.99664307,0.32635498,2.421875,0.453125,-1.53125
65,-0.23608398,-1.003479,0.3234253,-3.625,1.015625,-1.546875
66,-0.203125,-0.94781494,0.30511475,-3.90625,0.265625,-2.15625
67,-0.2097168,-0.9302368,0.293396,-0.953125,-1.15625,-1.90625
68,-0.22216797,-0.94903564,0.28948975,0.125,-0.875,-0.890625
69,-0.21899414,-0.95196533,0.26971436,-0.984375,-1.046875,-0.640625
70,-0.20800781,-0.9541626,0.2597046,-0.1875,-0.21875,-0.140625
71,-0.2109375,-0.9692993,0.26361084,0.015625,-0.546875,0.40625
72,-0.20483398,-0.9500122,0.25457764,-0.109375,-0.421875,0.296875
73,-0.21826172,-0.94317627,0.24188232,0.8125,-1.78125,0.65625
74,-0.22851562,-0.93707275,0.24505615,-0.125,-2.65625,-0.5
75,-0.22949219,-0.93756104,0.26141357,0.828125,-2.3125,-0.09375
76,-0.2368164,-0.9661255,0.27508545,-0.671875,-3.171875,-0.8125
77,-0.22167969,-0.95758057,0.276062,-2.890625,-2.84375,-0.375
78,-0.23510742,-0.96588135,0.2675171,-2.4375,-1.078125,-0.375
79,-0.22851562,-0.95562744,0.2826538,-2.9375,-0.390625,-0.484375
80,-0.22924805,-0.95098877,0.28167725,-2.359375,-0.25,-0.265625
81,-0.23364258,-0.94317627,0.2904663,-2.0,-0.265625,-0.109375
82,-0.24121094,-0.93927,0.2814331,-1.75,0.203125,0.21875
83,-0.2487793,-0.94976807,0.2897339,-1.015625,0.0,0.265625
84,-0.23852539,-0.9402466,0.2855835,-0.1875,0.65625,0.390625
85,-0.24707031,-0.9492798,0.28216553,-0.5625,1.0,0.390625
86,-0.24658203,-0.9524536,0.2789917,-0.5625,0.921875,0.3125
87,-0.2331543,-0.9429321,0.27703857,-0.375,0.765625,0.609375
88,-0.24121094,-0.9470825,0.2753296,-0.3125,0.78125,0.71875
89,-0.24145508,-0.9475708,0.2687378,-0.71875,1.171875,0.734375
90,-0.234375,-0.94976807,0.27972412,-0.578125,1.0625,0.703125
91,-0.234375,-0.9470825,0.27752686,0.0625,0.46875,0.4375
92,-0.2290039,-0.94317627,0.27874756,0.328125,1.78125,0.109375
93,-0.23168945,-0.95025635,0.2999878,0.265625,0.5625,0.421875
94,-0.23291016,-0.9561157,0.26971436,-1.03125,1.671875,1.0
95,-0.22851562,-0.95318604,0.28656006,-0.25,1.734375,0.828125
96,-0.23461914,-0.95391846,0.28070068,-1.046875,0.515625,0.578125
97,-0.23413086,-0.9578247,0.28826904,-1.640625,0.734375,0.359375
98,-0.2253418,-0.9463501,0.29266357,-1.28125,0.65625,-0.140625
99,-0.23803711,-0.9529419,0.27630615,-2.046875,1.21875,0.34375
100,-0.29370117,-0.9336548,0.28167725,0.90625,0.5625,1.71875
101,-0.30517578,-0.960022,0.27825928,-1.671875,1.328125,1.78125
102,-0.22705078,-0.94854736,0.27630615,-4.25,3.578125,-0.296875
103,-0.1694336,-0.93218994,0.28631592,-3.84375,2.171875,-1.921875
104,-0.1694336,-0.9368286,0.29266357,-1.6875,-0.578125,-0.53125
105,-0.19067383,-0.9507446,0.31756592,-1.296875,-3.09375,-1.171875
106,-0.21728516,-0.9536743,0.3102417,-1.109375,-3.390625,-0.65625
107,-0.22924805,-0.9475708,0.33099365,-3.046875,-2.609375,0.21875
108,-0.22265625,-0.95513916,0.32904053,-2.109375,-0.3125,-0.09375
109,-0.25024414,-0.9649048,0.35125732,-1.546875,0.78125,-1.296875
110,-0.22973633,-0.96539307,0.3131714,-1.359375,3.359375,-0.5
111,-0.21777344,-0.9109497,0.27996826,1.75,4.84375,1.609375
112,-0.27172852,-0.8977661,0.26605225,3.984375,6.1875,4.0
