sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.20214844,-0.8892211999999999,-0.31036377,-0.71875,1.609375,0.046875
1,0.2211913999999999,-0.8706665000000001,-0.31134033,-0.484375,1.34375,-0.1875
2,0.22021484,-0.86602783,-0.3118285999999999,-0.265625,1.359375,-0.3125
3,0.25830078,-0.90802,-0.36676025,-5.796875,6.578125,0.78125
4,0.25854492,-0.90753174,-0.36627197,-6.140625,6.734375,0.71875
5,0.2331542999999999,-0.8936156999999999,-0.3496704,-3.9375,18.953125,-2.671875
6,0.22998047,-0.8911743000000001,-0.35162354,-3.515625,18.875,-2.703125
7,0.16821289,-0.86798096,-0.31744385,6.0,6.4375,-2.421875
8,0.16479492,-0.8652953999999999,-0.31427002,6.125,6.203125,-2.390625
9,0.1730957,-0.8701781999999999,-0.2822875999999999,7.203125,1.125,-1.234375
10,0.1772461,-0.87384033,-0.2805785999999999,7.203125,1.078125,-1.203125
11,0.16479492,-0.8870239,-0.28277588,1.671875,1.328125,-0.515625
12,0.16430664,-0.88067627,-0.28131104,1.53125,1.46875,-0.5
13,0.13232422,-0.84991455,-0.34136963,2.296875,-1.1875,0.328125
14,0.13330078,-0.85162354,-0.34283447,2.34375,-1.296875,0.296875
15,0.20654297,-0.88897705,-0.3567505,1.421875,-0.0625,0.671875
16,0.20874023,-0.8941040000000001,-0.35455322,1.359375,0.171875,0.671875
17,0.19384766,-0.90167236,-0.3633422999999999,0.53125,3.9375,1.75
18,0.19213867,-0.8989868000000001,-0.36505127,0.46875,3.90625,1.640625
19,0.23803711,-0.8621216,-0.33843994,2.921875,7.515625,2.1875
20,0.24145508,-0.8628540000000001,-0.34136963,3.0,7.484375,2.140625
21,0.18823242,-0.8657836999999999,-0.3718872,3.21875,5.078125,0.328125
22,0.18310547,-0.8621216,-0.3682250999999999,3.203125,5.0,0.265625
23,0.1315917999999999,-0.8792114,-0.32867432,4.171875,-1.828125,-0.859375
24,0.12817383,-0.87701416,-0.3279419,4.203125,-1.890625,-0.90625
25,0.19213867,-0.8743286,-0.35968018,-2.28125,-2.21875,0.453125
26,0.19311523,-0.8723755,-0.35992432,-2.53125,-2.078125,0.515625
27,0.26171875,-0.84820557,-0.40167236,1.359375,7.65625,0.46875
28,0.25830078,-0.8447876,-0.40020752,1.625,7.859375,0.625
29,0.15649414,-0.8711548000000001,-0.38726807,8.1875,-0.1875,-1.671875
30,0.15258789,-0.86968994,-0.38702393,8.09375,-0.265625,-1.734375
31,0.14379883,-0.8897094999999999,-0.34454346,2.15625,-2.484375,-1.109375
32,0.1484375,-0.88653564,-0.34674072,2.046875,-2.5,-1.1875
33,0.1796875,-0.84576416,-0.38116455,-2.890625,-1.265625,-1.59375
34,0.1809082,-0.8479614,-0.3789672999999999,-2.796875,-1.09375,-1.546875
35,0.19677734,-0.84625244,-0.38238525,-0.890625,-1.484375,-1.578125
36,0.19116211,-0.84503174,-0.3809204,-0.921875,-1.609375,-1.53125
37,0.14941406,-0.8753052,-0.35968018,-1.203125,-5.203125,-1.78125
38,0.14575195,-0.87677,-0.35577393,-1.296875,-5.296875,-1.65625
39,0.14379883,-0.87042236,-0.3657837,-6.8125,-11.609375,-2.09375
40,0.14404297,-0.87091064,-0.36065674,-6.875,-11.640625,-2.125
41,0.19360352,-0.8508911,-0.35040283,-7.109375,-8.984375,-1.546875
42,0.19702148,-0.8543091,-0.34918213,-7.09375,-8.90625,-1.53125
43,0.20043945,-0.8818969999999999,-0.33184814,-4.421875,-8.609375,0.609375
44,0.20117188,-0.88067627,-0.32818604,-4.375,-8.5625,0.625
45,0.20483398,-0.8875122,-0.34405518,-2.796875,-5.921875,1.421875
46,0.2019042999999999,-0.8862915000000001,-0.34747314,-2.828125,-5.765625,1.453125
47,0.22314453,-0.8970336999999999,-0.34259033,-3.96875,-4.5625,0.28125
48,0.2199707,-0.90167236,-0.34136963,-3.96875,-4.46875,0.15625
49,0.23754883,-0.8777466,-0.3423462,-4.765625,-1.953125,1.328125
50,0.23779297,-0.8818969999999999,-0.3406372,-4.6875,-1.875,1.46875
51,0.22436523,-0.8616333,-0.32989502,-2.875,0.171875,1.09375
52,0.22192383,-0.86065674,-0.331604,-2.796875,0.265625,1.125
53,0.22192383,-0.88848877,-0.32940674,-1.953125,0.375,0.578125
54,0.21948242,-0.8831177,-0.3291625999999999,-1.984375,0.3125,0.734375
55,0.23022461,-0.87945557,-0.3406372,-2.359375,-0.28125,0.765625
56,0.2331542999999999,-0.8755493000000001,-0.3399047999999999,-2.359375,-0.21875,0.8125
57,0.22998047,-0.86187744,-0.33062744,0.015625,-0.015625,-0.28125
58,0.2319336,-0.8623656999999999,-0.32989502,0.046875,0.09375,-0.234375
59,0.21240234,-0.87457275,-0.31378174,0.6875,0.109375,-0.59375
60,0.21411133,-0.8753052,-0.31207275,0.671875,0.125,-0.671875
61,0.20800781,-0.8838501,-0.3262329,-1.015625,0.875,-0.21875
62,0.2084961,-0.8814086999999999,-0.32476807,-1.109375,0.90625,-0.078125
63,0.21557617,-0.8755493000000001,-0.32818604,-0.3125,0.5625,-0.328125
64,0.21435547,-0.87457275,-0.33062744,-0.328125,0.484375,-0.5
65,0.2277832,-0.8779906999999999,-0.3411255,-1.15625,0.4375,-1.09375
66,0.23120117,-0.88238525,-0.3418579,-1.1875,0.53125,-1.203125
67,0.21582031,-0.8701781999999999,-0.34136963,-0.390625,2.09375,-1.046875
68,0.21655273,-0.87701416,-0.34088135,-0.375,2.09375,-1.046875
69,0.21728516,-0.88653564,-0.347229,-1.046875,3.1875,-1.328125
70,0.2163086,-0.88287354,-0.34991455,-1.109375,3.25,-1.25
71,0.26123047,-0.8987427,-0.35943604,-5.203125,8.90625,-2.0625
72,0.25585938,-0.90460205,-0.35723877,-5.328125,9.1875,-2.078125
73,0.28125,-0.8892211999999999,-0.3887329,-0.59375,19.5,-2.984375
74,0.28393555,-0.88897705,-0.3850708,-0.59375,19.59375,-3.078125
75,0.18017578,-0.8916626,-0.31988525,9.953125,9.65625,-2.875
76,0.17626953,-0.8880005,-0.31402588,10.21875,9.34375,-2.765625
77,0.1081543,-0.8323364,-0.2786255,7.46875,1.828125,0.21875
78,0.10961914,-0.8308716,-0.2805785999999999,7.328125,1.75,0.328125
79,0.1381836,-0.8428344999999999,-0.3279419,-0.921875,3.9375,-1.15625
80,0.14257812,-0.84039307,-0.33502197,-1.0,4.078125,-1.140625
81,0.23046875,-0.8975219999999999,-0.42486572,4.734375,14.640625,1.984375
82,0.22827148,-0.8994751,-0.42242432,4.859375,14.953125,1.875
83,0.10864258,-0.8726195999999999,-0.3447875999999999,10.734375,4.765625,-0.359375
84,0.10498047,-0.87042236,-0.3430785999999999,10.6875,4.390625,-0.46875
85,0.14135742,-0.8501586999999999,-0.3423462,1.03125,-2.5,0.96875
86,0.1430664,-0.8526001,-0.34039307,1.03125,-2.40625,1.0625
87,0.22558594,-0.8779906999999999,-0.43511963,2.5,12.609375,1.015625
88,0.22729492,-0.8838501,-0.43023682,2.828125,12.9375,0.96875
89,0.1472167999999999,-0.8887328999999999,-0.38702393,11.09375,8.078125,-3.265625
90,0.14111328,-0.8843384,-0.3887329,10.96875,7.796875,-3.40625
91,0.080566406,-0.833313,-0.3225708,2.125,-2.875,-0.203125
92,0.08105469,-0.83062744,-0.32843018,2.0,-3.046875,-0.125
93,0.1616211,-0.815979,-0.41900635,-0.53125,-0.234375,0.5625
94,0.16601562,-0.8189086999999999,-0.4204712,-0.453125,-0.015625,0.53125
95,0.17456055,-0.8579711999999999,-0.49835205,4.734375,3.203125,-0.15625
