sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.6220703,0.0038452148,0.85736084,0.34375,0.53125,1.421875
1,0.62060547,0.0021362305,0.869812,0.875,0.65625,1.65625
2,0.61499023,-0.007385254,0.8590698,0.96875,0.375,1.140625
3,0.6262207,-0.0022583008,0.8654175,0.734375,0.484375,1.140625
4,0.62719727,0.003112793,0.86151123,0.625,0.03125,1.046875
5,0.6237793,-0.002746582,0.8607788,0.53125,-0.53125,1.078125
6,0.62158203,0.0014038086,0.85736084,0.5,0.0,0.96875
7,0.62158203,0.015808105,0.86395264,0.703125,0.0,1.1875
8,0.6218262,0.0028686523,0.8588257,1.140625,0.140625,1.40625
9,0.62646484,-0.012023926,0.8695679,0.625,0.28125,1.40625
10,0.6135254,-0.003967285,0.8637085,0.046875,1.015625,2.171875
11,0.61499023,0.005554199,0.8517456,-0.125,1.84375,1.71875
12,0.6191406,0.00579834,0.8444214,0.203125,1.6875,0.8125
13,0.6477051,0.00970459,0.85198975,0.328125,1.09375,0.453125
14,0.64868164,0.0028686523,0.8583374,0.109375,-0.171875,0.171875
15,0.64038086,0.0079956055,0.84661865,0.5625,-0.859375,0.546875
16,0.6286621,0.007019043,0.8546753,0.015625,-0.125,0.828125
17,0.6291504,0.0048217773,0.8383179,0.125,0.3125,0.71875
18,0.6323242,0.012390137,0.8571167,0.03125,0.578125,0.921875
19,0.6335449,0.007751465,0.8546753,0.34375,0.4375,0.984375
20,0.6364746,0.008239746,0.84710693,0.703125,-0.0625,0.984375
21,0.63256836,0.011169434,0.857605,0.875,-0.75,0.859375
22,0.6359863,0.0048217773,0.85614014,0.59375,-0.890625,0.5625
23,0.6286621,0.007751465,0.84783936,0.671875,-1.3125,0.515625
24,0.63500977,-0.0044555664,0.8344116,0.140625,-0.71875,0.59375
25,0.63549805,-0.002746582,0.8629761,0.3125,-0.921875,0.859375
26,0.6188965,0.0021362305,0.8500366,0.09375,-0.859375,0.78125
27,0.6281738,0.004333496,0.8488159,0.53125,-0.859375,0.609375
28,0.62524414,-0.0022583008,0.8624878,0.359375,-0.6875,0.1875
29,0.62768555,0.00018310547,0.85931396,0.296875,-0.46875,0.453125
30,0.6269531,0.0028686523,0.8546753,0.265625,-0.34375,0.390625
31,0.623291,0.005554199,0.855896,0.171875,-0.140625,0.484375
32,0.6225586,0.0006713867,0.8595581,0.046875,0.375,0.484375
33,0.6152344,0.0053100586,0.8602905,0.234375,0.21875,0.78125
34,0.62719727,-0.0010375977,0.85687256,-0.03125,0.59375,0.671875
35,0.62768555,-0.0037231445,0.8563843,0.109375,0.46875,0.65625
36,0.63720703,-0.008850098,0.86053467,0.234375,0.1875,0.609375
37,0.62597656,0.00018310547,0.8590698,0.09375,0.0,0.6875
38,0.63183594,0.010437012,0.8512573,-0.046875,0.078125,0.796875
39,0.62402344,0.0119018555,0.8649292,0.140625,0.359375,0.859375
40,0.6269531,0.008483887,0.8517456,0.15625,0.40625,0.828125
41,0.6335449,0.0016479492,0.8539429,0.421875,0.859375,0.890625
42,0.6333008,-0.00982666,0.8571167,0.015625,0.296875,0.4375
43,0.62890625,0.008239746,0.84832764,-0.296875,0.8125,0.765625
44,0.6298828,0.0079956055,0.84198,0.53125,0.1875,0.71875
45,0.63500977,-0.003479004,0.85614014,0.1875,0.1875,0.703125
46,0.63842773,0.014099121,0.8539429,-0.171875,0.15625,0.703125
47,0.6352539,0.002380371,0.840271,0.0,0.015625,0.921875
48,0.6281738,0.007019043,0.8373413,0.21875,0.0,0.75
49,0.6359863,0.0006713867,0.84954834,0.234375,-0.25,0.6875
50,0.6345215,0.014099121,0.8512573,0.015625,-0.25,0.6875
51,0.63671875,0.0048217773,0.85369873,0.171875,-0.359375,0.78125
