sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.94921875,-0.0126953125,0.13574219,-31.8125,68.21875,89.53125
1,-0.9921875,-0.2705078,0.059570312,13.40625,41.0625,80.625
2,-0.9814453,-0.3388672,0.20800781,61.625,46.625,52.71875
3,-0.75390625,0.0009765625,0.23925781,66.4375,47.40625,36.65625
4,-0.96972656,-0.33007812,0.19042969,3.03125,51.875,24.9375
5,-0.9248047,-0.20410156,0.123046875,4.6875,43.9375,7.125
6,-0.93652344,-0.08105469,0.27246094,11.71875,17.5,9.9375
7,-1.1503906,-0.033203125,0.0048828125,-34.625,44.59375,23.4375
8,-1.5419922,0.07910156,-0.0029296875,-47.5,65.15625,30.5625
9,-1.5839844,-0.020507812,0.051757812,-18.15625,20.5625,16.40625
10,-1.4355469,-0.001953125,0.4111328,14.6875,-46.09375,4.6875
11,-1.1962891,-0.016601562,0.35546875,-81.1875,-115.25,-36.46875
12,-1.3574219,-0.40625,0.20703125,-143.75,-113.40625,-104.375
13,-0.9160156,0.29003906,-0.54003906,-134.78125,-116.15625,-119.53125
14,-1.4277344,-0.2685547,0.63378906,43.5,-95.90625,-112.9375
15,-1.3085938,0.1171875,0.12890625,53.09375,-164.625,-166.75
16,-0.6484375,-0.16210938,0.50097656,35.3125,-121.65625,-132.03125
17,-0.32128906,0.037109375,0.19726562,88.0625,-150.71875,-95.65625
18,-0.11425781,0.040039062,0.28027344,27.625,-75.46875,-19.65625
19,-0.26757812,-0.18359375,0.34375,0.0,-15.9375,5.78125
20,-0.44140625,-0.296875,0.20605469,39.53125,33.3125,20.25
21,-0.60058594,-0.6376953,0.48242188,-60.8125,104.34375,63.28125
22,-2.0,-1.3896484,0.546875,-128.90625,78.15625,-7.28125
23,-0.49902344,-0.20605469,0.2998047,80.4375,74.375,29.90625
24,-1.3183594,-0.020507812,0.42578125,-30.78125,100.3125,67.625
25,-1.1259766,-0.24902344,0.23828125,-2.15625,67.78125,59.0
26,-0.9189453,-0.036132812,0.18261719,7.125,61.09375,66.5
27,-0.9707031,-0.0546875,0.265625,-11.71875,54.71875,75.4375
28,-0.9736328,-0.12988281,-0.001953125,-30.96875,92.5625,88.0
29,-1.0419922,-0.4423828,0.125,68.46875,20.8125,71.53125
30,-0.73535156,-0.001953125,0.27441406,81.84375,46.5625,59.96875
31,-0.8769531,-0.091796875,0.28222656,75.125,40.6875,51.6875
32,-0.8642578,-0.21289062,0.12597656,37.75,36.375,33.5625
33,-0.9482422,-0.30859375,0.24414062,12.375,19.5625,26.15625
34,-1.2021484,-0.11425781,0.059570312,0.90625,52.59375,20.90625
35,-1.4033203,0.0068359375,-0.17675781,-23.40625,66.03125,29.09375
36,-1.6894531,0.48242188,0.07519531,-15.625,36.3125,19.40625
37,-1.3701172,-0.22753906,0.60546875,27.28125,-77.28125,-6.84375
38,-1.3261719,-0.09472656,0.33203125,-129.90625,-110.5,-56.84375
39,-1.2568359,-0.17578125,-0.16015625,-236.71875,-61.0,-134.53125
40,-0.8466797,0.26367188,-0.21484375,-19.71875,-53.59375,-131.59375
41,-1.4902344,-0.42578125,0.5654297,168.0625,-152.3125,-139.0
42,-0.5605469,0.34179688,-0.50390625,78.125,-129.53125,-130.8125
43,-0.7109375,-0.35742188,0.3466797,81.15625,-162.6875,-133.9375
44,-0.19335938,0.17382812,0.23925781,67.5,-130.21875,-64.84375
45,-0.25,0.015625,0.27539062,11.65625,-70.21875,-12.78125
46,-0.3486328,-0.34960938,0.25585938,8.65625,-22.78125,0.96875
47,-0.5439453,-0.5419922,0.40625,-22.65625,35.9375,21.59375
48,-0.6484375,-0.31054688,0.064453125,-103.34375,113.4375,64.125
49,-2.0,-1.2832031,-0.99121094,8.59375,103.6875,6.6875
50,-0.22070312,-0.140625,0.3720703,102.875,72.625,53.4375
51,-1.4287109,0.016601562,0.44628906,-37.625,83.1875,67.4375
52,-1.0371094,-0.2265625,0.28222656,-20.03125,70.25,67.71875
53,-0.8984375,-0.07910156,0.28027344,3.09375,51.4375,75.0
54,-0.95996094,0.01953125,0.1875,-40.3125,65.71875,87.8125
55,-1.0253906,-0.2861328,-0.09277344,12.0625,53.5625,97.28125
56,-0.9394531,-0.29785156,0.10449219,64.75,27.03125,73.09375
57,-0.8857422,-0.078125,0.1484375,92.75,31.90625,54.1875
58,-0.8486328,-0.051757812,0.265625,68.53125,37.65625,41.5625
59,-1.0195312,-0.39453125,0.12402344,30.1875,36.1875,29.9375
60,-0.82714844,-0.14550781,0.16503906,12.5,41.71875,-2.53125
61,-1.2001953,0.049804688,0.034179688,-1.3125,56.6875,27.28125
62,-1.5449219,0.16210938,0.0009765625,-30.84375,70.59375,35.375
63,-1.5947266,0.12109375,0.2783203,-9.78125,4.9375,15.1875
64,-1.5507812,-0.107421875,0.48632812,-38.28125,-83.6875,-20.03125
65,-0.96191406,-0.051757812,0.33496094,-169.3125,-134.90625,-87.1875
66,-1.5087891,-0.27148438,-0.19921875,-284.375,-79.25,-163.15625
67,-0.9482422,0.26464844,-0.17773438,26.71875,-23.09375,-130.09375
68,-1.5058594,-0.09375,0.7421875,110.09375,-216.5625,-197.46875
69,-0.42578125,-0.10839844,0.52441406,-8.0,-91.1875,-122.8125
70,-0.5126953,-0.09277344,0.005859375,51.875,-121.96875,-106.09375
71,-0.31640625,0.10449219,0.37890625,39.84375,-97.3125,-35.78125
72,-0.24902344,-0.13183594,0.21386719,1.4375,-40.25,-2.875
73,-0.42285156,-0.39746094,0.3857422,28.71875,8.84375,1.6875
74,-0.515625,-0.546875,0.4814453,-5.21875,69.625,25.3125
75,-1.28125,-0.7109375,0.67089844,-138.1875,88.25,49.46875
76,-1.4111328,-0.71875,0.55078125,-25.53125,110.875,58.34375
77,-0.76464844,-0.11328125,0.19140625,35.25,78.125,74.75
78,-1.2382812,-0.020507812,0.21972656,-8.5625,67.84375,77.5
79,-0.99902344,-0.19335938,0.09863281,-11.6875,55.46875,72.5
80,-1.0136719,-0.123046875,0.17675781,-20.40625,55.28125,89.59375
81,-0.9902344,-0.15722656,0.09375,-16.6875,67.3125,99.34375
82,-1.0556641,-0.27441406,0.09667969,64.5,23.46875,87.21875
83,-0.75878906,-0.14355469,0.09667969,67.6875,60.15625,65.96875
84,-0.95996094,-0.16015625,0.18945312,111.125,40.03125,43.0625
85,-0.7158203,0.02734375,0.3076172,57.65625,45.46875,21.09375
86,-1.125,-0.24804688,0.14550781,8.03125,43.0,25.8125
87,-1.0292969,-0.05078125,0.16699219,6.6875,60.84375,15.71875
88,-1.3691406,-0.0703125,-0.0078125,11.9375,71.40625,45.46875
89,-1.6591797,0.078125,-0.016601562,-6.1875,62.65625,16.21875
90,-1.5712891,0.072265625,0.42871094,17.625,-56.0,1.5
91,-1.1396484,-0.020507812,0.57128906,-59.15625,-129.71875,-36.5
92,-1.0185547,-0.3154297,0.09667969,-181.90625,-118.4375,-92.65625
93,-1.0634766,0.11816406,-0.47070312,-193.1875,-43.34375,-137.59375
94,-1.3916016,0.0625,0.6191406,-50.90625,-54.40625,-131.125
95,-1.5810547,-0.1484375,0.33789062,116.3125,-155.46875,-189.59375
96,-0.6074219,-0.06542969,0.06640625,42.28125,-112.3125,-127.28125
97,-0.80859375,-0.22949219,0.20410156,89.15625,-145.28125,-134.78125
98,-0.0068359375,0.24414062,0.16894531,39.78125,-87.0625,-48.90625
99,-0.24316406,-0.080078125,0.42382812,-10.21875,-25.84375,-9.40625
100,-0.2685547,-0.46484375,0.19726562,28.1875,15.96875,19.21875
101,-0.5048828,-0.44433594,0.37597656,-25.46875,89.21875,58.9375
102,-1.7314453,-1.0585938,0.21191406,-96.4375,111.625,33.6875
103,-1.3339844,-0.5390625,0.41992188,27.625,67.78125,26.90625
104,-0.5986328,0.0703125,0.28222656,8.28125,108.8125,73.21875
105,-1.3857422,-0.12695312,0.21582031,-13.625,78.65625,75.90625
106,-0.79785156,-0.24609375,0.1640625,18.0625,73.96875,74.3125
107,-0.7949219,-0.1875,0.17382812,0.21875,72.75,70.84375
108,-0.90625,-0.20703125,0.07421875,-15.6875,92.28125,86.84375
109,-1.1816406,-0.23632812,-0.041015625,76.59375,33.125,73.34375
110,-0.80566406,0.020507812,0.10449219,123.53125,3.53125,63.53125
111,-1.046875,-0.059570312,0.14257812,80.375,21.84375,42.78125
112,-0.7998047,-0.16210938,0.17675781,34.59375,36.375,29.71875
113,-0.72753906,-0.13378906,0.09765625,13.59375,56.875,19.8125
114,-1.296875,-0.09472656,0.1953125,17.625,35.625,41.90625
115,-1.3935547,-0.15527344,0.05859375,-28.46875,47.65625,30.0625
116,-1.5996094,0.19042969,0.09765625,-33.03125,20.1875,-12.65625
117,-1.578125,-0.0126953125,0.39941406,-33.53125,-65.8125,-23.09375
118,-1.1474609,0.032226562,0.32128906,-104.03125,-120.8125,-54.9375
