sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.9609375,0.18457031,0.29785156,-39.125,-28.03125,16.28125
1,-1.2285156,0.36132812,0.31640625,-37.125,-79.4375,21.59375
2,-1.5078125,0.5058594,0.265625,-9.21875,-133.125,26.09375
3,-1.5498047,0.56347656,0.37597656,-0.125,-128.6875,9.03125
4,-1.0986328,0.41601562,0.33496094,1.28125,-136.375,12.5
5,-0.5644531,0.2109375,0.31445312,76.65625,-151.125,4.125
6,-0.3359375,0.22460938,0.38378906,56.9375,-19.25,12.125
7,-0.3876953,0.40722656,0.2998047,-3.6875,80.375,-9.96875
8,-0.5214844,0.36914062,0.27246094,-11.625,168.5,-27.25
9,-0.79589844,0.22753906,0.22167969,-12.21875,264.5,-61.28125
10,-1.1582031,0.005859375,0.12792969,-16.375,205.84375,-57.375
11,-0.48828125,-0.12890625,0.091796875,35.4375,13.53125,-22.96875
12,-0.8955078,0.22265625,0.09472656,-40.0625,46.6875,-41.34375
13,-0.89160156,0.47460938,0.4169922,184.25,-50.75,-41.15625
14,-0.9238281,0.39257812,0.29882812,-18.8125,48.5625,-44.875
15,-1.1396484,0.5048828,0.125,-25.34375,13.15625,-3.0
16,-1.2050781,0.66308594,-0.10839844,-67.28125,9.03125,43.75
17,-1.1494141,0.2265625,-0.13769531,-151.4375,9.8125,43.6875
18,-1.8222656,0.095703125,-0.068359375,-14.34375,-30.84375,29.28125
19,-1.0996094,-0.11328125,0.025390625,94.03125,2.84375,-3.375
20,-0.7597656,-0.036132812,-0.061523438,19.28125,12.8125,-22.71875
21,-0.9433594,0.2919922,-0.06933594,-135.875,30.3125,-25.03125
22,-0.9140625,0.3955078,-0.05859375,-86.25,57.40625,-1.1875
23,-0.6513672,0.051757812,0.060546875,203.0,-16.75,-10.21875
24,-0.9980469,0.04296875,0.46972656,209.75,-67.59375,-10.9375
25,-0.69433594,0.20507812,0.25976562,-29.0625,-19.1875,8.90625
26,-0.60839844,0.48535156,0.1328125,4.0625,-14.59375,18.78125
27,-0.8310547,0.20019531,0.38867188,-17.03125,-35.84375,44.28125
28,-1.0488281,-0.053710938,0.22265625,-123.0625,33.4375,9.875
29,-1.0029297,0.1796875,0.10546875,-41.15625,-42.5625,15.90625
30,-1.4042969,0.6152344,0.123046875,-53.0625,-97.375,46.5625
31,-0.99902344,0.6347656,0.0009765625,-13.5625,-77.78125,40.03125
32,-1.5585938,0.036132812,0.26464844,-16.5,-85.34375,16.65625
33,-1.5302734,0.10449219,0.14550781,-5.09375,-65.4375,3.53125
34,-0.6699219,0.5488281,0.12988281,58.625,-126.25,-21.4375
35,-0.24414062,0.3154297,0.29003906,77.5625,-146.25,-46.875
36,-0.19335938,0.07714844,0.2998047,46.8125,29.40625,-18.5
37,-0.38964844,0.23925781,0.061523438,-28.9375,223.96875,-21.6875
38,-0.7714844,0.27539062,-0.0390625,-70.4375,283.5625,-48.59375
39,-1.1513672,-0.021484375,0.12207031,-1.3125,90.5625,-34.25
40,-0.95214844,0.12011719,0.3076172,221.1875,22.75,-45.25
41,-1.2978516,0.72753906,0.5097656,168.5625,-45.3125,-36.15625
42,-1.0751953,0.55078125,-0.17285156,-294.09375,-16.125,34.71875
43,-1.3984375,0.40039062,-0.099609375,-143.875,15.4375,33.96875
44,-1.4912109,0.08984375,-0.041015625,35.625,-56.65625,18.0
45,-1.2646484,-0.1796875,0.020507812,59.4375,23.71875,-2.03125
46,-1.0537109,-0.009765625,0.0390625,49.125,29.34375,-19.96875
47,-0.8798828,0.030273438,0.04296875,16.15625,26.21875,-30.34375
48,-0.59277344,0.19628906,0.047851562,53.6875,7.1875,-34.25
