sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.0625,-0.5361328,0.8466797,-0.0625,-0.0625,-0.09375
1,0.057617188,-0.5253906,0.8701172,0.125,-0.125,0.15625
2,0.072265625,-0.5107422,0.86621094,0.21875,0.0625,-0.03125
3,0.0703125,-0.5253906,0.85839844,0.0,-0.0625,0.03125
4,0.064453125,-0.52246094,0.8544922,-0.1875,-0.1875,0.03125
5,0.06640625,-0.5253906,0.8515625,-0.25,-0.125,-0.09375
6,0.06542969,-0.5292969,0.85546875,0.0,0.0,0.03125
7,0.06738281,-0.5263672,0.85839844,0.0625,0.0,0.03125
8,0.06640625,-0.5371094,0.85839844,0.0625,0.0,0.03125
9,0.061523438,-0.52246094,0.8730469,0.15625,0.125,-0.03125
10,0.061523438,-0.52734375,0.8691406,-0.0625,-0.125,-0.03125
11,0.06738281,-0.51953125,0.8564453,0.0,0.0,0.15625
12,0.06738281,-0.5283203,0.85839844,0.125,0.0,0.03125
13,0.06640625,-0.52246094,0.8623047,-0.0625,-0.0625,0.09375
14,0.072265625,-0.5253906,0.85546875,-0.125,-0.3125,0.09375
15,0.07128906,-0.5234375,0.8486328,-0.1875,-0.125,0.15625
16,0.06347656,-0.5214844,0.8574219,-0.0625,-0.0625,0.09375
17,0.06933594,-0.5214844,0.8496094,0.0625,-0.0625,-0.09375
18,0.057617188,-0.5253906,0.8671875,0.0,-0.125,0.1875
19,0.06640625,-0.52734375,0.8544922,-0.0625,-0.1875,0.09375
20,0.064453125,-0.5332031,0.8574219,-0.0625,-0.125,0.09375
21,0.068359375,-0.52441406,0.8642578,-0.0625,-0.125,-0.09375
22,0.06738281,-0.5253906,0.85546875,-0.0625,0.0,-0.09375
23,0.059570312,-0.5205078,0.8652344,0.0625,0.1875,0.03125
24,0.0625,-0.51953125,0.8535156,-0.1875,-0.1875,0.09375
25,0.064453125,-0.5263672,0.8388672,-0.1875,-0.3125,0.03125
26,0.06738281,-0.51660156,0.8642578,-0.0625,0.0,0.09375
27,0.07128906,-0.52734375,0.8623047,0.21875,0.125,-0.03125
28,0.06640625,-0.5292969,0.86621094,-0.0625,-0.25,0.03125
29,0.06640625,-0.51171875,0.8642578,0.0,0.125,0.03125
30,0.068359375,-0.5283203,0.85546875,0.0,0.0,0.15625
31,0.0625,-0.52734375,0.86035156,-0.0625,-0.125,0.1875
32,0.0625,-0.51953125,0.8574219,0.125,0.0,-0.03125
33,0.06542969,-0.52441406,0.8564453,0.0625,0.125,-0.09375
34,0.06542969,-0.51953125,0.8613281,0.0,0.0,0.09375
35,0.068359375,-0.5283203,0.8623047,-0.125,-0.125,0.15625
36,0.0703125,-0.52441406,0.859375,0.15625,0.0625,0.1875
37,0.06933594,-0.53515625,0.8701172,0.15625,-0.0625,0.09375
38,0.059570312,-0.52441406,0.859375,-0.0625,-0.25,-0.09375
39,0.06738281,-0.52246094,0.8623047,-0.1875,0.0,-0.03125
40,0.06640625,-0.5205078,0.86035156,-0.0625,0.1875,0.1875
41,0.064453125,-0.5292969,0.8544922,-0.1875,-0.125,0.15625
42,0.06933594,-0.53027344,0.85839844,-0.1875,-0.0625,-0.03125
43,0.061523438,-0.51660156,0.8466797,0.0,0.25,0.03125
44,0.06542969,-0.515625,0.85058594,0.0,0.0625,0.03125
45,0.072265625,-0.5234375,0.8564453,0.125,0.1875,0.09375
46,0.061523438,-0.52246094,0.86035156,0.125,0.0,0.09375
47,0.0703125,-0.52246094,0.8574219,0.0,0.0,0.03125
48,0.06347656,-0.5234375,0.8701172,-0.3125,-0.125,0.09375
49,0.0703125,-0.52734375,0.86328125,0.0,0.0,0.1875
50,0.068359375,-0.53027344,0.8515625,0.0,0.0625,0.15625
51,0.06933594,-0.5283203,0.8515625,-0.0625,-0.0625,-0.28125
52,0.06542969,-0.5253906,0.86621094,-0.125,-0.125,0.03125
53,0.072265625,-0.53515625,0.8515625,-0.0625,-0.0625,0.1875
54,0.06347656,-0.53125,0.859375,-0.0625,-0.125,0.09375
55,0.06933594,-0.5341797,0.8574219,0.15625,0.0625,-0.09375
56,0.055664062,-0.5234375,0.8652344,-0.3125,-0.1875,-0.15625
57,0.06347656,-0.53125,0.859375,-0.25,-0.125,0.03125
58,0.0703125,-0.53027344,0.84765625,-0.1875,-0.0625,-0.03125
59,0.068359375,-0.52734375,0.85839844,0.0,0.0,0.03125
60,0.06933594,-0.53125,0.85253906,0.0625,-0.125,0.15625
61,0.060546875,-0.52441406,0.85546875,0.125,0.125,-0.09375
62,0.05859375,-0.5283203,0.85253906,-0.0625,-0.0625,0.09375
63,0.06347656,-0.5175781,0.86328125,0.0,-0.3125,-0.15625
64,0.06347656,-0.5214844,0.859375,-0.1875,-0.1875,0.03125
65,0.06738281,-0.5283203,0.8779297,0.0,-0.125,-0.03125
66,0.068359375,-0.53125,0.859375,0.0625,0.0625,-0.09375
67,0.06640625,-0.5283203,0.8574219,0.0,0.0625,0.03125
68,0.06347656,-0.52734375,0.859375,0.0,0.0625,-0.15625
69,0.064453125,-0.53125,0.8564453,0.0,0.125,0.1875
70,0.0703125,-0.53125,0.85839844,-0.0625,-0.125,0.09375
71,0.06640625,-0.5283203,0.859375,0.125,-0.125,0.03125
72,0.059570312,-0.5263672,0.86035156,0.15625,0.0,-0.15625
73,0.064453125,-0.5214844,0.8613281,0.15625,0.125,0.03125
74,0.06640625,-0.5175781,0.86328125,-0.0625,0.1875,-0.125
75,0.06640625,-0.51660156,0.87109375,0.0,0.0625,-0.0625
76,0.061523438,-0.51953125,0.8671875,-0.125,-0.125,0.0
77,0.06347656,-0.51953125,0.85839844,-0.125,0.0,-0.0625
78,0.061523438,-0.5263672,0.86035156,-0.125,-0.0625,0.0
79,0.06933594,-0.5283203,0.8652344,-0.0625,-0.0625,0.0
80,0.060546875,-0.5283203,0.85546875,-0.0625,-0.1875,0.0625
81,0.06542969,-0.5234375,0.8613281,-0.0625,-0.0625,0.0625
82,0.05859375,-0.53222656,0.87109375,-0.125,-0.0625,-0.0625
83,0.0703125,-0.5234375,0.8564453,-0.375,-0.0625,-0.0625
84,0.060546875,-0.53222656,0.85546875,-0.375,-0.25,0.1875
85,0.06933594,-0.5234375,0.8701172,-0.4375,-0.375,0.125
86,0.064453125,-0.5263672,0.85546875,-0.375,-0.125,0.3125
87,0.06542969,-0.53808594,0.8613281,-0.5,-0.0625,0.1875
88,0.068359375,-0.53222656,0.8642578,-0.0625,-0.0625,-0.0625
89,0.05859375,-0.52734375,0.8613281,0.0625,0.125,0.125
90,0.07519531,-0.53027344,0.8544922,0.1875,-0.0625,-0.1875
91,0.060546875,-0.5205078,0.8623047,0.0,0.0625,0.0
92,0.06933594,-0.5214844,0.86035156,0.0,-0.0625,-0.0625
93,0.06738281,-0.5253906,0.8515625,0.0,0.0625,0.0
94,0.06738281,-0.5283203,0.85839844,-0.125,-0.125,0.0
95,0.06347656,-0.5283203,0.85839844,0.0,0.0,0.0625
96,0.061523438,-0.53027344,0.859375,0.0,0.0625,0.25
97,0.060546875,-0.52734375,0.86035156,0.0,-0.0625,0.0
98,0.0625,-0.52441406,0.8535156,-0.0625,-0.0625,0.0
99,0.068359375,-0.5253906,0.8671875,-0.0625,-0.0625,-0.0625
100,0.072265625,-0.5263672,0.8613281,-0.0625,-0.125,0.125
101,0.06542969,-0.5214844,0.8544922,-0.1875,-0.0625,-0.1875
102,0.072265625,-0.5185547,0.8671875,-0.125,-0.1875,0.0
103,0.061523438,-0.51953125,0.85839844,0.0,0.0625,0.0
104,0.06738281,-0.5332031,0.85058594,-0.125,-0.1875,0.0
105,0.076171875,-0.52734375,0.8535156,-0.0625,-0.0625,0.0
106,0.061523438,-0.5214844,0.8535156,-0.0625,-0.0625,-0.0625
107,0.06347656,-0.53125,0.8378906,-0.125,-0.0625,0.1875
108,0.0625,-0.53125,0.86035156,-0.125,-0.125,0.125
109,0.06738281,-0.52734375,0.8574219,-0.0625,-0.0625,-0.1875
110,0.06640625,-0.51953125,0.8515625,0.0,0.0,0.0
111,0.056640625,-0.5234375,0.8466797,-0.1875,-0.1875,-0.0625
112,0.06640625,-0.5253906,0.8652344,-0.125,-0.125,-0.0625
113,0.06738281,-0.52734375,0.8496094,-0.0625,-0.125,0.125
114,0.059570312,-0.5292969,0.8457031,-0.125,0.0,-0.125
115,0.07128906,-0.52734375,0.85839844,0.0,0.1875,0.125
116,0.06542969,-0.53222656,0.85839844,0.0625,0.0625,0.125
117,0.06933594,-0.5234375,0.8701172,-0.0625,-0.0625,0.0625
118,0.07324219,-0.5283203,0.86816406,0.0,0.0625,0.125
119,0.055664062,-0.52734375,0.8642578,0.0,0.0,0.0
120,0.068359375,-0.5283203,0.8613281,-0.0625,-0.0625,0.0625
121,0.07421875,-0.5292969,0.8642578,-0.0625,-0.125,0.0625
122,0.059570312,-0.5283203,0.85546875,0.0625,0.125,0.0
123,0.0703125,-0.5341797,0.8613281,0.0,0.0,0.0
124,0.076171875,-0.53222656,0.85058594,-0.125,-0.25,0.0
125,0.060546875,-0.53027344,0.85546875,-0.0625,-0.125,0.1875
126,0.06640625,-0.5361328,0.86035156,-0.0625,-0.0625,0.125
127,0.07324219,-0.5283203,0.8623047,0.0625,0.0,-0.1875
128,0.06542969,-0.52441406,0.85839844,0.0,0.0,-0.0625
129,0.061523438,-0.5234375,0.8574219,-0.0625,-0.125,-0.0625
130,0.0625,-0.5205078,0.8544922,-0.0625,-0.0625,-0.3125
131,0.068359375,-0.5361328,0.8720703,0.0625,-0.125,-0.25
132,0.068359375,-0.5263672,0.86621094,0.0,-0.0625,-0.25
133,0.06738281,-0.5283203,0.86328125,0.1875,0.0625,-0.0625
134,0.06738281,-0.5263672,0.8544922,0.0,0.0625,-0.375
135,0.061523438,-0.5292969,0.8535156,0.0625,-0.25,-0.125
136,0.06640625,-0.5253906,0.85058594,-0.0625,-0.1875,-0.125
137,0.0703125,-0.53027344,0.86035156,0.0,0.0,-0.25
138,0.06542969,-0.5292969,0.8623047,0.125,0.0,-0.1875
139,0.06347656,-0.53808594,0.859375,0.0,0.0,-0.3125
140,0.06738281,-0.5214844,0.8623047,-0.0625,-0.03125,-0.1875
141,0.072265625,-0.5341797,0.8515625,-0.125,-0.03125,-0.1875
142,0.059570312,-0.53027344,0.8544922,-0.125,-0.09375,-0.1875
143,0.068359375,-0.52734375,0.8642578,-0.0625,-0.03125,-0.1875
144,0.059570312,-0.5390625,0.8535156,0.125,-0.15625,0.0625
145,0.06933594,-0.53027344,0.8574219,0.0625,-0.03125,-0.1875
146,0.057617188,-0.52441406,0.8515625,0.0,0.03125,-0.25
147,0.068359375,-0.5234375,0.8642578,-0.125,-0.21875,-0.1875
148,0.06738281,-0.5253906,0.87109375,-0.0625,0.03125,-0.25
149,0.06640625,-0.53808594,0.8574219,0.0,-0.15625,0.0
150,0.05859375,-0.5292969,0.8671875,0.0,0.03125,-0.25
151,0.07421875,-0.52441406,0.86328125,0.0,0.15625,-0.25
152,0.064453125,-0.5214844,0.85253906,-0.0625,-0.03125,-0.1875
153,0.06640625,-0.53125,0.8564453,-0.0625,-0.21875,-0.1875
154,0.068359375,-0.5253906,0.8544922,0.0625,0.03125,0.0
155,0.06542969,-0.53027344,0.86328125,0.0625,-0.03125,-0.1875
156,0.06347656,-0.5234375,0.8623047,0.0625,-0.03125,-0.125
157,0.07128906,-0.5214844,0.86328125,0.0,0.03125,-0.0625
158,0.0625,-0.53222656,0.8564453,0.0,-0.15625,-0.1875
159,0.061523438,-0.5283203,0.86328125,-0.0625,-0.09375,-0.125
160,0.064453125,-0.5283203,0.85839844,0.125,0.03125,-0.125
161,0.060546875,-0.5214844,0.8535156,0.0625,0.03125,-0.375
162,0.0703125,-0.53027344,0.8642578,0.0,0.03125,-0.1875
163,0.06738281,-0.53515625,0.85546875,0.125,0.09375,0.125
164,0.07324219,-0.52734375,0.84765625,0.125,-0.03125,-0.1875
165,0.057617188,-0.52246094,0.8544922,0.0,-0.09375,-0.1875
166,0.061523438,-0.53125,0.859375,-0.0625,-0.21875,-0.1875
167,0.06347656,-0.52734375,0.8671875,0.0,0.03125,-0.3125
