sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.15917969,0.82421875,0.5214844,0.5,0.25,-0.46875
1,-0.15527344,0.8125,0.5234375,0.25,-0.1875,-0.28125
2,-0.16015625,0.8105469,0.5234375,0.3125,0.375,-0.09375
3,-0.15625,0.81933594,0.5185547,0.75,0.125,-0.34375
4,-0.16601562,0.82128906,0.5283203,1.0,-0.21875,-0.625
5,-0.16210938,0.8232422,0.5097656,0.375,-0.1875,-0.75
6,-0.16210938,0.8310547,0.5292969,0.5,-0.0625,-0.40625
7,-0.16308594,0.82421875,0.5205078,0.6875,0.25,-0.59375
8,-0.1640625,0.82421875,0.51953125,0.5625,0.0625,-0.46875
9,-0.16113281,0.81933594,0.5234375,0.5625,0.125,-0.40625
10,-0.15820312,0.8261719,0.5136719,0.25,0.0,-0.40625
11,-0.16308594,0.8222656,0.52441406,0.4375,0.125,-0.28125
12,-0.16015625,0.8251953,0.53027344,0.4375,0.25,-0.40625
13,-0.16308594,0.8251953,0.53125,0.4375,0.375,-0.46875
14,-0.16503906,0.8154297,0.51660156,0.4375,0.1875,-0.53125
15,-0.16894531,0.828125,0.5185547,0.25,0.125,-0.34375
16,-0.1640625,0.82128906,0.5126953,0.1875,0.0,-0.34375
17,-0.15625,0.8222656,0.5205078,0.375,0.1875,-0.40625
18,-0.16894531,0.8183594,0.5185547,0.375,0.25,-0.28125
19,-0.16503906,0.8232422,0.5214844,0.375,0.1875,-0.28125
20,-0.16699219,0.82714844,0.515625,0.375,0.1875,-0.21875
21,-0.16894531,0.8310547,0.49609375,0.3125,0.0,-0.28125
22,-0.16601562,0.82714844,0.51660156,0.25,-0.125,-0.34375
23,-0.16992188,0.828125,0.5234375,-0.1875,-0.1875,-0.03125
24,-0.1640625,0.82421875,0.5175781,0.5625,0.3125,-0.03125
25,-0.16503906,0.8173828,0.5107422,0.5625,0.0625,-0.28125
26,-0.16308594,0.8300781,0.5175781,0.3125,-0.125,-0.34375
27,-0.15917969,0.8222656,0.5205078,0.0625,0.0625,-0.34375
28,-0.17089844,0.82128906,0.5292969,0.125,0.0625,-0.28125
29,-0.16503906,0.8251953,0.52734375,0.0625,0.5625,-0.34375
30,-0.16894531,0.8222656,0.5205078,0.0,0.1875,-0.09375
31,-0.16699219,0.8222656,0.52246094,0.1875,0.375,-0.15625
32,-0.1640625,0.8154297,0.52734375,0.125,0.375,-0.28125
33,-0.16601562,0.8232422,0.5078125,0.25,0.25,-0.34375
34,-0.16699219,0.8144531,0.5126953,0.125,0.0625,-0.28125
35,-0.15625,0.82421875,0.5185547,0.1875,0.125,-0.40625
36,-0.18066406,0.8251953,0.515625,0.125,0.0625,-0.28125
37,-0.15917969,0.8222656,0.5253906,0.125,0.0625,-0.09375
38,-0.15820312,0.82421875,0.515625,0.0,0.125,-0.21875
39,-0.16601562,0.8300781,0.5205078,0.1875,0.1875,-0.15625
40,-0.16699219,0.8251953,0.5107422,0.0625,0.25,-0.09375
41,-0.16796875,0.82128906,0.51171875,0.0,0.125,0.03125
42,-0.16796875,0.83203125,0.51660156,0.125,0.1875,-0.15625
43,-0.16992188,0.828125,0.5078125,0.0625,0.0625,-0.15625
44,-0.16894531,0.8222656,0.5058594,0.125,-0.0625,-0.03125
45,-0.16015625,0.8261719,0.5185547,-0.0625,-0.21875,-0.34375
46,-0.16894531,0.828125,0.5136719,-0.1875,-0.21875,0.09375
47,-0.1640625,0.81640625,0.51171875,-0.0625,0.5,0.21875
48,-0.15722656,0.82910156,0.5185547,0.5625,-0.0625,-0.15625
49,-0.16503906,0.8339844,0.52441406,0.5625,-0.28125,-0.09375
50,-0.1640625,0.82421875,0.5126953,0.0625,-0.0625,-0.46875
51,-0.17089844,0.8222656,0.5097656,0.25,0.0,-0.34375
52,-0.1640625,0.8300781,0.53515625,-0.09375,-0.09375,0.09375
53,-0.17089844,0.828125,0.5253906,0.0625,-0.03125,0.03125
54,-0.16796875,0.8232422,0.5234375,-0.03125,0.09375,0.09375
55,-0.16113281,0.83203125,0.52246094,-0.09375,0.03125,-0.03125
56,-0.16796875,0.82421875,0.5185547,-0.03125,-0.28125,-0.03125
57,-0.16699219,0.8251953,0.5136719,-0.03125,-0.03125,-0.03125
58,-0.1640625,0.81933594,0.50878906,0.03125,0.15625,-0.15625
59,-0.16796875,0.81933594,0.5078125,0.03125,0.03125,-0.09375
60,-0.17480469,0.8339844,0.5107422,-0.03125,-0.15625,-0.03125
61,-0.16113281,0.8222656,0.5107422,-0.03125,-0.03125,-0.09375
62,-0.16210938,0.8251953,0.5019531,0.0625,0.15625,-0.03125
