sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.00390625,-0.98535156,-0.16308594,-0.5,-0.15625,0.1875
1,0.00390625,-0.99121094,-0.17773438,-0.4375,-0.03125,0.1875
2,0.009765625,-0.9873047,-0.16796875,0.09375,-0.03125,0.125
3,-0.0009765625,-0.98828125,-0.18359375,0.34375,-0.03125,0.1875
4,-0.001953125,-0.98535156,-0.171875,0.59375,0.03125,-0.25
5,0.0107421875,-0.99121094,-0.15527344,0.34375,0.09375,0.0
6,0.0009765625,-0.99609375,-0.16894531,0.59375,0.15625,0.0
7,-0.001953125,-0.9824219,-0.17871094,0.53125,-0.09375,0.3125
8,0.0068359375,-0.9863281,-0.17089844,0.59375,0.03125,0.25
9,0.0029296875,-0.98339844,-0.18066406,0.09375,0.03125,0.0625
10,0.001953125,-0.99121094,-0.1640625,0.21875,-0.03125,-0.125
11,-0.0107421875,-0.9863281,-0.15820312,0.21875,0.09375,-0.0625
12,0.0029296875,-0.9892578,-0.171875,-0.28125,0.03125,-0.125
13,-0.0048828125,-0.98828125,-0.1640625,-0.625,-0.15625,-0.1875
14,0.0,-0.9951172,-0.18652344,-0.875,-0.03125,0.0625
15,-0.005859375,-0.9863281,-0.18554688,-0.15625,-0.15625,0.25
16,-0.0048828125,-0.98535156,-0.18457031,-0.03125,-0.09375,0.0
17,-0.00390625,-0.98339844,-0.18359375,0.40625,0.03125,0.0625
18,0.0068359375,-0.99609375,-0.18945312,0.78125,0.03125,-0.3125
19,0.005859375,-0.98828125,-0.18261719,0.65625,-0.21875,-0.25
20,-0.0078125,-0.9814453,-0.18847656,0.21875,-0.03125,-0.125
21,0.0029296875,-0.9873047,-0.1640625,0.09375,-0.03125,-0.0625
22,-0.0009765625,-0.9863281,-0.18457031,0.09375,-0.15625,-0.0625
23,0.001953125,-0.99121094,-0.1796875,-0.5625,-0.28125,0.125
24,0.0048828125,-0.99121094,-0.19140625,-0.21875,-0.09375,-0.125
25,0.0048828125,-0.9863281,-0.20410156,-0.6875,-0.15625,0.1875
26,-0.0087890625,-0.98828125,-0.18652344,-0.5,-0.09375,0.25
27,0.0009765625,-0.9863281,-0.1875,0.09375,-0.15625,0.1875
28,0.0009765625,-0.9892578,-0.18554688,0.71875,-0.21875,0.1875
29,0.0009765625,-0.98535156,-0.18457031,0.09375,-0.03125,-0.0625
30,0.0029296875,-0.98535156,-0.18847656,0.34375,0.09375,-0.125
31,-0.0068359375,-0.9824219,-0.203125,0.65625,0.15625,-0.0625
32,0.0,-0.99121094,-0.19921875,0.59375,0.09375,-0.1875
33,0.0029296875,-0.9873047,-0.19433594,0.59375,-0.03125,0.0625
34,0.0068359375,-0.9824219,-0.18261719,0.65625,-0.09375,0.0625
35,-0.0048828125,-0.9951172,-0.18847656,0.28125,0.03125,0.125
36,0.0078125,-0.98535156,-0.19042969,0.09375,-0.03125,0.0625
37,0.0009765625,-0.9863281,-0.18261719,0.03125,-0.09375,0.125
38,-0.00390625,-0.9921875,-0.19726562,-0.15625,-0.09375,0.125
39,0.001953125,-0.9892578,-0.18457031,0.65625,-0.03125,0.0625
40,0.0068359375,-0.98535156,-0.18847656,-0.03125,0.09375,-0.0625
41,-0.001953125,-0.9873047,-0.18066406,0.34375,0.03125,-0.125
42,0.0048828125,-0.98828125,-0.1796875,0.40625,0.09375,0.125
43,0.0009765625,-0.99121094,-0.19628906,0.09375,-0.03125,0.125
44,0.0048828125,-0.984375,-0.18652344,0.28125,-0.03125,0.1875
45,0.0009765625,-0.984375,-0.18945312,0.71875,-0.21875,0.25
46,0.005859375,-0.9873047,-0.19921875,0.53125,-0.09375,0.3125
47,0.0,-0.9863281,-0.18847656,0.21875,-0.09375,-0.1875
48,-0.0048828125,-0.9902344,-0.20605469,-0.21875,0.03125,0.0
49,-0.001953125,-0.98535156,-0.19628906,-0.28125,-0.03125,0.0
50,0.0,-0.9892578,-0.19140625,0.15625,0.03125,0.0
51,0.005859375,-0.984375,-0.19628906,-0.5,-0.09375,0.375
52,0.0,-0.9824219,-0.20703125,-0.15625,-0.34375,0.3125
53,0.001953125,-0.9824219,-0.18164062,-0.03125,-0.15625,0.1875
54,-0.001953125,-0.98339844,-0.20117188,-0.28125,-0.15625,0.5
55,0.00390625,-0.9921875,-0.20214844,0.21875,-0.03125,0.25
56,0.00390625,-0.9785156,-0.20410156,0.03125,-0.03125,-0.125
57,-0.005859375,-0.9873047,-0.18652344,-0.5625,-0.09375,0.0625
58,0.0029296875,-0.9902344,-0.19433594,-0.4375,-0.15625,0.125
59,0.001953125,-0.9873047,-0.19238281,0.46875,-0.03125,0.125
60,-0.00390625,-0.98535156,-0.18066406,0.03125,-0.15625,0.375
61,-0.0078125,-0.9863281,-0.19824219,0.34375,-0.09375,0.25
62,-0.0107421875,-0.98828125,-0.20214844,0.78125,-0.09375,0.1875
63,-0.0009765625,-0.98535156,-0.20019531,0.09375,0.03125,0.0
64,-0.005859375,-0.9892578,-0.20019531,0.09375,0.03125,-0.1875
65,0.0029296875,-0.9794922,-0.19921875,0.53125,0.15625,-0.125
66,-0.001953125,-0.9824219,-0.18457031,0.09375,-0.15625,0.0625
67,-0.0068359375,-0.98828125,-0.1953125,0.21875,-0.03125,0.25
68,-0.0048828125,-0.99316406,-0.18554688,0.65625,0.03125,0.3125
69,-0.00390625,-0.984375,-0.18945312,0.28125,-0.15625,0.0625
70,0.0,-0.9873047,-0.18261719,-0.34375,-0.09375,0.1875
71,0.001953125,-0.99121094,-0.19921875,0.59375,-0.09375,0.125
72,-0.001953125,-0.9794922,-0.1953125,0.84375,0.15625,0.0625
73,-0.005859375,-0.98828125,-0.18066406,-0.09375,0.09375,-0.0625
74,0.0,-0.9863281,-0.20019531,0.21875,0.09375,-0.0625
75,0.0,-0.9863281,-0.19921875,0.40625,0.09375,-0.0625
76,0.0009765625,-0.9873047,-0.19238281,0.65625,-0.09375,0.3125
77,0.0,-0.984375,-0.18554688,0.59375,0.03125,0.1875
78,0.0009765625,-0.9863281,-0.18554688,0.90625,-0.03125,0.125
79,-0.0048828125,-0.9824219,-0.18359375,0.59375,0.15625,0.0625
80,-0.00390625,-0.9873047,-0.18945312,0.21875,0.09375,-0.125
81,-0.0029296875,-0.98046875,-0.18847656,0.40625,0.09375,-0.25
