sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.18164062,-0.13671875,-0.98046875,0.25,0.125,0.0625
1,0.1796875,-0.14355469,-0.9941406,-0.1875,-0.34375,0.0625
2,0.17089844,-0.13183594,-0.97753906,-0.375,-0.28125,0.0625
3,0.17382812,-0.12890625,-0.9746094,-0.375,-0.40625,0.0625
4,0.18261719,-0.14355469,-0.984375,-0.0625,-0.21875,0.0625
5,0.16894531,-0.13476562,-0.96777344,-0.0625,-0.0625,-0.125
6,0.17675781,-0.12890625,-0.984375,0.125,0.125,0.0625
7,0.17773438,-0.13574219,-0.9794922,0.1875,0.0625,0.15625
8,0.18261719,-0.14355469,-0.9980469,-0.0625,-0.125,0.0
9,0.17871094,-0.13183594,-0.9667969,-0.0625,-0.34375,-0.0625
10,0.17871094,-0.13671875,-0.9863281,0.0,-0.125,0.09375
11,0.17675781,-0.13671875,-0.9824219,-0.0625,-0.0625,0.09375
12,0.17578125,-0.13378906,-0.97753906,-0.25,0.0,0.0
13,0.17675781,-0.12597656,-0.9746094,-0.25,-0.21875,0.0
14,0.17089844,-0.13964844,-0.9746094,0.0,-0.0625,0.0625
15,0.18164062,-0.12597656,-0.99316406,-0.0625,-0.125,-0.0625
16,0.171875,-0.1328125,-0.9628906,-0.0625,-0.0625,-0.0625
17,0.1796875,-0.13671875,-0.99121094,-0.0625,-0.40625,0.09375
18,0.16894531,-0.14160156,-0.96972656,-0.0625,-0.28125,0.0625
19,0.17480469,-0.13476562,-0.98339844,-0.0625,-0.0625,0.09375
20,0.18164062,-0.1328125,-0.96875,-0.0625,-0.125,0.09375
21,0.17773438,-0.13769531,-0.96972656,-0.0625,-0.0625,-0.0625
22,0.18066406,-0.13867188,-0.9824219,-0.0625,-0.28125,-0.0625
23,0.17382812,-0.1328125,-0.9736328,-0.1875,-0.1875,-0.0625
24,0.17773438,-0.1328125,-0.984375,-0.1875,-0.21875,0.0
25,0.17089844,-0.13378906,-0.96777344,-0.125,-0.21875,-0.0625
26,0.17089844,-0.13183594,-0.9921875,-0.0625,-0.0625,0.0625
27,0.171875,-0.13574219,-0.9863281,-0.0625,-0.1875,0.0625
28,0.17773438,-0.13671875,-0.98046875,0.0,-0.1875,0.0625
29,0.17089844,-0.13183594,-0.9785156,-0.0625,-0.1875,0.0
30,0.17675781,-0.12695312,-0.9814453,-0.0625,-0.28125,-0.125
31,0.17773438,-0.1328125,-0.97265625,0.0625,0.0625,-0.0625
32,0.18164062,-0.14453125,-0.97753906,-0.0625,-0.21875,0.09375
33,0.17480469,-0.13378906,-0.9736328,0.0625,-0.0625,0.0
34,0.17773438,-0.13964844,-0.9824219,-0.125,0.0,0.09375
35,0.17578125,-0.13085938,-0.9785156,-0.125,-0.28125,0.0
36,0.18066406,-0.140625,-0.9970703,0.0,-0.1875,0.0625
37,0.17871094,-0.14160156,-0.98828125,-0.0625,-0.34375,0.0
38,0.17089844,-0.12890625,-0.9951172,-0.125,-0.1875,0.0
39,0.17773438,-0.13867188,-0.9814453,-0.0625,-0.1875,0.0
40,0.18554688,-0.140625,-0.9746094,-0.0625,-0.21875,0.0
41,0.17089844,-0.12792969,-0.9824219,-0.125,-0.1875,-0.0625
42,0.18164062,-0.1328125,-0.99609375,-0.0625,0.125,0.0
43,0.17578125,-0.13085938,-0.984375,-0.1875,-0.1875,0.0625
44,0.18457031,-0.12988281,-0.9814453,-0.1875,-0.125,0.0
45,0.18261719,-0.13671875,-0.9746094,-0.0625,-0.0625,0.0
46,0.16894531,-0.13183594,-0.9765625,-0.125,-0.1875,-0.0625
47,0.18261719,-0.13671875,-0.9609375,-0.0625,-0.21875,0.0625
48,0.17871094,-0.13574219,-0.98339844,0.0,-0.1875,0.0625
49,0.1796875,-0.140625,-0.97753906,-0.0625,-0.125,0.09375
50,0.17578125,-0.140625,-0.99316406,-0.125,-0.125,0.0
51,0.16992188,-0.13378906,-0.9863281,-0.125,-0.28125,0.0625
52,0.17382812,-0.13671875,-0.97753906,-0.1875,-0.40625,-0.0625
53,0.17773438,-0.12890625,-0.9736328,-0.0625,-0.21875,0.0
54,0.16992188,-0.13671875,-0.9921875,0.0,-0.125,-0.0625
55,0.18066406,-0.13671875,-0.9921875,-0.0625,0.0,0.0625
56,0.17871094,-0.13769531,-0.98339844,0.0,0.125,0.0
57,0.16796875,-0.13574219,-0.97558594,0.0625,0.0,0.0
58,0.17773438,-0.13378906,-0.97558594,0.0625,-0.125,0.0625
59,0.17382812,-0.12988281,-0.9814453,-0.125,-0.40625,-0.0625
60,0.171875,-0.13769531,-0.9785156,-0.0625,-0.0625,0.0625
61,0.17480469,-0.12988281,-0.9863281,-0.0625,0.0,0.0625
62,0.17773438,-0.13476562,-0.97753906,-0.0625,-0.1875,-0.0625
63,0.17675781,-0.13574219,-0.97558594,0.0625,-0.0625,0.09375
64,0.171875,-0.1328125,-0.9736328,0.0625,-0.0625,0.0625
65,0.17285156,-0.13671875,-0.9746094,0.0625,0.0,0.0
66,0.17871094,-0.13574219,-0.9814453,-0.0625,-0.125,0.0625
67,0.17578125,-0.13769531,-0.9794922,-0.0625,-0.125,0.0
68,0.18066406,-0.13476562,-0.9863281,-0.125,-0.28125,-0.0625
69,0.17675781,-0.13378906,-0.9873047,0.0,0.0,0.09375
70,0.18164062,-0.13085938,-0.98828125,0.0625,-0.0625,0.0625
71,0.17578125,-0.12988281,-0.9736328,-0.0625,-0.125,0.0625
72,0.171875,-0.13378906,-0.95996094,0.0625,0.1875,0.0625
73,0.17578125,-0.140625,-0.99609375,0.25,0.25,0.0625
74,0.17382812,-0.12792969,-0.9746094,0.0625,0.25,0.0625
75,0.1875,-0.13574219,-0.9794922,0.25,0.0625,0.0
76,0.18164062,-0.13183594,-0.9765625,-0.0625,-0.0625,0.0625
77,0.16992188,-0.13183594,-0.9824219,0.0,0.0,-0.0625
78,0.17773438,-0.14550781,-0.96972656,0.0,0.1875,0.0
79,0.17773438,-0.13085938,-0.9892578,0.125,0.125,0.0
80,0.17578125,-0.1328125,-0.9873047,0.1875,0.0,0.0
81,0.17773438,-0.13183594,-0.98828125,-0.0625,-0.0625,0.0625
82,0.18066406,-0.13574219,-0.9794922,0.125,0.125,0.0625
83,0.1796875,-0.14160156,-0.97558594,0.125,0.125,0.0
84,0.17089844,-0.12792969,-0.9746094,-0.0625,-0.0625,-0.0625
85,0.17382812,-0.13476562,-0.9794922,-0.0625,-0.125,-0.0625
86,0.17773438,-0.13574219,-0.984375,0.0,0.0,0.0
87,0.17578125,-0.13183594,-0.98339844,0.0625,0.125,0.0
88,0.17578125,-0.13378906,-0.9824219,0.0,-0.0625,0.0625
89,0.17578125,-0.13671875,-0.97558594,0.0,0.0,0.0
90,0.17089844,-0.14257812,-0.9814453,0.0,0.0,-0.0625
91,0.18554688,-0.13378906,-0.97265625,-0.0625,-0.0625,0.0
92,0.18261719,-0.13085938,-0.9638672,-0.0625,-0.125,-0.0625
93,0.1796875,-0.14355469,-0.984375,-0.0625,-0.125,0.0625
94,0.17773438,-0.13671875,-0.9902344,-0.125,-0.125,-0.0625
95,0.18164062,-0.13183594,-0.984375,-0.15625,-0.0625,0.03125
96,0.17773438,-0.13378906,-0.9736328,-0.09375,-0.125,0.03125
97,0.171875,-0.13183594,-0.97558594,0.03125,0.0,0.03125
98,0.17578125,-0.13964844,-0.9746094,-0.03125,-0.125,-0.03125
99,0.18359375,-0.14550781,-0.9785156,0.03125,0.0625,-0.03125
100,0.17773438,-0.13183594,-0.98339844,-0.09375,-0.125,0.03125
101,0.18164062,-0.13085938,-0.96191406,-0.03125,-0.125,0.03125
102,0.18164062,-0.13574219,-0.98828125,-0.15625,-0.125,-0.03125
103,0.18066406,-0.14550781,-0.9794922,-0.09375,-0.1875,-0.03125
104,0.17578125,-0.140625,-0.9824219,-0.03125,0.0,0.09375
105,0.18066406,-0.14550781,-0.984375,-0.09375,-0.125,-0.09375
106,0.18359375,-0.13574219,-0.9824219,-0.09375,-0.1875,-0.09375
107,0.17480469,-0.1328125,-0.9824219,-0.09375,-0.0625,-0.09375
108,0.17871094,-0.13769531,-0.9794922,-0.15625,-0.0625,-0.09375
109,0.17089844,-0.12890625,-0.9824219,-0.09375,-0.25,0.03125
110,0.17382812,-0.13085938,-0.9765625,-0.09375,-0.125,0.03125
111,0.17285156,-0.14160156,-0.98046875,-0.03125,0.0,-0.15625
112,0.18554688,-0.13671875,-0.9892578,-0.15625,-0.1875,-0.03125
113,0.17773438,-0.13378906,-0.96972656,-0.09375,-0.125,-0.03125
114,0.17382812,-0.13671875,-0.9716797,-0.03125,0.0625,-0.15625
115,0.17773438,-0.13476562,-0.9746094,-0.03125,-0.0625,0.09375
116,0.18164062,-0.13476562,-0.9873047,-0.03125,0.0,0.03125
117,0.17675781,-0.13769531,-0.9863281,-0.03125,-0.125,-0.03125
118,0.1796875,-0.13378906,-0.99121094,-0.09375,-0.1875,-0.03125
119,0.17871094,-0.140625,-0.97265625,-0.09375,-0.1875,-0.03125
120,0.17675781,-0.13085938,-0.9941406,-0.15625,-0.375,0.09375
121,0.17773438,-0.14355469,-0.9794922,-0.15625,-0.25,0.03125
122,0.18261719,-0.13183594,-0.984375,-0.09375,-0.375,0.09375
123,0.18164062,-0.13085938,-0.9824219,-0.09375,-0.25,0.09375
124,0.16894531,-0.1328125,-0.9765625,-0.09375,-0.25,-0.03125
125,0.171875,-0.14160156,-0.9814453,-0.09375,-0.3125,0.03125
126,0.16894531,-0.13964844,-0.99121094,-0.15625,-0.1875,0.03125
127,0.18359375,-0.13574219,-0.9746094,-0.21875,-0.1875,0.03125
128,0.17578125,-0.13769531,-0.9746094,-0.15625,-0.25,0.09375
129,0.17089844,-0.13378906,-0.98535156,-0.15625,-0.3125,0.03125
130,0.16601562,-0.12695312,-0.9863281,-0.09375,0.0625,-0.03125
131,0.17480469,-0.12988281,-0.9736328,-0.09375,-0.125,0.03125
132,0.1796875,-0.13671875,-0.97753906,-0.09375,-0.25,-0.03125
