sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.57128906,0.11328125,0.21191406,17.15625,-70.46875,-32.9375
1,-0.43652344,0.02734375,0.19433594,30.21875,-48.90625,-23.65625
2,-0.34472656,0.05859375,0.32128906,31.6875,-14.625,-7.78125
3,-0.44433594,0.018554688,0.43652344,6.78125,26.03125,10.21875
4,-0.74609375,-0.029296875,0.6591797,7.75,26.15625,5.09375
5,-0.9013672,-0.06542969,0.51660156,11.96875,-4.1875,-20.0
6,-0.92089844,0.11230469,0.578125,2.0625,5.59375,-26.28125
7,-1.0371094,0.09765625,0.8378906,2.0625,20.65625,-10.65625
8,-1.6142578,0.1171875,0.62597656,-0.3125,-31.28125,-14.375
9,-1.1650391,0.32910156,0.35839844,-35.875,47.875,-18.53125
10,-0.6376953,0.021484375,0.0625,-30.8125,3.09375,28.46875
11,-1.4560547,0.18554688,0.046875,-7.9375,53.6875,64.78125
12,-0.7988281,0.115234375,0.123046875,5.375,60.09375,26.59375
13,-0.765625,0.2109375,0.30664062,-22.09375,57.21875,31.875
14,-0.95996094,-0.13378906,0.20019531,-44.5,63.5625,20.46875
15,-0.78222656,-0.07519531,0.19824219,-40.65625,78.21875,-16.5
16,-0.84765625,-0.08300781,0.24902344,-5.125,78.78125,-10.71875
17,-0.93652344,0.0,0.23730469,6.59375,52.90625,6.9375
18,-0.82128906,0.02734375,0.24121094,11.65625,41.96875,7.34375
19,-0.7949219,0.024414062,0.2763672,20.9375,46.53125,9.625
20,-0.8935547,-0.030273438,0.09863281,16.53125,43.0,8.34375
21,-1.0576172,0.0859375,0.06640625,18.0625,33.375,9.90625
22,-1.2958984,-0.1953125,0.15917969,4.28125,28.78125,0.53125
23,-1.5498047,-0.0625,0.041992188,-1.21875,4.0625,-5.46875
24,-1.4804688,0.059570312,-0.24707031,-46.875,-50.3125,-18.59375
25,-0.8642578,0.19921875,0.26367188,-11.34375,-124.71875,-44.90625
26,-1.1142578,0.37890625,-0.10644531,-42.53125,-153.40625,-30.78125
27,-1.2255859,0.20507812,0.15429688,-14.84375,-99.03125,-2.59375
28,-1.2109375,0.0087890625,0.375,25.6875,-93.15625,15.28125
29,-0.88964844,0.091796875,0.42285156,2.9375,-93.03125,-11.5
30,-0.70703125,0.052734375,0.16699219,19.71875,-52.34375,-31.09375
31,-0.37695312,0.15136719,0.22460938,53.34375,-57.8125,-25.3125
32,-0.45214844,0.060546875,0.2265625,44.3125,-13.34375,-3.9375
33,-0.49414062,-0.0009765625,0.4765625,8.90625,25.78125,1.75
34,-0.74316406,-0.099609375,0.4560547,5.5,13.65625,3.1875
35,-0.8828125,-0.04296875,0.5595703,3.96875,16.40625,-20.90625
36,-1.0341797,0.1171875,0.5410156,25.15625,0.15625,-17.5625
37,-1.0527344,0.0048828125,0.8515625,25.21875,13.03125,-2.59375
38,-1.2763672,-0.12792969,0.5732422,13.625,-14.4375,-22.375
39,-1.9853516,0.7734375,0.23046875,-5.5,68.40625,34.6875
40,-0.140625,0.1484375,0.5439453,-24.46875,-13.5625,21.09375
41,-1.0839844,0.056640625,-0.11425781,-33.625,21.71875,62.09375
42,-1.2548828,0.0048828125,0.18652344,-0.4375,60.59375,14.375
43,-0.8388672,0.15820312,0.29589844,6.21875,55.6875,2.59375
44,-0.79589844,0.2890625,0.13183594,-55.46875,55.8125,21.5
45,-0.92285156,-0.07421875,0.13769531,-30.75,85.25,-4.90625
46,-0.8515625,0.024414062,0.11621094,-42.1875,87.375,-13.9375
47,-0.96777344,0.078125,0.13671875,-4.625,63.875,10.71875
48,-0.7753906,0.0390625,0.21972656,0.84375,38.0625,16.5
49,-0.79785156,-0.046875,0.21484375,-18.84375,41.78125,11.875
50,-0.88183594,-0.078125,0.15527344,4.625,36.65625,15.03125
51,-0.9658203,0.07519531,0.13574219,21.1875,25.0625,14.75
52,-1.1328125,-0.053710938,0.115234375,-1.78125,24.9375,6.4375
53,-1.3017578,-0.048828125,0.23730469,-0.65625,2.34375,2.71875
54,-1.328125,-0.15332031,0.03515625,-31.75,-19.375,-7.40625
55,-1.1777344,-0.053710938,-0.05859375,-16.0,-82.0625,-30.84375
56,-1.1699219,0.4658203,0.056640625,33.6875,-123.75,-30.90625
57,-1.0673828,0.40234375,0.07421875,14.34375,-113.84375,-5.03125
58,-1.2197266,0.15332031,0.36621094,2.8125,-99.6875,12.84375
59,-1.1748047,0.24804688,0.3515625,-6.65625,-86.625,3.5
60,-0.8779297,0.08203125,0.34277344,-15.5,-67.65625,-27.4375
61,-0.64941406,-0.0087890625,0.17578125,23.625,-36.46875,-39.59375
62,-0.46875,-0.01171875,0.20117188,61.34375,-37.0,-22.125
63,-0.40722656,0.020507812,0.3203125,55.90625,-8.375,-7.90625
64,-0.5058594,-0.057617188,0.38378906,19.90625,16.8125,-9.625
65,-0.7939453,-0.025390625,0.4423828,29.78125,10.0,-10.46875
66,-0.93652344,0.08300781,0.6699219,25.875,16.5,-30.4375
67,-1.2382812,0.16894531,0.7207031,30.03125,-19.6875,-10.96875
68,-0.8017578,-0.21679688,0.70996094,25.34375,11.5,-15.46875
69,-1.3417969,0.17480469,0.46777344,23.625,-17.84375,-17.71875
70,-1.9589844,1.1025391,0.06933594,-37.78125,94.53125,52.625
71,-0.2548828,-0.005859375,0.2998047,-73.5,-15.03125,27.1875
72,-0.9482422,-0.0390625,-0.15820312,-6.46875,26.40625,32.0
73,-1.4179688,0.16113281,0.25,18.5,73.28125,10.65625
74,-0.8457031,0.123046875,0.31152344,-5.75,62.09375,-8.8125
75,-0.73339844,0.16113281,0.055664062,-54.875,53.75,3.3125
76,-0.8564453,-0.12695312,0.05859375,-21.84375,79.625,-10.53125
77,-0.83984375,0.055664062,0.18359375,6.03125,80.78125,-3.625
78,-0.8847656,-0.017578125,0.2265625,11.125,54.65625,7.34375
79,-0.8828125,0.030273438,0.24316406,18.875,45.09375,15.96875
80,-0.85253906,-0.0546875,0.21875,13.0,34.46875,21.15625
81,-0.9121094,-0.064453125,0.12402344,24.90625,27.1875,15.90625
82,-1.0380859,0.026367188,0.10644531,16.96875,29.9375,9.5625
83,-1.2685547,-0.056640625,0.13574219,-0.90625,30.625,4.3125
84,-1.6103516,-0.06542969,0.21972656,-18.96875,15.78125,2.90625
85,-1.5039062,-0.18457031,-0.07421875,-38.875,-38.40625,-15.28125
86,-0.89746094,0.029296875,0.026367188,0.6875,-111.96875,-49.96875
