sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-1.9003906,0.048828125,0.7314453,105.15625,143.53125,118.4375
1,-0.87890625,-0.09277344,0.63183594,34.78125,94.5,77.1875
2,0.33203125,-1.5224609,0.11621094,9.46875,33.78125,29.625
3,-0.7011719,0.34375,0.45703125,32.34375,-105.0,-146.75
4,-0.15625,0.5361328,0.49316406,137.8125,-148.15625,-149.25
5,-2.0,-0.52734375,-0.47460938,142.40625,-212.875,-164.03125
6,-2.0,-0.71484375,0.3828125,121.21875,-262.90625,-317.90625
7,-1.4472656,0.3935547,0.30859375,41.8125,-200.28125,-129.59375
8,-1.2099609,-1.2539062,0.1015625,79.53125,-96.53125,-85.1875
9,0.043945312,0.34179688,-0.3857422,200.6875,-8.21875,-23.65625
10,1.0722656,1.4208984,-0.91308594,-113.03125,183.4375,83.46875
11,0.26757812,0.05078125,-0.60058594,-205.25,195.9375,129.0
12,-1.0,-0.17871094,0.94433594,-20.75,48.4375,49.21875
13,-1.1171875,-1.6113281,-0.57910156,-222.03125,39.28125,-146.75
14,-2.0,2.0,1.8457031,129.28125,-80.09375,95.5625
15,0.4873047,0.94140625,0.08691406,-234.25,29.15625,53.8125
16,-2.0,0.13574219,-0.7548828,-32.84375,112.15625,349.6875
17,-2.0,-1.5859375,0.7363281,1.40625,142.84375,151.15625
18,-1.5498047,-0.0009765625,1.1015625,21.375,126.0625,121.0625
19,-0.39257812,-0.61621094,0.81640625,34.71875,92.0,91.59375
20,0.140625,-1.6445312,0.41308594,-75.9375,-15.90625,-47.9375
21,-0.09277344,0.59375,0.12207031,17.53125,-85.0,-128.9375
22,-0.45214844,0.17480469,0.16503906,112.1875,-151.53125,-139.375
23,-2.0,-0.5732422,-0.20898438,112.4375,-184.59375,-148.90625
24,-2.0,-0.4716797,-0.01171875,121.15625,-164.15625,-256.25
25,-1.8916016,0.9013672,0.19628906,56.40625,-180.34375,-114.21875
26,-1.1542969,-0.9267578,0.119140625,80.4375,-39.46875,-52.65625
27,-0.033203125,0.30078125,-0.0146484375,126.71875,9.625,-28.21875
