sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.9746094,0.09375,-0.095703125,0.0,0.25,0.09375
1,-0.98535156,0.09472656,-0.09277344,-0.28125,0.0625,-0.09375
2,-0.97558594,0.09472656,-0.09082031,-0.09375,-0.15625,0.03125
3,-0.98339844,0.1015625,-0.08496094,-0.15625,-0.03125,0.40625
4,-0.98339844,0.0859375,-0.099609375,0.125,0.625,0.28125
5,-0.9716797,0.08691406,-0.09765625,0.1875,0.03125,-0.09375
6,-0.97265625,0.08300781,-0.09082031,-0.40625,-0.53125,-0.40625
7,-0.9765625,0.09667969,-0.09277344,-0.34375,-0.09375,-0.34375
8,-0.9746094,0.091796875,-0.095703125,0.0625,-0.15625,0.09375
9,-0.9765625,0.08496094,-0.10058594,0.125,-0.09375,0.09375
10,-0.984375,0.09082031,-0.095703125,0.0,0.125,0.28125
11,-0.98046875,0.08984375,-0.09277344,-0.09375,-0.09375,0.15625
12,-0.97265625,0.09472656,-0.08691406,-0.09375,-0.09375,-0.09375
13,-0.9863281,0.09082031,-0.09765625,-0.09375,-0.34375,0.03125
14,-0.97558594,0.09472656,-0.09375,-0.21875,-0.34375,0.09375
15,-0.9785156,0.08984375,-0.09375,-0.21875,0.03125,0.21875
16,-0.97753906,0.09082031,-0.09277344,-0.40625,-0.09375,0.03125
17,-0.97753906,0.0859375,-0.08496094,-0.40625,-0.15625,0.21875
18,-0.9921875,0.08886719,-0.111328125,0.0,0.25,0.15625
19,-0.9785156,0.08496094,-0.09082031,0.4375,-0.03125,-0.15625
20,-0.9814453,0.09765625,-0.10546875,0.3125,-0.15625,-0.21875
21,-0.9892578,0.08691406,-0.08984375,0.3125,0.0625,-0.03125
22,-0.9814453,0.09765625,-0.10058594,0.375,-0.03125,0.21875
23,-0.97558594,0.08886719,-0.09277344,0.3125,-0.21875,0.34375
24,-0.9765625,0.08886719,-0.103515625,0.4375,0.1875,0.34375
25,-0.9736328,0.087890625,-0.09472656,0.125,-0.03125,0.09375
26,-0.9814453,0.091796875,-0.10253906,0.1875,0.125,0.09375
27,-0.9736328,0.09472656,-0.0859375,0.375,0.25,0.09375
28,-0.984375,0.08496094,-0.08984375,0.3125,-0.03125,0.15625
29,-0.9785156,0.095703125,-0.09472656,0.5,-0.34375,0.28125
30,-0.97753906,0.087890625,-0.1015625,-0.09375,-0.03125,0.40625
31,-0.97265625,0.091796875,-0.09082031,0.0,-0.03125,0.5
32,-0.98046875,0.08203125,-0.099609375,-0.09375,0.03125,0.4375
33,-0.9824219,0.09082031,-0.08203125,0.75,0.375,0.34375
34,-0.9824219,0.08984375,-0.08691406,0.6875,-0.03125,0.09375
35,-0.9814453,0.091796875,-0.08300781,0.375,0.03125,-0.03125
36,-0.97753906,0.09472656,-0.1015625,0.375,0.3125,0.15625
37,-0.9785156,0.09863281,-0.09472656,0.3125,-0.09375,0.5
38,-0.97558594,0.10058594,-0.10058594,-0.09375,-0.03125,0.4375
39,-0.984375,0.08691406,-0.09863281,-0.21875,0.125,0.34375
40,-0.984375,0.08886719,-0.09863281,-0.28125,-0.09375,0.21875
41,-0.97753906,0.091796875,-0.09765625,-0.28125,-0.09375,0.28125
42,-0.9746094,0.09375,-0.08691406,-0.40625,-0.21875,0.21875
43,-0.9785156,0.09667969,-0.08496094,-0.59375,-0.09375,0.15625
44,-0.97558594,0.08691406,-0.09375,-0.21875,-0.03125,0.15625
45,-0.9814453,0.09472656,-0.09765625,-0.53125,0.03125,0.15625
46,-0.984375,0.09082031,-0.087890625,-0.09375,-0.15625,0.5
47,-0.9824219,0.095703125,-0.099609375,-0.21875,-0.21875,0.625
48,-0.9863281,0.08300781,-0.09863281,0.0625,0.03125,0.34375
49,-0.97265625,0.08496094,-0.08691406,-0.09375,-0.15625,-0.15625
50,-0.984375,0.087890625,-0.10644531,-0.09375,-0.09375,-0.15625
51,-0.98339844,0.0859375,-0.07714844,0.375,0.03125,0.03125
52,-0.97753906,0.09277344,-0.09277344,0.4375,-0.28125,0.34375
53,-0.9863281,0.08691406,-0.099609375,0.3125,-0.09375,0.15625
54,-0.98046875,0.08886719,-0.091796875,0.5,0.03125,0.03125
55,-0.9765625,0.08691406,-0.08105469,0.875,-0.03125,0.03125
56,-0.98535156,0.09472656,-0.0859375,0.875,0.03125,0.09375
57,-0.97558594,0.08984375,-0.091796875,0.5,0.125,0.15625
58,-0.9785156,0.09863281,-0.10253906,0.0625,0.125,0.28125
59,-0.9746094,0.09863281,-0.09277344,0.4375,0.0625,0.34375
60,-0.984375,0.08886719,-0.103515625,-0.09375,0.1875,0.15625
61,-0.9824219,0.1015625,-0.1015625,-0.09375,0.03125,0.15625
62,-0.9736328,0.09472656,-0.09082031,-0.78125,0.125,0.34375
63,-0.98046875,0.09082031,-0.0859375,-0.65625,0.4375,0.5
64,-0.9814453,0.0859375,-0.099609375,-0.28125,0.03125,0.15625
65,-0.9794922,0.09082031,-0.080078125,-0.40625,0.25,-0.21875
66,-0.9824219,0.09375,-0.09375,-0.40625,0.125,-0.15625
67,-0.9736328,0.087890625,-0.091796875,-0.15625,-0.03125,0.21875
68,-0.9873047,0.09472656,-0.09375,-0.09375,0.03125,0.28125
69,-0.9902344,0.080078125,-0.1015625,-0.09375,0.1875,0.21875
70,-0.97753906,0.09667969,-0.095703125,0.0625,0.3125,-0.21875
71,-0.9824219,0.09472656,-0.0859375,0.03125,0.15625,-0.28125
72,-0.984375,0.09277344,-0.09667969,0.09375,-0.03125,-0.03125
73,-0.9794922,0.09277344,-0.09863281,0.15625,-0.03125,0.15625
74,-0.97753906,0.08203125,-0.11230469,-0.0625,0.03125,0.09375
75,-0.97753906,0.08203125,-0.107421875,0.03125,0.09375,-0.03125
76,-0.9707031,0.1015625,-0.10449219,0.03125,-0.09375,-0.28125
77,-0.98046875,0.09082031,-0.09765625,0.09375,-0.3125,0.03125
78,-0.9814453,0.08691406,-0.09375,-0.375,-0.1875,0.40625
79,-0.98535156,0.08105469,-0.099609375,0.03125,-0.03125,0.09375
