sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.09472656,0.078125,-0.9902344,0.0,-0.375,-0.09375
1,0.10058594,0.07910156,-1.0,0.125,0.125,0.15625
2,0.08886719,0.06933594,-1.0019531,0.125,0.0,0.03125
3,0.09277344,0.07128906,-1.0039062,-0.0625,-0.125,-0.21875
4,0.08984375,0.06738281,-1.0107422,0.125,0.0625,-0.15625
5,0.10058594,0.07128906,-1.0126953,-0.0625,0.0,0.15625
6,0.08496094,0.08105469,-1.0185547,-0.25,0.0,-0.21875
7,0.09375,0.07324219,-1.0048828,0.0,-0.3125,0.03125
8,0.099609375,0.07324219,-1.0136719,0.125,-0.25,-0.34375
9,0.09277344,0.08300781,-1.0087891,0.0625,-0.25,-0.15625
10,0.1015625,0.064453125,-1.0126953,0.0,-0.0625,-0.03125
11,0.09375,0.0703125,-0.99902344,0.125,0.0,-0.09375
12,0.09277344,0.064453125,-1.0126953,0.125,0.0,-0.09375
13,0.10253906,0.080078125,-1.0087891,-0.1875,0.0,-0.09375
14,0.09863281,0.0703125,-1.0097656,0.0625,0.125,-0.03125
15,0.099609375,0.0703125,-1.0146484,-0.0625,-0.125,-0.03125
16,0.08984375,0.06933594,-1.0107422,-0.0625,-0.1875,-0.34375
17,0.09277344,0.068359375,-1.0195312,-0.0625,-0.125,-0.03125
18,0.08984375,0.07714844,-1.0234375,-0.0625,-0.1875,-0.03125
19,0.09472656,0.06640625,-1.0,-0.0625,0.125,-0.21875
20,0.09375,0.0625,-1.0029297,-0.25,-0.125,-0.34375
21,0.09375,0.07714844,-1.0205078,0.125,0.125,-0.09375
22,0.08691406,0.0703125,-1.0185547,0.0625,0.0625,0.09375
23,0.0859375,0.06738281,-1.0048828,0.0,0.1875,-0.03125
24,0.087890625,0.06542969,-1.0224609,-0.0625,0.0625,-0.21875
25,0.08984375,0.068359375,-1.0,0.0,-0.0625,0.09375
26,0.095703125,0.07910156,-1.0048828,-0.0625,0.0,-0.03125
27,0.09863281,0.06347656,-1.0068359,-0.0625,-0.125,-0.15625
28,0.083984375,0.078125,-1.0078125,-0.0625,-0.25,-0.15625
29,0.08984375,0.061523438,-1.0185547,0.125,-0.375,-0.03125
30,0.09667969,0.07421875,-0.99609375,-0.0625,-0.0625,-0.21875
31,0.09082031,0.078125,-0.99902344,-0.0625,-0.125,-0.15625
32,0.091796875,0.07421875,-1.0,-0.1875,0.0,0.09375
33,0.09667969,0.07324219,-1.0039062,0.15625,0.0,-0.15625
34,0.09765625,0.068359375,-1.0117188,0.125,-0.1875,-0.03125
35,0.09667969,0.07324219,-1.0136719,-0.0625,-0.0625,-0.09375
36,0.09375,0.068359375,-1.0185547,-0.125,-0.125,-0.15625
37,0.09472656,0.06933594,-1.0107422,0.0,-0.0625,-0.09375
38,0.09667969,0.06640625,-0.98339844,-0.0625,-0.0625,-0.28125
39,0.09472656,0.07519531,-1.0107422,-0.0625,0.0,-0.15625
40,0.09375,0.059570312,-1.0039062,0.0,0.125,-0.03125
41,0.10058594,0.08105469,-1.0,-0.0625,-0.125,0.03125
42,0.10058594,0.06738281,-1.0078125,0.0,0.125,-0.09375
43,0.09765625,0.07128906,-1.0087891,-0.0625,0.0625,-0.46875
44,0.09277344,0.07421875,-1.0009766,0.125,-0.125,-0.09375
45,0.08496094,0.078125,-1.0117188,0.15625,0.125,0.25
46,0.08886719,0.06933594,-1.0175781,-0.0625,-0.0625,-0.03125
47,0.09667969,0.06933594,-1.0166016,-0.125,0.0,-0.21875
48,0.09375,0.08203125,-0.99902344,0.0,-0.125,-0.09375
49,0.09765625,0.078125,-1.0097656,0.21875,0.1875,-0.09375
50,0.08886719,0.06347656,-1.0107422,-0.0625,-0.125,-0.28125
51,0.08886719,0.07519531,-1.0117188,-0.125,-0.09375,0.0
52,0.09667969,0.06542969,-1.015625,0.0,-0.15625,-0.0625
53,0.09277344,0.06933594,-1.0146484,-0.125,0.03125,0.0
54,0.09375,0.06738281,-1.0068359,-0.0625,-0.09375,-0.125
55,0.091796875,0.06738281,-1.0136719,-0.1875,-0.03125,-0.0625
56,0.10058594,0.072265625,-1.0048828,0.0,0.03125,-0.125
57,0.09472656,0.06933594,-1.0126953,-0.0625,0.03125,-0.125
58,0.10253906,0.068359375,-1.0,-0.125,-0.03125,0.0625
59,0.09765625,0.07128906,-1.0107422,0.0,0.15625,0.0
60,0.091796875,0.072265625,-0.98535156,-0.0625,-0.03125,0.125
61,0.10058594,0.07519531,-1.0068359,-0.0625,-0.09375,-0.0625
62,0.09667969,0.07324219,-1.0058594,-0.125,-0.09375,-0.0625
63,0.08984375,0.07324219,-1.0078125,-0.1875,-0.09375,-0.25
64,0.095703125,0.07128906,-1.0019531,-0.125,-0.03125,0.0625
65,0.09277344,0.07421875,-1.0117188,0.0625,0.03125,0.125
66,0.103515625,0.07128906,-1.0029297,-0.25,0.09375,-0.0625
67,0.08691406,0.068359375,-1.0117188,-0.1875,-0.03125,-0.25
68,0.09375,0.076171875,-1.0029297,0.0625,-0.15625,-0.1875
69,0.09667969,0.078125,-1.0185547,0.125,-0.03125,0.125
